"GEO_ID","NAME","B25085_001E","B25085_001EA","B25085_001M","B25085_001MA","B25085_002E","B25085_002EA","B25085_002M","B25085_002MA","B25085_003E","B25085_003M","B25085_003MA","B25085_003EA","B25085_004E","B25085_004M","B25085_004MA","B25085_004EA","B25085_005E","B25085_005M","B25085_005MA","B25085_005EA","B25085_006E","B25085_006EA","B25085_006M","B25085_006MA","B25085_007E","B25085_007EA","B25085_007M","B25085_007MA","B25085_008E","B25085_008M","B25085_008MA","B25085_008EA","B25085_009E","B25085_009M","B25085_009MA","B25085_009EA","B25085_010E","B25085_010M","B25085_010MA","B25085_010EA","B25085_011E","B25085_011EA","B25085_011M","B25085_011MA","B25085_012E","B25085_012EA","B25085_012M","B25085_012MA","B25085_013E","B25085_013EA","B25085_013M","B25085_013MA","B25085_014E","B25085_014M","B25085_014MA","B25085_014EA","B25085_015E","B25085_015M","B25085_015MA","B25085_015EA","B25085_016E","B25085_016M","B25085_016MA","B25085_016EA","B25085_017E","B25085_017EA","B25085_017M","B25085_017MA","B25085_018E","B25085_018EA","B25085_018M","B25085_018MA","B25085_019E","B25085_019M","B25085_019MA","B25085_019EA","B25085_020E","B25085_020M","B25085_020MA","B25085_020EA","B25085_021E","B25085_021EA","B25085_021M","B25085_021MA","B25085_022E","B25085_022EA","B25085_022M","B25085_022MA","B25085_023E","B25085_023EA","B25085_023M","B25085_023MA","B25085_024E","B25085_024EA","B25085_024M","B25085_024MA","B25085_025E","B25085_025EA","B25085_025M","B25085_025MA","B25085_026E","B25085_026M","B25085_026MA","B25085_026EA","B25085_027E","B25085_027M","B25085_027MA","B25085_027EA",
"0500000US18019","Clark County, Indiana","1189","null","317","null","26","null","41","null","0","27","null","null","12","20","null","null","0","27","null","null","49","null","56","null","0","null","27","null","45","51","null","null","52","53","null","null","25","37","null","null","39","null","46","null","109","null","93","null","39","null","45","null","0","27","null","null","238","137","null","null","181","113","null","null","0","null","27","null","115","null","90","null","181","128","null","null","0","27","null","null","51","null","54","null","0","null","27","null","0","null","27","null","0","null","27","null","0","null","27","null","27","40","null","null","0","27","null","null",
"0500000US18021","Clay County, Indiana","284","null","130","null","32","null","45","null","0","21","null","null","0","21","null","null","0","21","null","null","0","null","21","null","0","null","21","null","0","21","null","null","0","21","null","null","48","53","null","null","106","null","96","null","11","null","12","null","49","null","54","null","0","21","null","null","8","13","null","null","27","39","null","null","0","null","21","null","3","null","5","null","0","21","null","null","0","21","null","null","0","null","21","null","0","null","21","null","0","null","21","null","0","null","21","null","0","null","21","null","0","21","null","null","0","21","null","null",
"0500000US18023","Clinton County, Indiana","254","null","126","null","35","null","52","null","0","24","null","null","0","24","null","null","0","24","null","null","0","null","24","null","0","null","24","null","9","15","null","null","0","24","null","null","0","24","null","null","6","null","10","null","84","null","71","null","0","null","24","null","20","28","null","null","90","81","null","null","9","15","null","null","0","null","24","null","0","null","24","null","1","3","null","null","0","24","null","null","0","null","24","null","0","null","24","null","0","null","24","null","0","null","24","null","0","null","24","null","0","24","null","null","0","24","null","null",
"0500000US18025","Crawford County, Indiana","12","null","18","null","0","null","18","null","0","18","null","null","0","18","null","null","0","18","null","null","0","null","18","null","0","null","18","null","0","18","null","null","0","18","null","null","0","18","null","null","0","null","18","null","0","null","18","null","0","null","18","null","0","18","null","null","0","18","null","null","0","18","null","null","0","null","18","null","0","null","18","null","12","18","null","null","0","18","null","null","0","null","18","null","0","null","18","null","0","null","18","null","0","null","18","null","0","null","18","null","0","18","null","null","0","18","null","null",
"0500000US18027","Daviess County, Indiana","138","null","83","null","21","null","33","null","0","24","null","null","0","24","null","null","2","3","null","null","0","null","24","null","3","null","5","null","27","42","null","null","13","15","null","null","0","24","null","null","0","null","24","null","0","null","24","null","23","null","36","null","0","24","null","null","0","24","null","null","0","24","null","null","0","null","24","null","0","null","24","null","49","54","null","null","0","24","null","null","0","null","24","null","0","null","24","null","0","null","24","null","0","null","24","null","0","null","24","null","0","24","null","null","0","24","null","null",
"0500000US18029","Dearborn County, Indiana","468","null","180","null","0","null","24","null","0","24","null","null","61","68","null","null","0","24","null","null","0","null","24","null","0","null","24","null","74","85","null","null","0","24","null","null","104","99","null","null","81","null","87","null","0","null","24","null","0","null","24","null","0","24","null","null","92","82","null","null","54","61","null","null","0","null","24","null","0","null","24","null","0","24","null","null","0","24","null","null","0","null","24","null","2","null","3","null","0","null","24","null","0","null","24","null","0","null","24","null","0","24","null","null","0","24","null","null",
"0500000US18031","Decatur County, Indiana","135","null","68","null","0","null","21","null","0","21","null","null","58","50","null","null","0","21","null","null","0","null","21","null","10","null","16","null","0","21","null","null","0","21","null","null","6","10","null","null","9","null","15","null","0","null","21","null","39","null","46","null","0","21","null","null","13","16","null","null","0","21","null","null","0","null","21","null","0","null","21","null","0","21","null","null","0","21","null","null","0","null","21","null","0","null","21","null","0","null","21","null","0","null","21","null","0","null","21","null","0","21","null","null","0","21","null","null",
"0500000US18033","DeKalb County, Indiana","375","null","151","null","0","null","24","null","25","37","null","null","0","24","null","null","18","29","null","null","0","null","24","null","0","null","24","null","0","24","null","null","28","35","null","null","5","8","null","null","14","null","22","null","5","null","8","null","34","null","44","null","56","61","null","null","5","8","null","null","0","24","null","null","41","null","65","null","117","null","94","null","0","24","null","null","27","34","null","null","0","null","24","null","0","null","24","null","0","null","24","null","0","null","24","null","0","null","24","null","0","24","null","null","0","24","null","null",
"0500000US18035","Delaware County, Indiana","860","null","226","null","90","null","58","null","40","41","null","null","4","7","null","null","100","81","null","null","87","null","73","null","34","null","55","null","104","80","null","null","151","89","null","null","0","27","null","null","78","null","64","null","25","null","40","null","0","null","27","null","0","27","null","null","56","51","null","null","0","27","null","null","0","null","27","null","30","null","43","null","27","26","null","null","34","54","null","null","0","null","27","null","0","null","27","null","0","null","27","null","0","null","27","null","0","null","27","null","0","27","null","null","0","27","null","null",
"0500000US18037","Dubois County, Indiana","264","null","180","null","0","null","24","null","0","24","null","null","0","24","null","null","0","24","null","null","0","null","24","null","0","null","24","null","12","16","null","null","0","24","null","null","0","24","null","null","0","null","24","null","0","null","24","null","16","null","26","null","0","24","null","null","128","189","null","null","5","8","null","null","44","null","53","null","13","null","21","null","33","52","null","null","0","24","null","null","13","null","32","null","0","null","24","null","0","null","24","null","0","null","24","null","0","null","24","null","0","24","null","null","0","24","null","null",
