"GEO_ID","NAME","B25085_001E","B25085_001EA","B25085_001M","B25085_001MA","B25085_002E","B25085_002EA","B25085_002M","B25085_002MA","B25085_003E","B25085_003M","B25085_003MA","B25085_003EA","B25085_004E","B25085_004M","B25085_004MA","B25085_004EA","B25085_005E","B25085_005M","B25085_005MA","B25085_005EA","B25085_006E","B25085_006EA","B25085_006M","B25085_006MA","B25085_007E","B25085_007EA","B25085_007M","B25085_007MA","B25085_008E","B25085_008M","B25085_008MA","B25085_008EA","B25085_009E","B25085_009M","B25085_009MA","B25085_009EA","B25085_010E","B25085_010M","B25085_010MA","B25085_010EA","B25085_011E","B25085_011EA","B25085_011M","B25085_011MA","B25085_012E","B25085_012EA","B25085_012M","B25085_012MA","B25085_013E","B25085_013M","B25085_013MA","B25085_013EA","B25085_014E","B25085_014M","B25085_014MA","B25085_014EA","B25085_015E","B25085_015M","B25085_015MA","B25085_015EA","B25085_016E","B25085_016M","B25085_016MA","B25085_016EA","B25085_017E","B25085_017EA","B25085_017M","B25085_017MA","B25085_018E","B25085_018M","B25085_018MA","B25085_018EA","B25085_019E","B25085_019M","B25085_019MA","B25085_019EA","B25085_020E","B25085_020M","B25085_020MA","B25085_020EA","B25085_021E","B25085_021EA","B25085_021M","B25085_021MA","B25085_022E","B25085_022EA","B25085_022M","B25085_022MA","B25085_023E","B25085_023EA","B25085_023M","B25085_023MA","B25085_024E","B25085_024EA","B25085_024M","B25085_024MA","B25085_025E","B25085_025EA","B25085_025M","B25085_025MA","B25085_026E","B25085_026M","B25085_026MA","B25085_026EA","B25085_027E","B25085_027M","B25085_027MA","B25085_027EA",
"0500000US12057","Hillsborough County, Florida","9061","null","853","null","183","null","122","null","76","88","null","null","109","103","null","null","29","34","null","null","41","null","55","null","147","null","92","null","187","138","null","null","134","91","null","null","155","84","null","null","184","null","124","null","247","null","126","null","435","168","null","null","259","152","null","null","820","219","null","null","679","226","null","null","960","null","269","null","640","241","null","null","1205","307","null","null","703","241","null","null","743","null","258","null","763","null","244","null","185","null","128","null","61","null","72","null","28","null","32","null","50","53","null","null","38","46","null","null",
"0500000US12059","Holmes County, Florida","70","null","45","null","6","null","10","null","0","21","null","null","0","21","null","null","0","21","null","null","25","null","36","null","0","null","21","null","0","21","null","null","5","8","null","null","0","21","null","null","0","null","21","null","31","null","45","null","0","21","null","null","0","21","null","null","0","21","null","null","0","21","null","null","0","null","21","null","0","21","null","null","3","5","null","null","0","21","null","null","0","null","21","null","0","null","21","null","0","null","21","null","0","null","21","null","0","null","21","null","0","21","null","null","0","21","null","null",
"0500000US12061","Indian River County, Florida","2326","null","442","null","35","null","55","null","53","85","null","null","77","94","null","null","0","31","null","null","0","null","31","null","0","null","31","null","32","44","null","null","85","74","null","null","61","67","null","null","52","null","61","null","20","null","31","null","0","31","null","null","8","13","null","null","97","73","null","null","114","93","null","null","215","null","140","null","248","143","null","null","329","193","null","null","212","158","null","null","152","null","110","null","120","null","96","null","119","null","106","null","121","null","103","null","72","null","73","null","63","67","null","null","41","49","null","null",
"0500000US12063","Jackson County, Florida","207","null","126","null","0","null","28","null","0","28","null","null","0","28","null","null","0","28","null","null","0","null","28","null","0","null","28","null","35","45","null","null","52","57","null","null","2","3","null","null","0","null","28","null","42","null","66","null","0","28","null","null","0","28","null","null","29","43","null","null","7","11","null","null","0","null","28","null","8","14","null","null","32","49","null","null","0","28","null","null","0","null","28","null","0","null","28","null","0","null","28","null","0","null","28","null","0","null","28","null","0","28","null","null","0","28","null","null",
"0500000US12065","Jefferson County, Florida","113","null","85","null","0","null","21","null","0","21","null","null","0","21","null","null","0","21","null","null","0","null","21","null","0","null","21","null","0","21","null","null","0","21","null","null","13","20","null","null","51","null","51","null","0","null","21","null","0","21","null","null","0","21","null","null","0","21","null","null","0","21","null","null","12","null","19","null","0","21","null","null","0","21","null","null","0","21","null","null","0","null","21","null","0","null","21","null","0","null","21","null","0","null","21","null","0","null","21","null","0","21","null","null","37","57","null","null",
"0500000US12067","Lafayette County, Florida","54","null","67","null","22","null","38","null","0","19","null","null","0","19","null","null","0","19","null","null","0","null","19","null","0","null","19","null","0","19","null","null","0","19","null","null","0","19","null","null","23","null","37","null","0","null","19","null","0","19","null","null","9","16","null","null","0","19","null","null","0","19","null","null","0","null","19","null","0","19","null","null","0","19","null","null","0","19","null","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","0","19","null","null","0","19","null","null",
"0500000US12069","Lake County, Florida","4114","null","577","null","203","null","127","null","147","108","null","null","67","60","null","null","74","56","null","null","0","null","31","null","105","null","85","null","411","198","null","null","102","83","null","null","18","22","null","null","78","null","64","null","296","null","188","null","120","109","null","null","121","117","null","null","189","102","null","null","304","243","null","null","489","null","186","null","212","167","null","null","270","192","null","null","382","214","null","null","406","null","154","null","32","null","51","null","88","null","96","null","0","null","31","null","0","null","31","null","0","31","null","null","0","31","null","null",
"0500000US12071","Lee County, Florida","7500","null","862","null","27","null","43","null","15","24","null","null","16","28","null","null","34","52","null","null","85","null","82","null","62","null","45","null","100","74","null","null","144","108","null","null","264","134","null","null","223","null","171","null","195","null","105","null","254","128","null","null","118","135","null","null","639","234","null","null","653","266","null","null","421","null","182","null","745","238","null","null","891","292","null","null","503","171","null","null","749","null","216","null","449","null","170","null","451","null","179","null","96","null","68","null","80","null","59","null","177","129","null","null","109","74","null","null",
"0500000US12073","Leon County, Florida","1653","null","355","null","57","null","66","null","0","31","null","null","0","31","null","null","0","31","null","null","5","null","7","null","44","null","69","null","36","42","null","null","73","60","null","null","0","31","null","null","28","null","31","null","153","null","112","null","25","41","null","null","20","32","null","null","153","114","null","null","77","59","null","null","260","null","146","null","79","73","null","null","324","174","null","null","101","100","null","null","0","null","31","null","46","null","48","null","172","null","144","null","0","null","31","null","0","null","31","null","0","31","null","null","0","31","null","null",
"0500000US12075","Levy County, Florida","261","null","130","null","0","null","28","null","0","28","null","null","0","28","null","null","0","28","null","null","0","null","28","null","23","null","36","null","0","28","null","null","6","11","null","null","0","28","null","null","20","null","34","null","7","null","11","null","12","20","null","null","0","28","null","null","0","28","null","null","21","35","null","null","0","null","28","null","14","18","null","null","70","81","null","null","39","49","null","null","49","null","71","null","0","null","28","null","0","null","28","null","0","null","28","null","0","null","28","null","0","28","null","null","0","28","null","null",
