"GEO_ID","NAME","B25085_001E","B25085_001EA","B25085_001M","B25085_001MA","B25085_002E","B25085_002M","B25085_002MA","B25085_002EA","B25085_003E","B25085_003M","B25085_003MA","B25085_003EA","B25085_004E","B25085_004EA","B25085_004M","B25085_004MA","B25085_005E","B25085_005EA","B25085_005M","B25085_005MA","B25085_006E","B25085_006EA","B25085_006M","B25085_006MA","B25085_007E","B25085_007M","B25085_007MA","B25085_007EA","B25085_008E","B25085_008M","B25085_008MA","B25085_008EA","B25085_009E","B25085_009EA","B25085_009M","B25085_009MA","B25085_010E","B25085_010EA","B25085_010M","B25085_010MA","B25085_011E","B25085_011EA","B25085_011M","B25085_011MA","B25085_012E","B25085_012EA","B25085_012M","B25085_012MA","B25085_013E","B25085_013M","B25085_013MA","B25085_013EA","B25085_014E","B25085_014EA","B25085_014M","B25085_014MA","B25085_015E","B25085_015EA","B25085_015M","B25085_015MA","B25085_016E","B25085_016EA","B25085_016M","B25085_016MA","B25085_017E","B25085_017EA","B25085_017M","B25085_017MA","B25085_018E","B25085_018EA","B25085_018M","B25085_018MA","B25085_019E","B25085_019M","B25085_019MA","B25085_019EA","B25085_020E","B25085_020M","B25085_020MA","B25085_020EA","B25085_021E","B25085_021M","B25085_021MA","B25085_021EA","B25085_022E","B25085_022EA","B25085_022M","B25085_022MA","B25085_023E","B25085_023EA","B25085_023M","B25085_023MA","B25085_024E","B25085_024M","B25085_024MA","B25085_024EA","B25085_025E","B25085_025M","B25085_025MA","B25085_025EA","B25085_026E","B25085_026M","B25085_026MA","B25085_026EA","B25085_027E","B25085_027EA","B25085_027M","B25085_027MA",
"0500000US55071","Manitowoc County, Wisconsin","498","null","174","null","8","12","null","null","0","20","null","null","0","null","20","null","0","null","20","null","4","null","6","null","0","20","null","null","0","20","null","null","0","null","20","null","16","null","19","null","25","null","30","null","137","null","114","null","9","14","null","null","0","null","20","null","194","null","117","null","49","null","51","null","45","null","63","null","0","null","20","null","3","5","null","null","3","4","null","null","0","20","null","null","4","null","6","null","0","null","20","null","0","20","null","null","1","2","null","null","0","20","null","null","0","null","20","null",
"0500000US55073","Marathon County, Wisconsin","603","null","179","null","0","20","null","null","0","20","null","null","0","null","20","null","0","null","20","null","0","null","20","null","0","20","null","null","0","20","null","null","34","null","39","null","40","null","57","null","0","null","20","null","38","null","37","null","137","119","null","null","116","null","85","null","41","null","43","null","12","null","12","null","59","null","53","null","57","null","49","null","2","4","null","null","28","34","null","null","11","15","null","null","0","null","20","null","8","null","12","null","0","20","null","null","20","32","null","null","0","20","null","null","0","null","20","null",
"0500000US55075","Marinette County, Wisconsin","327","null","92","null","0","18","null","null","0","18","null","null","0","null","18","null","8","null","12","null","7","null","10","null","0","18","null","null","10","14","null","null","53","null","64","null","7","null","10","null","16","null","15","null","19","null","16","null","6","8","null","null","3","null","4","null","23","null","26","null","71","null","64","null","55","null","49","null","7","null","10","null","29","26","null","null","0","18","null","null","0","18","null","null","0","null","18","null","0","null","18","null","0","18","null","null","13","19","null","null","0","18","null","null","0","null","18","null",
"0500000US55077","Marquette County, Wisconsin","164","null","54","null","0","14","null","null","0","14","null","null","0","null","14","null","0","null","14","null","0","null","14","null","0","14","null","null","2","3","null","null","0","null","14","null","2","null","3","null","25","null","23","null","19","null","20","null","10","12","null","null","0","null","14","null","63","null","33","null","17","null","18","null","10","null","14","null","6","null","10","null","8","10","null","null","0","14","null","null","0","14","null","null","0","null","14","null","2","null","3","null","0","14","null","null","0","14","null","null","0","14","null","null","0","null","14","null",
"0500000US55078","Menominee County, Wisconsin","18","null","23","null","0","9","null","null","0","9","null","null","0","null","9","null","0","null","9","null","0","null","9","null","0","9","null","null","0","9","null","null","0","null","9","null","0","null","9","null","0","null","9","null","0","null","9","null","0","9","null","null","0","null","9","null","0","null","9","null","0","null","9","null","0","null","9","null","0","null","9","null","0","9","null","null","0","9","null","null","0","9","null","null","18","null","23","null","0","null","9","null","0","9","null","null","0","9","null","null","0","9","null","null","0","null","9","null",
"0500000US55079","Milwaukee County, Wisconsin","3757","null","490","null","201","97","null","null","27","30","null","null","84","null","54","null","75","null","70","null","50","null","46","null","50","48","null","null","59","42","null","null","101","null","73","null","167","null","94","null","132","null","76","null","61","null","46","null","188","91","null","null","86","null","66","null","525","null","166","null","396","null","162","null","570","null","197","null","227","null","127","null","195","110","null","null","208","125","null","null","218","144","null","null","21","null","26","null","22","null","21","null","72","49","null","null","5","8","null","null","17","25","null","null","0","null","20","null",
"0500000US55081","Monroe County, Wisconsin","343","null","146","null","0","18","null","null","0","18","null","null","0","null","18","null","0","null","18","null","0","null","18","null","6","11","null","null","0","18","null","null","0","null","18","null","51","null","59","null","24","null","29","null","0","null","18","null","97","112","null","null","6","null","10","null","19","null","20","null","55","null","46","null","29","null","22","null","31","null","39","null","0","18","null","null","0","18","null","null","0","18","null","null","0","null","18","null","19","null","22","null","6","10","null","null","0","18","null","null","0","18","null","null","0","null","18","null",
"0500000US55083","Oconto County, Wisconsin","234","null","80","null","24","22","null","null","0","18","null","null","0","null","18","null","0","null","18","null","0","null","18","null","0","18","null","null","0","18","null","null","16","null","17","null","2","null","3","null","14","null","16","null","22","null","36","null","36","46","null","null","19","null","20","null","19","null","20","null","26","null","22","null","10","null","13","null","30","null","28","null","13","14","null","null","3","4","null","null","0","18","null","null","0","null","18","null","0","null","18","null","0","18","null","null","0","18","null","null","0","18","null","null","0","null","18","null",
"0500000US55085","Oneida County, Wisconsin","308","null","99","null","0","18","null","null","0","18","null","null","8","null","13","null","0","null","18","null","0","null","18","null","0","18","null","null","0","18","null","null","0","null","18","null","19","null","31","null","8","null","13","null","30","null","44","null","0","18","null","null","20","null","26","null","29","null","28","null","11","null","17","null","20","null","24","null","22","null","19","null","79","51","null","null","26","28","null","null","2","3","null","null","31","null","32","null","3","null","5","null","0","18","null","null","0","18","null","null","0","18","null","null","0","null","18","null",
"0500000US55087","Outagamie County, Wisconsin","822","null","233","null","0","20","null","null","0","20","null","null","0","null","20","null","0","null","20","null","0","null","20","null","0","20","null","null","0","20","null","null","33","null","32","null","47","null","70","null","9","null","15","null","0","null","20","null","116","88","null","null","26","null","41","null","61","null","79","null","142","null","105","null","112","null","69","null","48","null","54","null","116","85","null","null","43","49","null","null","69","72","null","null","0","null","20","null","0","null","20","null","0","20","null","null","0","20","null","null","0","20","null","null","0","null","20","null",
"0500000US55089","Ozaukee County, Wisconsin","183","null","102","null","0","20","null","null","0","20","null","null","0","null","20","null","0","null","20","null","0","null","20","null","0","20","null","null","0","20","null","null","0","null","20","null","0","null","20","null","0","null","20","null","0","null","20","null","0","20","null","null","0","null","20","null","0","null","20","null","0","null","20","null","0","null","20","null","51","null","53","null","0","20","null","null","0","20","null","null","43","64","null","null","28","null","41","null","58","null","58","null","3","5","null","null","0","20","null","null","0","20","null","null","0","null","20","null",
"0500000US55091","Pepin County, Wisconsin","103","null","46","null","2","2","null","null","0","12","null","null","0","null","12","null","0","null","12","null","0","null","12","null","0","12","null","null","0","12","null","null","9","null","14","null","26","null","29","null","0","null","12","null","0","null","12","null","0","12","null","null","0","null","12","null","3","null","5","null","0","null","12","null","14","null","13","null","13","null","14","null","8","12","null","null","12","13","null","null","7","11","null","null","9","null","9","null","0","null","12","null","0","12","null","null","0","12","null","null","0","12","null","null","0","null","12","null",
"0500000US55093","Pierce County, Wisconsin","101","null","45","null","0","18","null","null","0","18","null","null","0","null","18","null","0","null","18","null","0","null","18","null","0","18","null","null","0","18","null","null","0","null","18","null","0","null","18","null","0","null","18","null","8","null","10","null","0","18","null","null","7","null","12","null","6","null","9","null","11","null","13","null","15","null","19","null","0","null","18","null","0","18","null","null","0","18","null","null","14","22","null","null","22","null","26","null","18","null","20","null","0","18","null","null","0","18","null","null","0","18","null","null","0","null","18","null",
"0500000US55095","Polk County, Wisconsin","197","null","63","null","0","18","null","null","0","18","null","null","0","null","18","null","0","null","18","null","0","null","18","null","0","18","null","null","0","18","null","null","37","null","32","null","7","null","11","null","32","null","32","null","9","null","9","null","0","18","null","null","0","null","18","null","43","null","37","null","9","null","11","null","4","null","8","null","8","null","9","null","4","7","null","null","40","31","null","null","0","18","null","null","0","null","18","null","0","null","18","null","4","8","null","null","0","18","null","null","0","18","null","null","0","null","18","null",
"0500000US55097","Portage County, Wisconsin","252","null","111","null","41","59","null","null","42","65","null","null","0","null","20","null","0","null","20","null","0","null","20","null","0","20","null","null","0","20","null","null","0","null","20","null","0","null","20","null","5","null","7","null","53","null","54","null","0","20","null","null","6","null","10","null","7","null","10","null","26","null","41","null","20","null","22","null","0","null","20","null","5","7","null","null","4","6","null","null","43","62","null","null","0","null","20","null","0","null","20","null","0","20","null","null","0","20","null","null","0","20","null","null","0","null","20","null",
"0500000US55099","Price County, Wisconsin","178","null","54","null","4","6","null","null","2","3","null","null","0","null","14","null","5","null","7","null","3","null","4","null","0","14","null","null","0","14","null","null","14","null","13","null","13","null","20","null","10","null","16","null","16","null","18","null","9","13","null","null","0","null","14","null","4","null","7","null","5","null","7","null","13","null","16","null","28","null","21","null","29","23","null","null","10","16","null","null","0","14","null","null","0","null","14","null","0","null","14","null","13","12","null","null","0","14","null","null","0","14","null","null","0","null","14","null",
