"GEO_ID","NAME","B25085_001E","B25085_001EA","B25085_001M","B25085_001MA","B25085_002E","B25085_002EA","B25085_002M","B25085_002MA","B25085_003E","B25085_003M","B25085_003MA","B25085_003EA","B25085_004E","B25085_004M","B25085_004MA","B25085_004EA","B25085_005E","B25085_005M","B25085_005MA","B25085_005EA","B25085_006E","B25085_006EA","B25085_006M","B25085_006MA","B25085_007E","B25085_007EA","B25085_007M","B25085_007MA","B25085_008E","B25085_008M","B25085_008MA","B25085_008EA","B25085_009E","B25085_009M","B25085_009MA","B25085_009EA","B25085_010E","B25085_010M","B25085_010MA","B25085_010EA","B25085_011E","B25085_011EA","B25085_011M","B25085_011MA","B25085_012E","B25085_012EA","B25085_012M","B25085_012MA","B25085_013E","B25085_013M","B25085_013MA","B25085_013EA","B25085_014E","B25085_014M","B25085_014MA","B25085_014EA","B25085_015E","B25085_015M","B25085_015MA","B25085_015EA","B25085_016E","B25085_016EA","B25085_016M","B25085_016MA","B25085_017E","B25085_017EA","B25085_017M","B25085_017MA","B25085_018E","B25085_018EA","B25085_018M","B25085_018MA","B25085_019E","B25085_019M","B25085_019MA","B25085_019EA","B25085_020E","B25085_020EA","B25085_020M","B25085_020MA","B25085_021E","B25085_021M","B25085_021MA","B25085_021EA","B25085_022E","B25085_022M","B25085_022MA","B25085_022EA","B25085_023E","B25085_023EA","B25085_023M","B25085_023MA","B25085_024E","B25085_024EA","B25085_024M","B25085_024MA","B25085_025E","B25085_025EA","B25085_025M","B25085_025MA","B25085_026E","B25085_026M","B25085_026MA","B25085_026EA","B25085_027E","B25085_027M","B25085_027MA","B25085_027EA",
"0500000US72083","Las Marías Municipio, Puerto Rico","59","null","58","null","0","null","20","null","0","20","null","null","0","20","null","null","0","20","null","null","0","null","20","null","0","null","20","null","0","20","null","null","28","45","null","null","23","36","null","null","0","null","20","null","0","null","20","null","0","20","null","null","0","20","null","null","8","13","null","null","0","null","20","null","0","null","20","null","0","null","20","null","0","20","null","null","0","null","20","null","0","20","null","null","0","20","null","null","0","null","20","null","0","null","20","null","0","null","20","null","0","20","null","null","0","20","null","null",
"0500000US72085","Las Piedras Municipio, Puerto Rico","102","null","92","null","0","null","30","null","0","30","null","null","0","30","null","null","0","30","null","null","0","null","30","null","0","null","30","null","0","30","null","null","22","36","null","null","0","30","null","null","0","null","30","null","22","null","35","null","37","50","null","null","0","30","null","null","0","30","null","null","0","null","30","null","0","null","30","null","0","null","30","null","21","36","null","null","0","null","30","null","0","30","null","null","0","30","null","null","0","null","30","null","0","null","30","null","0","null","30","null","0","30","null","null","0","30","null","null",
"0500000US72087","Loíza Municipio, Puerto Rico","284","null","105","null","0","null","27","null","0","27","null","null","0","27","null","null","0","27","null","null","38","null","30","null","0","null","27","null","0","27","null","null","0","27","null","null","0","27","null","null","21","null","32","null","41","null","45","null","12","19","null","null","68","42","null","null","26","30","null","null","30","null","35","null","0","null","27","null","14","null","21","null","34","38","null","null","0","null","27","null","0","27","null","null","0","27","null","null","0","null","27","null","0","null","27","null","0","null","27","null","0","27","null","null","0","27","null","null",
"0500000US72089","Luquillo Municipio, Puerto Rico","221","null","95","null","0","null","23","null","0","23","null","null","0","23","null","null","0","23","null","null","0","null","23","null","0","null","23","null","0","23","null","null","0","23","null","null","18","29","null","null","0","null","23","null","37","null","43","null","13","20","null","null","0","23","null","null","17","26","null","null","19","null","29","null","0","null","23","null","0","null","23","null","37","41","null","null","80","null","53","null","0","23","null","null","0","23","null","null","0","null","23","null","0","null","23","null","0","null","23","null","0","23","null","null","0","23","null","null",
"0500000US72091","Manatí Municipio, Puerto Rico","302","null","112","null","0","null","30","null","0","30","null","null","0","30","null","null","0","30","null","null","0","null","30","null","0","null","30","null","0","30","null","null","63","63","null","null","0","30","null","null","0","null","30","null","23","null","36","null","0","30","null","null","13","20","null","null","114","74","null","null","0","null","30","null","0","null","30","null","30","null","48","null","0","30","null","null","59","null","48","null","0","30","null","null","0","30","null","null","0","null","30","null","0","null","30","null","0","null","30","null","0","30","null","null","0","30","null","null",
"0500000US72093","Maricao Municipio, Puerto Rico","55","null","40","null","0","null","20","null","0","20","null","null","0","20","null","null","0","20","null","null","0","null","20","null","0","null","20","null","0","20","null","null","11","17","null","null","0","20","null","null","0","null","20","null","16","null","26","null","19","21","null","null","0","20","null","null","9","15","null","null","0","null","20","null","0","null","20","null","0","null","20","null","0","20","null","null","0","null","20","null","0","20","null","null","0","20","null","null","0","null","20","null","0","null","20","null","0","null","20","null","0","20","null","null","0","20","null","null",
"0500000US72095","Maunabo Municipio, Puerto Rico","0","null","23","null","0","null","23","null","0","23","null","null","0","23","null","null","0","23","null","null","0","null","23","null","0","null","23","null","0","23","null","null","0","23","null","null","0","23","null","null","0","null","23","null","0","null","23","null","0","23","null","null","0","23","null","null","0","23","null","null","0","null","23","null","0","null","23","null","0","null","23","null","0","23","null","null","0","null","23","null","0","23","null","null","0","23","null","null","0","null","23","null","0","null","23","null","0","null","23","null","0","23","null","null","0","23","null","null",
"0500000US72097","Mayagüez Municipio, Puerto Rico","956","null","223","null","0","null","34","null","0","34","null","null","0","34","null","null","0","34","null","null","0","null","34","null","0","null","34","null","0","34","null","null","176","106","null","null","0","34","null","null","41","null","39","null","36","null","42","null","95","67","null","null","77","51","null","null","108","70","null","null","129","null","81","null","0","null","34","null","0","null","34","null","89","58","null","null","110","null","78","null","78","55","null","null","0","34","null","null","0","null","34","null","0","null","34","null","17","null","27","null","0","34","null","null","0","34","null","null",
"0500000US72099","Moca Municipio, Puerto Rico","35","null","41","null","0","null","30","null","0","30","null","null","0","30","null","null","0","30","null","null","0","null","30","null","0","null","30","null","0","30","null","null","0","30","null","null","0","30","null","null","0","null","30","null","0","null","30","null","0","30","null","null","0","30","null","null","0","30","null","null","0","null","30","null","18","null","29","null","0","null","30","null","0","30","null","null","17","null","28","null","0","30","null","null","0","30","null","null","0","null","30","null","0","null","30","null","0","null","30","null","0","30","null","null","0","30","null","null",
"0500000US72101","Morovis Municipio, Puerto Rico","151","null","95","null","0","null","30","null","0","30","null","null","0","30","null","null","0","30","null","null","0","null","30","null","0","null","30","null","0","30","null","null","0","30","null","null","0","30","null","null","0","null","30","null","0","null","30","null","0","30","null","null","30","50","null","null","55","51","null","null","23","null","37","null","0","null","30","null","0","null","30","null","0","30","null","null","43","null","49","null","0","30","null","null","0","30","null","null","0","null","30","null","0","null","30","null","0","null","30","null","0","30","null","null","0","30","null","null",
