"GEO_ID","NAME","B25085_001E","B25085_001EA","B25085_001M","B25085_001MA","B25085_002E","B25085_002EA","B25085_002M","B25085_002MA","B25085_003E","B25085_003M","B25085_003MA","B25085_003EA","B25085_004E","B25085_004M","B25085_004MA","B25085_004EA","B25085_005E","B25085_005M","B25085_005MA","B25085_005EA","B25085_006E","B25085_006EA","B25085_006M","B25085_006MA","B25085_007E","B25085_007EA","B25085_007M","B25085_007MA","B25085_008E","B25085_008M","B25085_008MA","B25085_008EA","B25085_009E","B25085_009M","B25085_009MA","B25085_009EA","B25085_010E","B25085_010M","B25085_010MA","B25085_010EA","B25085_011E","B25085_011EA","B25085_011M","B25085_011MA","B25085_012E","B25085_012EA","B25085_012M","B25085_012MA","B25085_013E","B25085_013M","B25085_013MA","B25085_013EA","B25085_014E","B25085_014M","B25085_014MA","B25085_014EA","B25085_015E","B25085_015M","B25085_015MA","B25085_015EA","B25085_016E","B25085_016EA","B25085_016M","B25085_016MA","B25085_017E","B25085_017EA","B25085_017M","B25085_017MA","B25085_018E","B25085_018EA","B25085_018M","B25085_018MA","B25085_019E","B25085_019M","B25085_019MA","B25085_019EA","B25085_020E","B25085_020EA","B25085_020M","B25085_020MA","B25085_021E","B25085_021M","B25085_021MA","B25085_021EA","B25085_022E","B25085_022M","B25085_022MA","B25085_022EA","B25085_023E","B25085_023EA","B25085_023M","B25085_023MA","B25085_024E","B25085_024EA","B25085_024M","B25085_024MA","B25085_025E","B25085_025EA","B25085_025M","B25085_025MA","B25085_026E","B25085_026M","B25085_026MA","B25085_026EA","B25085_027E","B25085_027M","B25085_027MA","B25085_027EA",
"Geography","Geographic Area Name","Estimate!!Total:","Annotation of Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Estimate!!Total:!!Less than $10,000","Annotation of Estimate!!Total:!!Less than $10,000","Margin of Error!!Total:!!Less than $10,000","Annotation of Margin of Error!!Total:!!Less than $10,000","Estimate!!Total:!!$10,000 to $14,999","Margin of Error!!Total:!!$10,000 to $14,999","Annotation of Margin of Error!!Total:!!$10,000 to $14,999","Annotation of Estimate!!Total:!!$10,000 to $14,999","Estimate!!Total:!!$15,000 to $19,999","Margin of Error!!Total:!!$15,000 to $19,999","Annotation of Margin of Error!!Total:!!$15,000 to $19,999","Annotation of Estimate!!Total:!!$15,000 to $19,999","Estimate!!Total:!!$20,000 to $24,999","Margin of Error!!Total:!!$20,000 to $24,999","Annotation of Margin of Error!!Total:!!$20,000 to $24,999","Annotation of Estimate!!Total:!!$20,000 to $24,999","Estimate!!Total:!!$25,000 to $29,999","Annotation of Estimate!!Total:!!$25,000 to $29,999","Margin of Error!!Total:!!$25,000 to $29,999","Annotation of Margin of Error!!Total:!!$25,000 to $29,999","Estimate!!Total:!!$30,000 to $34,999","Annotation of Estimate!!Total:!!$30,000 to $34,999","Margin of Error!!Total:!!$30,000 to $34,999","Annotation of Margin of Error!!Total:!!$30,000 to $34,999","Estimate!!Total:!!$35,000 to $39,999","Margin of Error!!Total:!!$35,000 to $39,999","Annotation of Margin of Error!!Total:!!$35,000 to $39,999","Annotation of Estimate!!Total:!!$35,000 to $39,999","Estimate!!Total:!!$40,000 to $49,999","Margin of Error!!Total:!!$40,000 to $49,999","Annotation of Margin of Error!!Total:!!$40,000 to $49,999","Annotation of Estimate!!Total:!!$40,000 to $49,999","Estimate!!Total:!!$50,000 to $59,999","Margin of Error!!Total:!!$50,000 to $59,999","Annotation of Margin of Error!!Total:!!$50,000 to $59,999","Annotation of Estimate!!Total:!!$50,000 to $59,999","Estimate!!Total:!!$60,000 to $69,999","Annotation of Estimate!!Total:!!$60,000 to $69,999","Margin of Error!!Total:!!$60,000 to $69,999","Annotation of Margin of Error!!Total:!!$60,000 to $69,999","Estimate!!Total:!!$70,000 to $79,999","Annotation of Estimate!!Total:!!$70,000 to $79,999","Margin of Error!!Total:!!$70,000 to $79,999","Annotation of Margin of Error!!Total:!!$70,000 to $79,999","Estimate!!Total:!!$80,000 to $89,999","Margin of Error!!Total:!!$80,000 to $89,999","Annotation of Margin of Error!!Total:!!$80,000 to $89,999","Annotation of Estimate!!Total:!!$80,000 to $89,999","Estimate!!Total:!!$90,000 to $99,999","Margin of Error!!Total:!!$90,000 to $99,999","Annotation of Margin of Error!!Total:!!$90,000 to $99,999","Annotation of Estimate!!Total:!!$90,000 to $99,999","Estimate!!Total:!!$100,000 to $124,999","Margin of Error!!Total:!!$100,000 to $124,999","Annotation of Margin of Error!!Total:!!$100,000 to $124,999","Annotation of Estimate!!Total:!!$100,000 to $124,999","Estimate!!Total:!!$125,000 to $149,999","Annotation of Estimate!!Total:!!$125,000 to $149,999","Margin of Error!!Total:!!$125,000 to $149,999","Annotation of Margin of Error!!Total:!!$125,000 to $149,999","Estimate!!Total:!!$150,000 to $174,999","Annotation of Estimate!!Total:!!$150,000 to $174,999","Margin of Error!!Total:!!$150,000 to $174,999","Annotation of Margin of Error!!Total:!!$150,000 to $174,999","Estimate!!Total:!!$175,000 to $199,999","Annotation of Estimate!!Total:!!$175,000 to $199,999","Margin of Error!!Total:!!$175,000 to $199,999","Annotation of Margin of Error!!Total:!!$175,000 to $199,999","Estimate!!Total:!!$200,000 to $249,999","Margin of Error!!Total:!!$200,000 to $249,999","Annotation of Margin of Error!!Total:!!$200,000 to $249,999","Annotation of Estimate!!Total:!!$200,000 to $249,999","Estimate!!Total:!!$250,000 to $299,999","Annotation of Estimate!!Total:!!$250,000 to $299,999","Margin of Error!!Total:!!$250,000 to $299,999","Annotation of Margin of Error!!Total:!!$250,000 to $299,999","Estimate!!Total:!!$300,000 to $399,999","Margin of Error!!Total:!!$300,000 to $399,999","Annotation of Margin of Error!!Total:!!$300,000 to $399,999","Annotation of Estimate!!Total:!!$300,000 to $399,999","Estimate!!Total:!!$400,000 to $499,999","Margin of Error!!Total:!!$400,000 to $499,999","Annotation of Margin of Error!!Total:!!$400,000 to $499,999","Annotation of Estimate!!Total:!!$400,000 to $499,999","Estimate!!Total:!!$500,000 to $749,999","Annotation of Estimate!!Total:!!$500,000 to $749,999","Margin of Error!!Total:!!$500,000 to $749,999","Annotation of Margin of Error!!Total:!!$500,000 to $749,999","Estimate!!Total:!!$750,000 to $999,999","Annotation of Estimate!!Total:!!$750,000 to $999,999","Margin of Error!!Total:!!$750,000 to $999,999","Annotation of Margin of Error!!Total:!!$750,000 to $999,999","Estimate!!Total:!!$1,000,000 to $1,499,999","Annotation of Estimate!!Total:!!$1,000,000 to $1,499,999","Margin of Error!!Total:!!$1,000,000 to $1,499,999","Annotation of Margin of Error!!Total:!!$1,000,000 to $1,499,999","Estimate!!Total:!!$1,500,000 to $1,999,999","Margin of Error!!Total:!!$1,500,000 to $1,999,999","Annotation of Margin of Error!!Total:!!$1,500,000 to $1,999,999","Annotation of Estimate!!Total:!!$1,500,000 to $1,999,999","Estimate!!Total:!!$2,000,000 or more","Margin of Error!!Total:!!$2,000,000 or more","Annotation of Margin of Error!!Total:!!$2,000,000 or more","Annotation of Estimate!!Total:!!$2,000,000 or more",
"0500000US01001","Autauga County, Alabama","333","null","151","null","8","null","13","null","0","29","null","null","0","29","null","null","0","29","null","null","0","null","29","null","0","null","29","null","0","29","null","null","8","12","null","null","0","29","null","null","0","null","29","null","0","null","29","null","94","144","null","null","28","31","null","null","52","57","null","null","5","null","9","null","43","null","70","null","8","null","26","null","67","54","null","null","0","null","29","null","20","30","null","null","0","29","null","null","0","null","29","null","0","null","29","null","0","null","29","null","0","29","null","null","0","29","null","null",
"0500000US01003","Baldwin County, Alabama","2840","null","551","null","44","null","43","null","0","29","null","null","0","29","null","null","0","29","null","null","0","null","29","null","60","null","75","null","0","29","null","null","8","13","null","null","0","29","null","null","13","null","21","null","0","null","29","null","27","45","null","null","24","37","null","null","178","123","null","null","47","null","48","null","370","null","245","null","372","null","242","null","405","231","null","null","91","null","62","null","744","362","null","null","335","196","null","null","89","null","54","null","33","null","32","null","0","null","29","null","0","29","null","null","0","29","null","null",
"0500000US01005","Barbour County, Alabama","308","null","114","null","4","null","8","null","0","23","null","null","0","23","null","null","11","17","null","null","0","null","23","null","0","null","23","null","6","10","null","null","38","53","null","null","31","33","null","null","15","null","24","null","5","null","8","null","24","29","null","null","15","24","null","null","0","23","null","null","0","null","23","null","47","null","40","null","11","null","17","null","29","45","null","null","31","null","50","null","31","49","null","null","0","23","null","null","10","null","15","null","0","null","23","null","0","null","23","null","0","23","null","null","0","23","null","null",
"0500000US01007","Bibb County, Alabama","85","null","74","null","0","null","23","null","0","23","null","null","0","23","null","null","0","23","null","null","0","null","23","null","0","null","23","null","0","23","null","null","7","11","null","null","38","57","null","null","0","null","23","null","0","null","23","null","0","23","null","null","0","23","null","null","0","23","null","null","22","null","28","null","0","null","23","null","0","null","23","null","0","23","null","null","0","null","23","null","0","23","null","null","0","23","null","null","18","null","31","null","0","null","23","null","0","null","23","null","0","23","null","null","0","23","null","null",
"0500000US01009","Blount County, Alabama","215","null","105","null","57","null","54","null","4","7","null","null","0","29","null","null","0","29","null","null","0","null","29","null","0","null","29","null","21","34","null","null","56","61","null","null","14","16","null","null","0","null","29","null","0","null","29","null","4","7","null","null","8","13","null","null","9","14","null","null","26","null","38","null","0","null","29","null","9","null","14","null","7","11","null","null","0","null","29","null","0","29","null","null","0","29","null","null","0","null","29","null","0","null","29","null","0","null","29","null","0","29","null","null","0","29","null","null",
"0500000US01011","Bullock County, Alabama","3","null","5","null","0","null","19","null","0","19","null","null","0","19","null","null","0","19","null","null","3","null","5","null","0","null","19","null","0","19","null","null","0","19","null","null","0","19","null","null","0","null","19","null","0","null","19","null","0","19","null","null","0","19","null","null","0","19","null","null","0","null","19","null","0","null","19","null","0","null","19","null","0","19","null","null","0","null","19","null","0","19","null","null","0","19","null","null","0","null","19","null","0","null","19","null","0","null","19","null","0","19","null","null","0","19","null","null",
"0500000US01013","Butler County, Alabama","1635","null","263","null","243","null","97","null","61","52","null","null","77","83","null","null","0","19","null","null","24","null","26","null","0","null","19","null","36","54","null","null","128","60","null","null","170","92","null","null","146","null","82","null","31","null","29","null","97","58","null","null","97","69","null","null","46","45","null","null","30","null","22","null","70","null","46","null","176","null","85","null","121","63","null","null","0","null","19","null","17","28","null","null","0","19","null","null","65","null","46","null","0","null","19","null","0","null","19","null","0","19","null","null","0","19","null","null",
"0500000US01015","Calhoun County, Alabama","826","null","225","null","119","null","88","null","97","110","null","null","22","27","null","null","0","29","null","null","0","null","29","null","0","null","29","null","19","31","null","null","0","29","null","null","35","47","null","null","40","null","49","null","0","null","29","null","127","96","null","null","11","18","null","null","40","60","null","null","15","null","24","null","147","null","92","null","30","null","36","null","62","57","null","null","58","null","60","null","4","7","null","null","0","29","null","null","0","null","29","null","0","null","29","null","0","null","29","null","0","29","null","null","0","29","null","null",
"0500000US01017","Chambers County, Alabama","376","null","150","null","68","null","60","null","0","26","null","null","0","26","null","null","0","26","null","null","0","null","26","null","13","null","20","null","0","26","null","null","0","26","null","null","0","26","null","null","39","null","49","null","24","null","38","null","0","26","null","null","23","37","null","null","0","26","null","null","124","null","100","null","85","null","68","null","0","null","26","null","0","26","null","null","0","null","26","null","0","26","null","null","0","26","null","null","0","null","26","null","0","null","26","null","0","null","26","null","0","26","null","null","0","26","null","null",
"0500000US01019","Cherokee County, Alabama","321","null","146","null","28","null","31","null","0","23","null","null","0","23","null","null","0","23","null","null","0","null","23","null","0","null","23","null","0","23","null","null","0","23","null","null","0","23","null","null","43","null","48","null","30","null","35","null","0","23","null","null","15","26","null","null","0","23","null","null","47","null","54","null","105","null","89","null","0","null","23","null","26","41","null","null","0","null","23","null","0","23","null","null","0","23","null","null","27","null","44","null","0","null","23","null","0","null","23","null","0","23","null","null","0","23","null","null",
"0500000US01021","Chilton County, Alabama","1118","null","357","null","53","null","81","null","53","67","null","null","0","26","null","null","0","26","null","null","0","null","26","null","0","null","26","null","0","26","null","null","49","49","null","null","26","34","null","null","99","null","92","null","0","null","26","null","60","59","null","null","87","86","null","null","57","65","null","null","106","null","76","null","209","null","165","null","47","null","74","null","125","106","null","null","98","null","110","null","46","54","null","null","0","26","null","null","3","null","13","null","0","null","26","null","0","null","26","null","0","26","null","null","0","26","null","null",
"0500000US01023","Choctaw County, Alabama","21","null","26","null","0","null","19","null","0","19","null","null","0","19","null","null","0","19","null","null","0","null","19","null","0","null","19","null","0","19","null","null","0","19","null","null","0","19","null","null","0","null","19","null","5","null","7","null","16","24","null","null","0","19","null","null","0","19","null","null","0","null","19","null","0","null","19","null","0","null","19","null","0","19","null","null","0","null","19","null","0","19","null","null","0","19","null","null","0","null","19","null","0","null","19","null","0","null","19","null","0","19","null","null","0","19","null","null",
"0500000US01025","Clarke County, Alabama","197","null","151","null","0","null","23","null","0","23","null","null","0","23","null","null","0","23","null","null","0","null","23","null","22","null","35","null","0","23","null","null","116","112","null","null","0","23","null","null","0","null","23","null","24","null","35","null","31","39","null","null","0","23","null","null","0","23","null","null","0","null","23","null","4","null","7","null","0","null","23","null","0","23","null","null","0","null","23","null","0","23","null","null","0","23","null","null","0","null","23","null","0","null","23","null","0","null","23","null","0","23","null","null","0","23","null","null",
"0500000US01027","Clay County, Alabama","101","null","79","null","0","null","19","null","0","19","null","null","0","19","null","null","0","19","null","null","0","null","19","null","16","null","25","null","0","19","null","null","21","36","null","null","0","19","null","null","0","null","19","null","0","null","19","null","0","19","null","null","38","43","null","null","0","19","null","null","0","null","19","null","0","null","19","null","0","null","19","null","26","31","null","null","0","null","19","null","0","19","null","null","0","19","null","null","0","null","19","null","0","null","19","null","0","null","19","null","0","19","null","null","0","19","null","null",
"0500000US01029","Cleburne County, Alabama","70","null","61","null","0","null","19","null","0","19","null","null","0","19","null","null","0","19","null","null","0","null","19","null","0","null","19","null","0","19","null","null","26","41","null","null","0","19","null","null","0","null","19","null","3","null","5","null","0","19","null","null","0","19","null","null","2","4","null","null","0","null","19","null","10","null","15","null","0","null","19","null","0","19","null","null","0","null","19","null","0","19","null","null","29","43","null","null","0","null","19","null","0","null","19","null","0","null","19","null","0","19","null","null","0","19","null","null",
"0500000US01031","Coffee County, Alabama","299","null","107","null","18","null","15","null","3","5","null","null","0","29","null","null","0","29","null","null","0","null","29","null","19","null","18","null","0","29","null","null","27","24","null","null","7","11","null","null","6","null","9","null","33","null","22","null","12","14","null","null","0","29","null","null","37","28","null","null","6","null","9","null","5","null","8","null","63","null","63","null","45","66","null","null","0","null","29","null","0","29","null","null","11","12","null","null","0","null","29","null","0","null","29","null","7","null","11","null","0","29","null","null","0","29","null","null",
"0500000US01033","Colbert County, Alabama","338","null","138","null","0","null","29","null","0","29","null","null","12","20","null","null","0","29","null","null","0","null","29","null","0","null","29","null","0","29","null","null","76","64","null","null","0","29","null","null","98","null","96","null","20","null","28","null","6","9","null","null","0","29","null","null","65","40","null","null","28","null","45","null","33","null","31","null","0","null","29","null","0","29","null","null","0","null","29","null","0","29","null","null","0","29","null","null","0","null","29","null","0","null","29","null","0","null","29","null","0","29","null","null","0","29","null","null",
"0500000US01035","Conecuh County, Alabama","311","null","117","null","10","null","18","null","0","19","null","null","0","19","null","null","0","19","null","null","0","null","19","null","3","null","6","null","0","19","null","null","0","19","null","null","39","35","null","null","31","null","28","null","35","null","31","null","154","108","null","null","0","19","null","null","39","34","null","null","0","null","19","null","0","null","19","null","0","null","19","null","0","19","null","null","0","null","19","null","0","19","null","null","0","19","null","null","0","null","19","null","0","null","19","null","0","null","19","null","0","19","null","null","0","19","null","null",
"0500000US01037","Coosa County, Alabama","307","null","105","null","0","null","19","null","0","19","null","null","0","19","null","null","0","19","null","null","0","null","19","null","0","null","19","null","0","19","null","null","42","44","null","null","0","19","null","null","35","null","44","null","47","null","46","null","39","44","null","null","0","19","null","null","72","55","null","null","12","null","20","null","34","null","24","null","13","null","22","null","0","19","null","null","0","null","19","null","0","19","null","null","0","19","null","null","0","null","19","null","0","null","19","null","13","null","21","null","0","19","null","null","0","19","null","null",
"0500000US01039","Covington County, Alabama","478","null","168","null","95","null","69","null","3","5","null","null","0","26","null","null","0","26","null","null","0","null","26","null","0","null","26","null","0","26","null","null","86","57","null","null","14","16","null","null","44","null","27","null","53","null","63","null","2","5","null","null","41","43","null","null","48","31","null","null","59","null","62","null","0","null","26","null","0","null","26","null","16","26","null","null","17","null","24","null","0","26","null","null","0","26","null","null","0","null","26","null","0","null","26","null","0","null","26","null","0","26","null","null","0","26","null","null",
"0500000US01041","Crenshaw County, Alabama","648","null","154","null","70","null","51","null","0","19","null","null","0","19","null","null","0","19","null","null","0","null","19","null","36","null","30","null","0","19","null","null","34","29","null","null","123","82","null","null","55","null","39","null","49","null","48","null","110","60","null","null","52","47","null","null","76","53","null","null","0","null","19","null","0","null","19","null","0","null","19","null","31","31","null","null","0","null","19","null","0","19","null","null","0","19","null","null","0","null","19","null","0","null","19","null","12","null","19","null","0","19","null","null","0","19","null","null",
"0500000US01043","Cullman County, Alabama","488","null","176","null","15","null","17","null","0","29","null","null","0","29","null","null","0","29","null","null","12","null","19","null","51","null","57","null","0","29","null","null","0","29","null","null","0","29","null","null","93","null","110","null","16","null","25","null","31","49","null","null","7","13","null","null","119","97","null","null","6","null","9","null","17","null","31","null","30","null","47","null","38","39","null","null","24","null","38","null","0","29","null","null","0","29","null","null","0","null","29","null","0","null","29","null","0","null","29","null","0","29","null","null","29","44","null","null",
"0500000US01045","Dale County, Alabama","167","null","96","null","0","null","26","null","0","26","null","null","0","26","null","null","0","26","null","null","0","null","26","null","4","null","6","null","0","26","null","null","39","47","null","null","36","37","null","null","0","null","26","null","30","null","31","null","0","26","null","null","0","26","null","null","22","34","null","null","0","null","26","null","0","null","26","null","36","null","56","null","0","26","null","null","0","null","26","null","0","26","null","null","0","26","null","null","0","null","26","null","0","null","26","null","0","null","26","null","0","26","null","null","0","26","null","null",
"0500000US01047","Dallas County, Alabama","357","null","173","null","0","null","26","null","0","26","null","null","0","26","null","null","0","26","null","null","53","null","49","null","0","null","26","null","18","29","null","null","0","26","null","null","34","40","null","null","70","null","66","null","47","null","54","null","13","22","null","null","39","47","null","null","0","26","null","null","0","null","26","null","0","null","26","null","17","null","25","null","0","26","null","null","61","null","96","null","5","8","null","null","0","26","null","null","0","null","26","null","0","null","26","null","0","null","26","null","0","26","null","null","0","26","null","null",
"0500000US01049","DeKalb County, Alabama","542","null","211","null","47","null","75","null","7","11","null","null","40","54","null","null","0","29","null","null","0","null","29","null","0","null","29","null","0","29","null","null","146","101","null","null","67","93","null","null","35","null","39","null","0","null","29","null","48","44","null","null","0","29","null","null","28","22","null","null","33","null","39","null","42","null","40","null","4","null","6","null","28","38","null","null","17","null","27","null","0","29","null","null","0","29","null","null","0","null","29","null","0","null","29","null","0","null","29","null","0","29","null","null","0","29","null","null",
"0500000US01051","Elmore County, Alabama","672","null","242","null","0","null","29","null","0","29","null","null","10","16","null","null","0","29","null","null","0","null","29","null","0","null","29","null","0","29","null","null","42","56","null","null","0","29","null","null","121","null","99","null","0","null","29","null","50","68","null","null","54","61","null","null","51","75","null","null","0","null","29","null","128","null","99","null","76","null","104","null","0","29","null","null","69","null","81","null","0","29","null","null","35","44","null","null","36","null","41","null","0","null","29","null","0","null","29","null","0","29","null","null","0","29","null","null",
"0500000US01053","Escambia County, Alabama","251","null","142","null","0","null","26","null","0","26","null","null","0","26","null","null","0","26","null","null","12","null","22","null","0","null","26","null","0","26","null","null","0","26","null","null","0","26","null","null","0","null","26","null","37","null","60","null","24","38","null","null","41","69","null","null","31","31","null","null","28","null","46","null","0","null","26","null","0","null","26","null","48","64","null","null","30","null","47","null","0","26","null","null","0","26","null","null","0","null","26","null","0","null","26","null","0","null","26","null","0","26","null","null","0","26","null","null",
"0500000US01055","Etowah County, Alabama","624","null","256","null","0","null","29","null","0","29","null","null","94","88","null","null","18","20","null","null","15","null","13","null","49","null","57","null","0","29","null","null","15","24","null","null","89","58","null","null","43","null","67","null","52","null","73","null","0","29","null","null","94","89","null","null","0","29","null","null","59","null","57","null","0","null","29","null","0","null","29","null","69","89","null","null","27","null","41","null","0","29","null","null","0","29","null","null","0","null","29","null","0","null","29","null","0","null","29","null","0","29","null","null","0","29","null","null",
"0500000US01057","Fayette County, Alabama","221","null","193","null","0","null","19","null","0","19","null","null","0","19","null","null","0","19","null","null","0","null","19","null","28","null","45","null","28","43","null","null","0","19","null","null","0","19","null","null","0","null","19","null","80","null","141","null","0","19","null","null","0","19","null","null","0","19","null","null","27","null","42","null","25","null","34","null","0","null","19","null","33","54","null","null","0","null","19","null","0","19","null","null","0","19","null","null","0","null","19","null","0","null","19","null","0","null","19","null","0","19","null","null","0","19","null","null",
"0500000US01059","Franklin County, Alabama","292","null","137","null","0","null","26","null","0","26","null","null","0","26","null","null","0","26","null","null","0","null","26","null","21","null","31","null","0","26","null","null","22","38","null","null","0","26","null","null","0","null","26","null","105","null","118","null","0","26","null","null","0","26","null","null","0","26","null","null","67","null","86","null","26","null","43","null","0","null","26","null","28","45","null","null","0","null","26","null","0","26","null","null","0","26","null","null","0","null","26","null","23","null","38","null","0","null","26","null","0","26","null","null","0","26","null","null",
"0500000US01061","Geneva County, Alabama","176","null","97","null","0","null","23","null","0","23","null","null","47","71","null","null","0","23","null","null","0","null","23","null","6","null","10","null","4","7","null","null","0","23","null","null","13","22","null","null","12","null","20","null","21","null","23","null","8","13","null","null","0","23","null","null","0","23","null","null","28","null","24","null","18","null","27","null","0","null","23","null","7","11","null","null","12","null","19","null","0","23","null","null","0","23","null","null","0","null","23","null","0","null","23","null","0","null","23","null","0","23","null","null","0","23","null","null",
"0500000US01063","Greene County, Alabama","13","null","20","null","0","null","17","null","0","17","null","null","0","17","null","null","0","17","null","null","0","null","17","null","0","null","17","null","0","17","null","null","0","17","null","null","13","20","null","null","0","null","17","null","0","null","17","null","0","17","null","null","0","17","null","null","0","17","null","null","0","null","17","null","0","null","17","null","0","null","17","null","0","17","null","null","0","null","17","null","0","17","null","null","0","17","null","null","0","null","17","null","0","null","17","null","0","null","17","null","0","17","null","null","0","17","null","null",
"0500000US01065","Hale County, Alabama","119","null","81","null","0","null","19","null","18","28","null","null","17","28","null","null","0","19","null","null","0","null","19","null","0","null","19","null","0","19","null","null","0","19","null","null","0","19","null","null","18","null","28","null","0","null","19","null","0","19","null","null","0","19","null","null","0","19","null","null","47","null","44","null","17","null","31","null","0","null","19","null","2","4","null","null","0","null","19","null","0","19","null","null","0","19","null","null","0","null","19","null","0","null","19","null","0","null","19","null","0","19","null","null","0","19","null","null",
"0500000US01067","Henry County, Alabama","156","null","88","null","0","null","19","null","25","41","null","null","0","19","null","null","0","19","null","null","0","null","19","null","14","null","23","null","0","19","null","null","0","19","null","null","0","19","null","null","28","null","39","null","32","null","31","null","5","8","null","null","0","19","null","null","0","19","null","null","26","null","35","null","0","null","19","null","12","null","20","null","0","19","null","null","0","null","19","null","0","19","null","null","0","19","null","null","0","null","19","null","14","null","21","null","0","null","19","null","0","19","null","null","0","19","null","null",
"0500000US01069","Houston County, Alabama","767","null","135","null","0","null","29","null","29","24","null","null","11","14","null","null","3","5","null","null","15","null","16","null","6","null","9","null","9","13","null","null","27","22","null","null","47","36","null","null","52","null","36","null","93","null","52","null","17","16","null","null","46","38","null","null","75","36","null","null","95","null","44","null","48","null","28","null","78","null","36","null","25","20","null","null","36","null","29","null","32","25","null","null","11","12","null","null","5","null","8","null","0","null","29","null","0","null","29","null","7","11","null","null","0","29","null","null",
"0500000US01071","Jackson County, Alabama","461","null","193","null","0","null","29","null","0","29","null","null","0","29","null","null","0","29","null","null","2","null","4","null","72","null","80","null","15","24","null","null","37","47","null","null","74","56","null","null","6","null","9","null","0","null","29","null","49","76","null","null","20","33","null","null","0","29","null","null","18","null","27","null","18","null","22","null","0","null","29","null","104","95","null","null","6","null","9","null","20","46","null","null","3","5","null","null","17","null","28","null","0","null","29","null","0","null","29","null","0","29","null","null","0","29","null","null",
"0500000US01073","Jefferson County, Alabama","4149","null","716","null","28","null","31","null","87","67","null","null","0","29","null","null","89","77","null","null","57","null","94","null","84","null","77","null","52","56","null","null","267","130","null","null","134","93","null","null","282","null","147","null","165","null","97","null","198","129","null","null","41","45","null","null","289","154","null","null","159","null","119","null","259","null","140","null","190","null","130","null","686","278","null","null","345","null","247","null","188","131","null","null","82","84","null","null","278","null","177","null","107","null","122","null","0","null","29","null","0","29","null","null","82","78","null","null",
"0500000US01075","Lamar County, Alabama","136","null","111","null","0","null","19","null","0","19","null","null","0","19","null","null","0","19","null","null","0","null","19","null","0","null","19","null","13","21","null","null","0","19","null","null","0","19","null","null","0","null","19","null","47","null","57","null","0","19","null","null","0","19","null","null","3","4","null","null","0","null","19","null","16","null","19","null","0","null","19","null","0","19","null","null","0","null","19","null","0","19","null","null","0","19","null","null","0","null","19","null","57","null","93","null","0","null","19","null","0","19","null","null","0","19","null","null",
"0500000US01077","Lauderdale County, Alabama","533","null","188","null","26","null","43","null","0","29","null","null","13","20","null","null","0","29","null","null","0","null","29","null","39","null","65","null","9","13","null","null","42","41","null","null","50","56","null","null","51","null","58","null","0","null","29","null","25","41","null","null","49","60","null","null","0","29","null","null","14","null","22","null","39","null","59","null","8","null","14","null","50","77","null","null","5","null","7","null","113","94","null","null","0","29","null","null","0","null","29","null","0","null","29","null","0","null","29","null","0","29","null","null","0","29","null","null",
"0500000US01079","Lawrence County, Alabama","209","null","142","null","0","null","26","null","0","26","null","null","0","26","null","null","0","26","null","null","26","null","42","null","0","null","26","null","0","26","null","null","60","72","null","null","0","26","null","null","0","null","26","null","0","null","26","null","16","20","null","null","24","34","null","null","0","26","null","null","0","null","26","null","20","null","32","null","19","null","32","null","44","69","null","null","0","null","26","null","0","26","null","null","0","26","null","null","0","null","26","null","0","null","26","null","0","null","26","null","0","26","null","null","0","26","null","null",
"0500000US01081","Lee County, Alabama","1120","null","375","null","0","null","29","null","0","29","null","null","46","40","null","null","5","7","null","null","31","null","48","null","0","null","29","null","114","121","null","null","0","29","null","null","0","29","null","null","0","null","29","null","0","null","29","null","0","29","null","null","42","66","null","null","238","178","null","null","75","null","84","null","63","null","83","null","35","null","62","null","14","16","null","null","317","null","174","null","140","128","null","null","0","29","null","null","0","null","29","null","0","null","29","null","0","null","29","null","0","29","null","null","0","29","null","null",
"0500000US01083","Limestone County, Alabama","507","null","233","null","0","null","29","null","0","29","null","null","0","29","null","null","0","29","null","null","16","null","27","null","0","null","29","null","0","29","null","null","30","38","null","null","1","2","null","null","0","null","29","null","44","null","65","null","6","10","null","null","0","29","null","null","45","45","null","null","88","null","100","null","75","null","124","null","0","null","29","null","20","31","null","null","94","null","80","null","88","86","null","null","0","29","null","null","0","null","29","null","0","null","29","null","0","null","29","null","0","29","null","null","0","29","null","null",
"0500000US01085","Lowndes County, Alabama","41","null","28","null","0","null","17","null","7","11","null","null","0","17","null","null","0","17","null","null","0","null","17","null","0","null","17","null","0","17","null","null","0","17","null","null","0","17","null","null","8","null","13","null","8","null","12","null","0","17","null","null","0","17","null","null","0","17","null","null","0","null","17","null","0","null","17","null","0","null","17","null","0","17","null","null","6","null","11","null","12","17","null","null","0","17","null","null","0","null","17","null","0","null","17","null","0","null","17","null","0","17","null","null","0","17","null","null",
"0500000US01087","Macon County, Alabama","77","null","44","null","10","null","15","null","0","19","null","null","0","19","null","null","6","11","null","null","12","null","19","null","0","null","19","null","0","19","null","null","0","19","null","null","0","19","null","null","0","null","19","null","14","null","15","null","4","8","null","null","0","19","null","null","0","19","null","null","11","null","16","null","0","null","19","null","0","null","19","null","0","19","null","null","13","null","21","null","7","13","null","null","0","19","null","null","0","null","19","null","0","null","19","null","0","null","19","null","0","19","null","null","0","19","null","null",
