cfips,pct_insured
01001,92.0
01003,90.5
01005,89.3
01007,90.9
01009,90.0
01011,89.5
01013,89.9
01015,90.0
01017,90.8
01019,90.5
01021,88.3
01023,89.9
01025,90.4
01027,91.5
01029,87.8
01031,89.4
01033,93.2
01035,89.6
01037,93.1
01039,89.3
01041,91.9
01043,88.4
01045,89.2
01047,89.8
01049,86.3
01051,92.7
01053,88.2
01055,88.5
01057,91.9
01059,88.3
01061,88.3
01063,83.4
01065,91.7
01067,92.2
01069,88.6
01071,89.9
01073,91.0
01075,94.4
01077,91.0
01079,90.8
01081,92.2
01083,91.4
01085,91.7
01087,91.0
01089,91.9
01091,91.5
01093,89.7
01095,87.9
01097,88.8
01099,87.8
01101,89.9
01103,89.8
01105,90.1
01107,90.6
01109,91.1
01111,90.7
01113,89.2
01115,91.8
01117,93.9
01119,88.6
01121,90.8
01123,91.5
01125,93.0
01127,88.6
01129,90.5
01131,89.9
01133,88.0
02013,60.3
02016,82.8
02020,89.4
02050,82.6
02060,83.9
02063,85.1
02066,80.1
02068,87.1
02070,81.3
02090,90.6
02100,90.5
02105,77.1
02110,90.6
02122,86.1
02130,90.4
02150,83.1
02158,82.0
02164,74.1
02170,85.9
02180,80.9
02185,80.5
02188,76.8
02195,87.3
02198,78.0
02220,85.5
02230,86.6
02240,83.2
02275,84.7
02282,80.2
02290,77.3
04001,73.8
04003,92.2
04005,88.9
04007,89.9
04009,92.6
04011,97.0
04012,86.7
04013,89.1
04015,90.6
04017,86.5
04019,91.1
04021,91.2
04023,88.3
04025,90.3
04027,87.4
05001,94.7
05003,92.3
05005,94.2
05007,91.3
05009,93.2
05011,89.2
05013,91.7
05015,88.5
05017,89.4
05019,91.0
05021,94.2
05023,92.4
05025,96.3
05027,92.7
05029,94.3
05031,91.4
05033,91.6
05035,92.0
05037,92.4
05039,92.3
05041,92.3
05043,95.2
05045,91.7
05047,94.6
05049,89.1
05051,89.9
05053,94.5
05055,92.6
05057,90.6
05059,93.1
05061,89.6
05063,91.4
05065,94.4
05067,91.2
05069,94.0
05071,92.5
05073,92.4
05075,93.4
05077,91.8
05079,93.5
05081,94.9
05083,93.9
05085,92.8
05087,90.9
05089,94.1
05091,91.1
05093,92.5
05095,91.6
05097,89.1
05099,92.2
05101,95.6
05103,93.8
05105,95.1
05107,92.5
05109,91.4
05111,89.5
05113,90.4
05115,92.7
05117,93.4
05119,92.1
05121,92.5
05123,90.1
05125,94.2
05127,93.3
05129,94.6
05131,89.2
05133,83.9
05135,94.2
05137,92.7
05139,93.1
05141,90.6
05143,88.3
05145,90.8
05147,94.7
05149,92.8
06001,95.7
06003,92.4
06005,94.9
06007,94.0
06009,94.7
06011,91.5
06013,95.0
06015,94.5
06017,95.7
06019,92.2
06021,90.8
06023,92.2
06025,93.0
06027,93.3
06029,92.3
06031,92.5
06033,92.7
06035,96.2
06037,90.8
06039,92.4
06041,96.8
06043,93.2
06045,90.7
06047,92.0
06049,89.3
06051,87.4
06053,90.6
06055,94.1
06057,94.3
06059,92.9
06061,96.3
06063,96.8
06065,91.5
06067,94.5
06069,93.5
06071,91.7
06073,92.4
06075,96.4
06077,93.7
06079,94.0
06081,96.2
06083,90.1
06085,95.8
06087,94.8
06089,93.8
06091,92.6
06093,93.6
06095,95.0
06097,94.0
06099,94.4
06101,93.2
06103,94.3
06105,89.6
06107,92.2
06109,93.9
06111,91.6
06113,95.7
06115,92.9
08001,89.7
08003,88.7
08005,92.1
08007,87.5
08009,92.0
08011,90.7
08013,95.5
08014,94.0
08015,89.1
08017,93.3
08019,88.6
08021,88.4
08023,88.8
08025,93.2
08027,89.8
08029,90.4
08031,90.4
08033,94.5
08035,96.5
08037,88.1
08039,93.9
08041,92.8
08043,93.2
08045,82.2
08047,94.6
08049,87.1
08051,91.4
08053,84.9
08055,91.9
08057,91.0
08059,94.7
08061,96.9
08063,89.6
08065,84.9
08067,91.0
08069,94.0
08071,92.6
08073,94.7
08075,90.3
08077,90.6
08079,84.8
08081,86.9
08083,87.3
08085,88.4
08087,90.3
08089,91.4
08091,88.6
08093,90.6
08095,86.5
08097,91.3
08099,89.2
08101,93.3
08103,88.7
08105,88.5
08107,92.8
08109,88.7
08111,89.0
08113,90.4
08115,90.2
08117,84.8
08119,91.8
08121,95.9
08123,91.1
08125,88.1
09001,92.4
09003,96.0
09005,96.4
09007,96.7
09009,95.1
09011,95.8
09013,97.3
09015,96.0
10001,92.7
10003,94.9
10005,93.6
11001,96.3
12001,91.7
12003,88.7
12005,86.4
12007,89.5
12009,89.9
12011,85.8
12013,83.9
12015,89.6
12017,89.4
12019,90.4
12021,86.4
12023,86.7
12027,80.7
12029,83.0
12031,88.2
12033,89.1
12035,87.1
12037,81.2
12039,87.1
12041,84.5
12043,79.5
12045,92.0
12047,83.7
12049,88.3
12051,75.7
12053,87.5
12055,87.7
12057,87.8
12059,82.2
12061,88.9
12063,88.6
12065,92.6
12067,86.4
12069,89.4
12071,86.6
12073,92.2
12075,84.6
12077,85.1
12079,88.2
12081,88.1
12083,88.3
12085,90.4
12086,83.8
12087,82.9
12089,90.0
12091,88.2
12093,84.7
12095,86.8
12097,86.8
12099,86.5
12101,88.5
12103,89.3
12105,87.0
12107,83.6
12109,92.1
12111,86.3
12113,89.1
12115,89.1
12117,90.6
12119,94.3
12121,87.3
12123,92.2
12125,90.0
12127,88.7
12129,91.6
12131,85.6
12133,84.1
13001,87.7
13003,79.1
13005,80.9
13007,86.4
13009,88.3
13011,86.4
13013,84.7
13015,85.1
13017,79.9
13019,78.3
13021,87.9
13023,89.6
13025,83.3
13027,84.6
13029,90.1
13031,87.2
13033,89.9
13035,89.5
13037,84.7
13039,89.2
13043,81.6
13045,88.1
13047,89.3
13049,82.4
13051,86.0
13053,95.1
13055,88.2
13057,89.0
13059,87.6
13061,85.8
13063,81.7
13065,78.7
13067,87.8
13069,84.4
13071,77.9
13073,91.6
13075,81.1
13077,90.2
13079,87.9
13081,81.1
13083,87.6
13085,86.8
13087,83.7
13089,86.7
13091,89.4
13093,83.8
13095,84.3
13097,87.0
13099,80.6
13101,74.7
