cfips,pct_employed_at_self_employed,pct_employed_at_non_profit,pct_employed_at_government
01001,8.0,7.8,20.2
01003,11.4,6.7,12.9
01005,9.9,4.9,19.1
01007,8.1,6.0,17.4
01009,7.9,5.6,11.9
01011,10.2,16.8,13.6
01013,7.8999999999999995,5.6,15.3
01015,8.4,6.2,19.9
01017,5.800000000000001,6.3,11.8
01019,11.1,4.2,17.1
01021,8.7,5.3,14.0
01023,6.4,3.0,14.8
01025,7.3,6.1,11.8
01027,11.0,3.6,14.5
01029,10.299999999999999,4.0,15.7
01031,8.5,5.5,20.7
01033,9.1,5.6,16.1
01035,10.1,4.4,12.3
01037,8.100000000000001,2.7,15.9
01039,9.7,5.8,13.2
01041,9.3,4.4,19.1
01043,10.6,4.1,11.9
01045,7.4,4.7,20.7
01047,8.3,5.2,15.2
01049,12.8,3.6,12.1
01051,8.7,6.7,21.4
01053,6.8,4.1,19.7
01055,8.6,4.6,13.9
01057,6.8,6.3,15.4
01059,7.6,3.6,15.6
01061,13.6,4.5,16.5
01063,8.2,5.3,22.0
01065,7.800000000000001,6.1,12.6
01067,9.5,6.6,14.7
01069,9.5,7.0,12.1
01071,8.799999999999999,4.4,15.5
01073,7.9,9.0,13.5
01075,8.4,7.2,18.5
01077,9.6,5.2,15.6
01079,7.300000000000001,3.2,14.2
01081,7.3,6.2,18.3
01083,9.600000000000001,6.4,16.3
01085,6.5,5.2,16.4
01087,7.2,9.5,17.3
01089,7.1,7.5,19.0
01091,8.2,6.1,17.1
01093,7.8999999999999995,6.1,15.8
01095,10.3,4.3,13.5
01097,7.4,7.4,13.1
01099,6.0,3.0,18.9
01101,7.1,7.6,21.8
01103,7.699999999999999,5.8,12.8
01105,4.8,9.7,19.3
01107,6.6000000000000005,7.3,18.1
01109,7.7,6.6,18.2
01111,9.9,7.1,12.1
01113,4.9,6.1,20.0
01115,7.9,4.3,11.1
01117,8.899999999999999,7.9,12.7
01119,4.4,9.8,23.6
01121,7.800000000000001,5.3,15.9
01123,8.5,4.9,13.8
01125,7.0,8.9,18.5
01127,8.6,5.9,14.3
01129,7.0,3.5,15.6
01131,7.800000000000001,5.3,18.9
01133,14.0,5.1,14.5
02013,9.399999999999999,2.1,21.0
02016,4.7,3.2,16.9
02020,8.7,9.7,21.1
02050,2.8,23.8,46.4
02060,12.2,7.3,34.6
02068,8.1,6.5,18.2
02070,5.5,23.1,40.5
02090,7.3,9.8,30.0
02100,26.1,16.0,21.1
02105,19.200000000000003,8.5,26.5
02110,11.4,9.5,38.3
02122,16.0,11.1,19.0
02130,12.7,10.5,26.1
02150,14.700000000000001,6.9,26.7
02158,1.2,13.6,57.8
02164,7.5,6.5,54.2
02170,11.5,7.8,20.0
02180,5.9,18.9,43.1
02185,1.1,4.7,28.0
02188,2.4,15.8,47.7
02195,13.100000000000001,7.8,24.0
02198,14.200000000000001,8.2,39.4
02220,14.7,10.5,30.0
02230,12.5,2.1,22.1
02240,9.899999999999999,5.5,32.1
02261,15.2,9.0,34.6
02275,20.7,8.2,32.3
02282,15.3,4.0,44.0
02290,7.5,10.1,56.5
04001,6.3,5.2,42.7
04003,9.4,6.0,29.9
04005,8.8,8.2,23.5
04007,11.7,7.9,23.1
04009,6.2,6.1,23.3
04011,5.2,2.8,13.0
04012,9.1,3.8,25.6
04013,9.899999999999999,6.0,11.1
04015,10.8,6.6,14.1
04017,9.6,6.8,31.9
04019,9.9,7.5,17.6
04021,8.3,5.5,16.9
04023,14.5,5.5,20.0
04025,15.0,8.1,14.2
04027,7.4,6.8,20.8
05001,12.5,5.6,15.5
05003,5.1,4.7,18.1
05005,12.100000000000001,7.7,11.7
05007,7.9,7.6,8.2
05009,11.1,6.5,13.1
05011,9.9,6.2,19.0
05013,8.2,4.5,23.7
05015,12.5,5.9,13.2
05017,5.4,3.9,24.7
05019,7.5,10.1,18.7
05021,11.600000000000001,4.6,11.5
05023,14.4,7.8,13.4
05025,7.0,8.5,22.6
05027,7.4,5.3,17.2
05029,9.8,7.6,14.2
05031,10.0,8.9,13.4
05033,7.8,6.5,13.6
05035,9.3,5.4,16.5
05037,10.100000000000001,4.2,20.2
05039,6.6,7.0,23.7
05041,7.8,4.8,26.9
05043,9.9,9.4,21.9
05045,8.9,7.6,16.0
05047,7.9,3.9,20.0
05049,12.8,9.8,17.6
05051,11.7,7.6,13.3
05053,8.600000000000001,6.8,13.9
05055,10.100000000000001,6.0,13.4
05057,9.3,6.4,17.4
05059,7.0,5.1,15.3
05061,8.3,4.5,15.9
05063,10.2,6.4,15.6
05065,13.399999999999999,7.0,16.1
05067,10.5,7.3,15.8
05069,6.6,6.0,25.7
05071,9.7,7.6,14.5
05073,13.2,3.4,20.6
05075,11.1,5.9,19.6
05077,14.399999999999999,4.9,23.0
05079,7.8999999999999995,8.0,24.0
05081,4.8999999999999995,6.3,19.8
05083,11.7,6.4,19.2
05085,8.399999999999999,6.6,18.1
05087,13.7,5.7,13.8
05089,12.7,5.7,14.7
05091,9.5,8.4,15.9
05093,8.399999999999999,7.8,16.7
05095,12.0,3.9,18.4
05097,17.6,5.8,18.8
05099,9.2,2.9,22.7
05101,21.8,5.8,25.0
05103,7.9,6.1,23.2
05105,10.9,9.8,17.1
05107,8.0,5.6,27.1
05109,12.4,3.2,17.8
05111,10.6,6.5,13.1
05113,13.5,8.3,17.1
05115,10.4,6.3,13.8
05117,15.600000000000001,6.3,14.7
05119,8.2,10.2,19.4
05121,11.8,6.6,17.9
05123,13.3,5.5,18.5
05125,7.2,9.9,16.6
05127,13.0,4.3,13.6
05129,23.0,3.1,16.3
05131,8.1,6.8,9.9
05133,10.7,2.6,15.2
05135,14.0,8.8,14.8
05137,25.5,5.7,17.4
05139,8.7,4.7,15.0
05141,15.8,6.6,12.6
05143,9.2,6.8,14.8
05145,9.0,8.1,14.0
05147,10.5,5.6,12.8
05149,9.7,4.8,14.4
06001,10.2,8.4,13.2
06003,17.299999999999997,2.9,30.2
06005,18.1,5.8,21.0
06007,12.4,9.4,17.2
06009,16.099999999999998,6.4,18.2
06011,12.2,2.2,13.4
06013,11.899999999999999,7.7,13.4
