cfips,pct_employed_at_self_employed,pct_employed_at_non_profit,pct_employed_at_government
06031,7.300000000000001,5.6,25.1
06033,15.100000000000001,5.7,21.0
06035,10.0,3.0,50.4
06037,13.5,6.3,11.3
06039,9.2,5.2,15.1
06041,21.7,9.8,10.5
06043,14.5,4.5,24.4
06045,20.6,8.2,18.6
06047,8.6,4.7,16.0
06049,15.399999999999999,6.8,31.3
06051,15.399999999999999,3.6,12.7
06053,10.8,5.2,15.0
06055,13.2,7.8,11.6
06057,22.2,8.8,14.9
06059,12.5,5.2,10.2
06061,12.799999999999999,7.9,15.8
06063,19.4,7.9,27.9
06065,10.6,4.9,14.5
06067,9.5,7.3,21.3
06069,9.3,5.0,15.4
06071,9.0,5.6,15.8
06073,11.9,6.9,14.0
06075,11.6,8.5,11.0
06077,8.7,5.7,14.3
06079,15.200000000000001,5.1,18.5
06081,11.3,7.8,10.9
06083,11.9,7.9,16.0
06085,8.6,6.6,9.3
06087,14.7,9.8,15.2
06089,13.2,8.4,17.0
06091,25.1,3.4,39.9
06093,18.1,8.8,23.0
06095,8.7,7.8,18.7
06097,15.100000000000001,7.8,13.3
06099,9.6,5.8,13.7
06101,10.2,6.1,16.8
06103,11.8,7.0,16.8
06105,27.700000000000003,3.8,30.4
06107,10.7,5.6,15.8
06109,15.5,8.9,19.5
06111,12.2,5.5,13.8
06113,9.0,7.5,27.2
06115,11.0,6.6,21.2
08001,8.0,6.4,11.4
08003,13.1,9.0,17.6
08005,10.2,6.7,11.1
08007,24.099999999999998,4.8,17.6
08009,21.1,7.8,25.7
08011,13.1,3.2,33.6
08013,14.0,9.2,13.0
08014,10.7,7.2,12.8
08015,19.0,5.3,18.5
08017,17.2,4.8,24.3
08019,23.700000000000003,5.4,17.3
08021,15.8,5.7,21.2
08023,14.4,7.9,23.5
08025,11.4,8.2,29.0
08027,25.400000000000002,9.3,16.7
08029,24.5,9.9,13.2
08031,10.2,9.5,10.9
08033,14.5,1.6,23.9
08035,11.5,6.5,11.3
08037,14.2,5.6,8.3
08039,16.9,4.7,15.5
08041,10.1,9.3,15.8
08043,13.2,7.6,27.0
08045,17.5,8.0,13.3
08047,14.9,7.2,12.6
08049,5.4,5.6,13.8
08051,16.1,7.0,17.2
08053,15.5,3.5,30.7
08055,25.4,8.0,22.1
08057,14.0,2.8,20.5
08059,12.0,7.4,13.3
08061,19.7,4.9,30.3
08063,15.399999999999999,6.2,22.6
08065,12.399999999999999,6.7,16.3
08067,17.0,8.1,16.7
08069,11.8,7.6,16.1
08071,15.0,6.1,26.3
08073,20.7,5.0,31.1
08075,13.5,4.9,19.7
08077,12.4,8.5,13.7
08079,25.8,4.0,22.7
08081,10.899999999999999,7.4,15.2
08083,15.8,8.8,22.5
08085,15.8,9.4,15.8
08087,12.4,5.7,14.8
08089,12.700000000000001,8.6,23.5
08091,27.299999999999997,6.7,17.4
08093,18.5,5.9,17.8
08095,18.6,5.9,13.8
08097,26.1,7.3,10.3
08099,12.399999999999999,6.3,20.5
08101,8.4,9.0,18.8
08103,11.3,6.4,22.9
08105,13.6,10.4,20.0
08107,10.7,6.8,11.7
08109,20.6,7.7,18.4
08111,33.6,5.8,17.4
08113,24.0,5.0,14.7
08115,13.5,8.1,21.3
08117,13.0,5.2,11.6
08119,13.9,9.4,17.0
08121,22.7,6.4,19.4
08123,10.7,6.8,12.5
08125,22.2,6.3,15.2
09001,12.899999999999999,8.0,10.0
09003,8.0,9.1,13.5
09005,12.399999999999999,8.6,13.7
09007,10.5,10.3,13.3
09009,8.9,12.4,12.7
09011,8.3,9.1,15.5
09013,8.3,8.6,17.8
09015,7.5,10.4,16.1
10001,7.5,6.5,21.3
10003,6.6,9.3,12.5
10005,12.3,6.9,14.6
11001,7.6,19.1,24.1
12001,8.5,10.3,25.1
12003,8.9,6.6,26.7
12005,10.6,5.0,16.1
12007,7.8999999999999995,5.4,21.4
12009,11.100000000000001,6.9,12.8
12011,13.6,4.8,10.5
12013,10.3,5.9,23.7
12015,14.3,5.3,12.6
12017,13.0,5.5,12.0
12019,8.7,7.2,14.4
12021,16.6,5.5,8.0
12023,9.9,5.5,22.5
12027,11.0,3.0,13.0
12029,18.799999999999997,3.0,21.4
12031,8.1,7.8,11.1
12033,9.2,10.9,15.1
12035,12.4,7.8,11.5
12037,19.9,5.1,20.1
12039,7.0,4.0,33.4
12041,11.9,4.4,20.2
12043,14.100000000000001,4.8,16.7
12045,11.4,6.3,20.0
12047,13.4,3.3,26.3
12049,12.799999999999999,5.1,15.6
12051,8.4,4.8,8.9
12053,10.5,4.8,12.6
12055,12.5,8.5,12.4
