cfips,pct_employed_at_self_employed,pct_employed_at_non_profit,pct_employed_at_government
01001,7.3,8.3,20.3
01003,12.7,6.4,13.4
01005,9.7,3.9,19.2
01007,7.5,4.2,14.9
01009,7.8,4.7,12.8
01011,7.9,7.1,22.3
01013,6.4,6.3,14.4
01015,8.2,5.8,18.3
01017,5.6,5.3,14.1
01019,10.9,2.8,14.2
01021,8.4,5.6,11.6
01023,5.6,2.2,17.9
01025,9.3,4.8,13.7
01027,11.200000000000001,3.5,12.9
01029,9.7,3.5,16.4
01031,8.399999999999999,5.5,22.5
01033,8.9,5.1,14.4
01035,7.6,5.1,15.1
01037,3.8,4.0,12.7
01039,10.4,6.4,15.1
01041,10.899999999999999,4.3,16.5
01043,10.8,4.5,10.9
01045,7.8,4.2,19.2
01047,7.7,4.4,14.9
01049,12.799999999999999,3.2,12.0
01051,7.8,6.9,21.3
01053,7.7,5.0,17.3
01055,8.5,4.9,14.0
01057,8.4,4.5,13.6
01059,7.800000000000001,2.5,14.0
01061,12.2,5.6,16.1
01063,10.399999999999999,5.9,21.8
01065,9.3,6.2,12.2
01067,9.5,5.0,12.0
01069,9.5,7.2,11.7
01071,8.3,4.3,14.1
01073,8.0,9.1,13.7
01075,8.5,8.6,15.4
01077,9.5,4.6,16.0
01079,7.0,4.2,14.5
01081,8.0,5.7,18.5
01083,8.7,6.1,15.8
01085,6.300000000000001,4.5,15.4
01087,7.5,8.4,19.3
01089,7.199999999999999,7.3,18.3
01091,9.9,6.7,17.8
01093,8.7,5.8,17.1
01095,10.8,4.1,12.9
01097,7.9,7.4,13.2
01099,5.8,4.2,13.5
01101,6.8999999999999995,8.0,21.4
01103,8.0,5.6,12.2
01105,7.0,9.1,19.6
01107,10.8,6.6,18.3
01109,7.300000000000001,5.3,17.6
01111,10.3,6.3,13.7
01113,5.7,5.7,18.6
01115,8.3,4.4,11.1
01117,9.3,8.0,12.5
01119,4.8,7.0,28.1
01121,7.5,4.8,15.6
01123,9.6,6.3,14.2
01125,7.699999999999999,8.0,18.3
01127,8.3,5.4,14.5
01129,5.5,4.9,12.4
01131,8.2,6.1,18.6
01133,15.9,4.7,12.4
02013,11.1,2.2,24.5
02016,5.1,2.4,18.1
02020,8.6,10.0,21.1
02050,5.5,22.5,45.9
02060,13.5,7.1,31.2
02068,7.9,5.0,16.9
02070,5.3,28.0,37.9
02090,7.8,9.6,29.4
02100,27.3,14.7,24.5
02105,19.9,7.1,32.0
02110,11.2,9.8,39.2
02122,15.5,11.7,20.6
02130,12.899999999999999,10.8,24.7
02150,10.8,9.7,25.4
02158,1.6,10.2,59.0
02164,7.4,6.3,58.8
02170,11.5,7.9,19.1
02180,4.1000000000000005,21.8,46.4
02185,1.1,3.5,29.8
02188,3.0999999999999996,19.1,47.3
02195,14.700000000000001,7.3,24.5
02198,15.1,8.1,40.5
02220,17.1,11.0,28.3
02230,11.399999999999999,3.1,20.2
02240,10.0,3.2,33.6
02261,16.6,9.7,28.7
02275,21.299999999999997,8.2,32.4
02282,18.6,2.4,50.1
02290,6.3999999999999995,10.7,53.1
04001,6.4,5.2,44.9
04003,9.5,6.7,28.7
04005,9.1,8.0,23.5
04007,12.8,6.4,22.1
04009,7.9,6.5,20.1
04011,5.8,3.3,16.0
