cfips,pct_occupation_mbsa,pct_in_finance_industry,pct_in_arts_industry,pct_in_public_admin_industry
01001,35.3,5.57398805573988,8.94160583941606,11.152123424021235
01003,35.7,7.611111731656371,10.622493772828308,4.838763724909803
01005,25.0,3.6719981977922957,6.859653075016896,7.92971389952692
01007,24.4,4.405825480357361,3.8550972953126914,5.005507281850447
01009,28.5,5.10289990645463,4.260991580916745,5.163704396632367
01011,19.7,2.237762237762238,5.897435897435897,5.268065268065268
01013,26.9,2.7953927785686554,9.602691859712696,5.720201889478452
01015,29.0,4.196910871033086,8.87702565833896,7.6173193787981095
01017,24.3,3.82735595787155,5.878708611550905,3.2078199215254353
01019,28.8,2.044741370584067,5.567365117926916,6.387286162567062
01021,25.3,5.92927864214993,4.72984441301273,5.363507779349364
01023,23.6,1.7205301092769125,3.510811439200186,2.487793536386887
01025,21.6,4.222866506996093,6.441447119626876,3.7060380688264214
01027,22.2,3.7211835178798327,4.71954982755491,5.1007442367035765
01029,25.7,3.0123628765453594,7.03465087933136,5.293400661675083
01031,31.6,3.4890706594574614,7.837700448264708,9.279541568464348
01033,27.1,4.792605951307484,7.623985572587917,3.719567177637511
01035,15.9,2.1799746514575413,5.4499366286438535,4.410646387832699
01037,17.6,5.696689761354888,9.62278675904542,5.824993584808827
01039,29.2,4.003813155386082,5.712923873076399,4.7800626446956285
01041,26.4,4.754385964912281,3.491228070175439,7.666666666666666
01043,29.3,4.405712147667748,5.967822399600898,3.4235470192067843
01045,28.2,4.24727596175228,8.67244829886591,9.267289303980432
01047,26.7,3.796417951732246,6.652375354401493,6.099163266717378
01049,23.7,3.5684121621621623,6.387246621621621,4.384853603603603
01051,34.8,6.655775397833848,7.505899437284444,11.74139287226962
01053,24.6,3.469589582989946,10.804351409263226,9.526949068732488
01055,29.7,4.00849995170482,9.209890852892881,4.836762291123345
01057,29.0,3.916283494529887,5.993340732519423,4.249246868558744
01059,24.4,3.478538375618318,5.887984681665869,3.3748204882719004
01061,22.9,3.240830584125752,5.821851348728896,6.5107704249951475
01063,22.3,5.060141020323517,3.6084612194110326,7.2998755703027784
01065,27.6,3.1416603198781416,6.6070068545316065,3.3701447067783703
01067,32.8,4.014966182184487,10.03022017556483,2.820549719384084
01069,31.1,4.137571415616215,9.376983767117077,4.731567969529337
01071,26.1,4.846749913627166,4.7579092838458115,3.558560781797542
01073,38.8,8.714533199884285,9.236580556562334,3.8478547843811413
01075,28.8,4.408482142857143,5.561755952380952,6.584821428571429
01077,31.2,4.257721353839978,10.221542012695387,4.184961236420202
01079,23.6,3.35844822058352,5.803142032702789,4.208079512664315
01081,41.0,6.5920727709028,10.296189851695802,3.987332059098456
01083,36.1,3.8953368940016433,7.028040262941659,6.653142974527526
01085,23.0,2.6889329181998303,6.028870648174356,6.708180016982734
01087,29.4,2.5721284703320633,9.118127381600436,6.423516603157322
01089,46.3,3.6464101416150236,8.220033459789345,9.04415749664224
01091,29.6,4.18359668924003,5.583145221971407,4.439428141459744
01093,25.6,5.496260189931927,5.076056811496764,5.4290276493823
01095,28.3,3.8537549407114624,6.995007281048471,4.033180778032037
01097,32.3,5.1346747885331565,9.388261785848321,3.884061318167384
01099,28.7,3.087422814429639,7.34481637959051,7.669808254793631
01101,36.8,6.093740706227571,10.297004183436762,11.11882150008922
01103,30.3,3.20088518306297,7.867854814170832,4.562249313390369
01105,23.4,1.6545601291364003,8.918482647296207,8.111380145278451
01107,22.6,3.288425322323627,4.2445313631754304,5.809068520932928
01109,31.5,4.19453734671126,9.489966555183948,5.52536231884058
01111,23.4,4.611792177466433,4.004670169293637,3.1640396964389956
01113,28.7,7.905396576505945,8.968160634173962,9.495187072607692
01115,28.9,5.8771611027464825,7.180312548673486,4.402678988629874
01117,44.3,10.73463153141902,8.150403965684532,3.8042903941667547
01119,25.5,3.859407305306685,9.855272226051,6.133700895933838
01121,28.6,5.2235187639396194,8.16498044412839,4.728965316611178
01123,28.3,4.354638636808775,6.1957302343801,4.459097734543318
01125,35.8,4.107058422493705,9.607327827932394,3.2955432643142255
01127,26.3,4.365733113673806,7.343492586490939,4.077429983525535
01129,20.6,2.7845884413309983,4.868651488616462,5.201401050788091
01131,24.4,4.515684246811444,6.480523957256118,7.96277145811789
01133,23.3,3.8193664345090994,4.12266906313188,4.729274320377443
02013,16.3,0.7068607068607069,3.367983367983368,9.72972972972973
02016,17.4,2.120676596818985,4.24135319363797,7.523352688714971
02020,40.0,4.647432750031096,10.752793762397628,10.467361915797605
02050,36.2,2.074074074074074,3.9670781893004117,18.962962962962962
02060,30.5,2.559055118110236,11.811023622047244,13.779527559055119
02068,23.1,0.9156311314584695,39.30673642903859,6.867233485938522
02070,42.8,3.469079939668175,2.7149321266968327,16.641528406234286
02090,37.6,2.8978063135366505,7.571963616907437,12.787586944890316
02100,36.6,3.409881697981907,16.214335421016006,6.4022268615170494
02105,32.5,1.9249278152069296,17.998075072184793,9.33589990375361
02110,46.3,3.8953811908736786,7.228714524207011,22.159154145798553
02122,32.9,3.751369112814896,9.830230010952903,7.158504146455953
02130,29.7,5.319611537904044,7.43586026960429,10.276851717640238
02150,27.7,2.339514978601997,8.159771754636234,12.268188302425106
02158,30.7,1.5058823529411764,2.4941176470588236,22.870588235294118
