cfips,pct_moved_from_abroad,pct_moved_outside_state,pct_moved_within_state,pct_moved_within_county
01001,0.2,2.8,3.7,5.4
01003,0.4,2.9,2.3,6.2
01005,0.3,1.9,3.1,9.3
01007,0.1,1.1,5.6,3.5
01009,0.2,0.8,2.0,3.5
01011,0.1,0.4,1.8,4.7
01013,0.1,0.7,1.8,3.9
01015,0.1,2.2,3.5,10.1
01017,0.2,1.8,2.3,5.7
01019,0.0,1.7,3.1,4.6
01021,0.1,0.5,3.0,6.5
01023,0.4,2.9,1.9,4.8
01025,0.1,1.2,0.9,4.8
01027,0.1,0.6,1.0,6.7
01029,0.2,4.5,3.7,4.9
01031,0.6,4.4,4.9,7.9
01033,0.3,0.8,2.8,5.5
01035,0.1,0.3,1.4,1.6
01037,0.2,1.2,5.1,4.5
01039,0.2,1.5,2.5,6.8
01041,0.0,0.3,1.5,4.7
01043,0.0,1.1,3.2,6.1
01045,0.6,6.9,4.3,6.4
01047,0.2,0.9,2.0,8.1
01049,0.2,1.7,2.8,8.0
01051,0.4,1.4,7.1,5.7
01053,0.0,1.2,1.0,3.6
01055,0.2,1.4,3.1,8.9
01057,0.2,0.9,5.1,7.0
01059,0.3,0.9,2.2,4.5
01061,0.0,1.6,3.0,7.3
01063,0.4,0.1,0.3,1.1
01065,0.1,0.7,3.0,2.8
01067,0.3,1.3,2.9,2.7
01069,0.2,2.5,1.8,6.9
01071,0.0,1.2,0.8,3.6
01073,0.3,2.1,2.6,10.9
01075,0.1,1.3,2.2,6.6
01077,0.4,2.9,4.7,9.2
01079,0.2,1.0,3.2,4.6
01081,0.8,5.3,4.6,9.0
01083,0.1,2.1,6.0,5.3
01085,0.1,0.7,1.9,8.6
01087,0.2,3.1,2.8,3.3
01089,0.5,3.2,2.6,10.5
01091,0.0,0.4,1.4,6.0
01093,0.3,0.9,2.0,5.1
01095,0.2,1.7,3.3,6.5
01097,0.3,1.8,1.0,9.1
01099,0.1,0.9,1.2,4.8
01101,0.7,3.3,3.4,13.3
01103,0.1,1.5,3.1,6.8
01105,0.0,1.5,3.7,2.2
