cfips,pct_divorced,pct_never_married
01001,11.6,25.0
01003,13.1,25.0
01005,12.2,34.5
01007,11.2,30.2
01009,11.2,20.4
01011,11.2,46.9
01013,11.3,35.3
01015,13.0,27.9
01017,12.8,29.6
01019,12.7,18.9
01021,12.5,25.1
01023,13.2,26.5
01025,8.9,33.3
01027,12.4,21.5
01029,11.7,20.3
01031,13.3,24.6
01033,13.0,24.4
01035,10.3,31.7
01037,14.7,28.7
01039,12.4,21.5
01041,11.5,28.4
01043,13.3,20.8
01045,13.8,26.8
01047,10.9,40.7
01049,12.4,25.7
01051,12.8,28.7
01053,11.6,33.2
01055,13.8,26.8
01057,11.8,21.6
01059,13.4,26.1
01061,12.9,21.8
01063,14.2,39.9
01065,11.0,37.4
01067,10.6,24.7
01069,14.1,29.7
01071,12.3,21.4
01073,13.0,34.5
01075,10.3,18.7
01077,12.5,27.1
01079,12.3,23.2
01081,9.8,40.1
01083,11.8,27.5
01085,11.1,40.0
01087,11.8,45.3
01089,12.0,30.8
01091,10.7,33.2
01093,11.4,21.1
01095,12.9,23.5
01097,12.7,32.9
01099,11.9,33.6
01101,12.4,38.8
01103,12.5,26.0
01105,14.1,48.0
01107,10.7,31.5
01109,9.3,45.9
01111,11.8,24.9
01113,13.2,32.4
01115,13.6,22.0
01117,10.6,25.5
01119,10.9,46.0
01121,12.1,30.0
01123,11.8,26.6
01125,9.8,41.0
01127,13.3,23.5
01129,14.4,25.7
01131,10.8,43.6
01133,15.3,20.9
02013,9.0,38.0
02016,11.8,38.2
02020,11.7,34.4
02050,6.3,47.9
02060,10.5,25.2
02068,9.9,40.9
02070,8.6,43.0
02090,10.2,33.9
02100,15.9,26.2
02105,17.8,28.7
02110,11.1,31.8
02122,14.0,27.6
02130,13.6,30.8
02150,10.2,33.4
02158,4.3,58.9
02164,10.5,42.0
02170,12.5,31.3
02180,9.0,47.7
02185,9.8,37.3
02188,6.9,52.8
02195,11.9,28.8
02198,14.7,32.3
02220,14.3,28.8
02230,17.1,34.3
02240,9.4,32.2
02261,14.4,35.2
02275,15.8,23.5
02282,14.3,37.0
02290,9.0,46.8
04001,8.6,48.6
04003,12.9,26.8
04005,10.3,45.7
04007,14.8,24.4
04009,11.8,36.3
04011,13.7,28.3
04012,11.4,22.5
04013,12.0,34.0
04015,15.3,23.5
04017,11.7,35.7
04019,12.9,34.3
04021,13.4,30.9
04023,10.8,30.7
04025,14.8,21.6
04027,8.3,28.3
05001,14.0,26.9
05003,11.8,22.9
05005,13.4,17.0
05007,10.8,23.8
05009,12.9,21.0
05011,10.4,27.2
05013,13.7,24.2
05015,14.2,21.5
05017,12.4,32.3
05019,7.9,39.2
05021,13.9,24.3
05023,14.7,17.0
05025,10.2,24.0
05027,10.2,34.9
05029,12.0,24.1
05031,13.8,30.1
05033,11.5,20.3
05035,12.4,35.3
05037,11.4,24.1
05039,11.5,24.2
05041,11.3,30.3
05043,10.9,33.9
05045,11.9,33.0
05047,13.6,21.4
05049,12.2,17.7
05051,15.9,24.7
05053,13.4,21.4
05055,13.9,21.8
05057,13.4,27.2
05059,14.7,22.7
05061,13.4,26.8
05063,13.8,22.9
05065,13.3,21.8
05067,18.8,26.4
05069,12.6,35.7
05071,14.3,22.9
05073,16.6,26.8
05075,14.4,21.8
05077,12.8,37.1
05079,13.1,37.9
05081,13.4,24.7
05083,14.4,23.5
05085,13.5,22.0
05087,13.4,18.5
05089,14.4,17.7
05091,14.0,27.6
05093,13.9,31.0
05095,12.6,31.1
05097,12.2,16.1
05099,13.7,22.4
05101,13.3,19.5
05103,14.0,28.0
05105,13.3,21.7
05107,12.5,36.7
05109,13.4,18.7
05111,14.9,24.8
05113,15.5,20.7
05115,13.3,31.1
05117,13.2,20.2
05119,13.8,34.3
05121,14.8,20.3
05123,14.9,35.4
05125,14.2,22.5
05127,15.0,20.1
05129,12.2,17.1
05131,14.6,26.7
05133,11.8,25.3
05135,14.9,17.8
05137,14.3,18.3
05139,14.2,27.8
05141,15.8,18.2
05143,10.7,34.4
05145,11.8,26.4
05147,14.5,23.4
05149,12.1,26.5
06001,8.6,36.6
06003,10.6,39.3
06005,14.3,24.3
06007,13.0,36.3
06009,13.1,25.4
06011,8.5,29.8
06013,9.7,31.6
06015,14.2,33.5
06017,10.9,25.9
06019,9.8,38.7
06021,9.8,28.6
06023,13.3,39.0
06025,9.1,38.0
06027,11.7,30.7
06029,9.6,36.4
06031,10.2,37.4
06033,15.5,28.4
06035,11.6,37.4
06037,8.3,41.7
06039,8.5,34.3
06041,12.9,28.4
06043,12.2,23.1
06045,15.6,30.1
06047,9.2,38.0
06049,16.1,25.0
06051,13.4,41.8
06053,7.9,39.0
06055,11.2,30.5
06057,13.2,25.0
06059,9.0,34.1
06061,10.8,25.6
06063,14.7,22.0
06065,9.9,34.2
06067,11.6,35.1
06069,9.6,33.3
06071,10.0,37.4
06073,10.3,35.7
06075,8.3,45.8
06077,9.5,34.7
06079,10.2,34.7
06081,8.9,32.3
06083,9.1,39.2
06085,7.9,33.3
06087,10.4,39.4
06089,14.8,27.2
