cfips,pct_divorced,pct_never_married
01001,11.2,27.6
01003,13.5,24.7
01005,12.0,35.5
01007,14.9,33.7
01009,12.0,21.2
01011,8.1,46.4
01013,11.0,36.3
01015,12.9,28.9
01017,12.7,31.6
01019,12.1,20.0
01021,13.8,25.5
01023,13.0,27.2
01025,10.1,33.2
01027,11.6,22.8
01029,11.4,20.6
01031,13.3,24.6
01033,12.8,25.1
01035,7.7,35.4
01037,12.1,28.2
01039,13.3,23.6
01041,11.9,29.4
01043,13.8,22.0
01045,14.5,26.4
01047,10.5,39.5
01049,12.0,24.9
01051,12.6,27.4
01053,13.4,34.1
01055,14.4,28.0
01057,11.9,19.5
01059,13.8,26.5
01061,14.7,22.5
01063,8.3,46.1
01065,11.2,37.9
01067,9.2,26.2
01069,13.8,30.2
01071,12.8,21.3
01073,12.6,34.7
01075,10.9,20.2
01077,11.9,26.2
01079,12.7,23.6
01081,9.9,39.6
01083,12.3,28.1
01085,12.8,38.3
01087,11.6,46.9
01089,11.7,30.6
01091,11.3,35.4
01093,13.0,21.4
01095,12.7,24.8
01097,12.8,33.7
01099,10.7,34.6
01101,12.8,39.3
01103,12.6,26.4
01105,13.1,53.8
01107,11.5,31.2
01109,10.2,47.0
01111,10.9,28.3
01113,13.5,31.4
01115,12.8,22.8
01117,10.3,25.6
01119,10.4,48.3
01121,12.8,31.3
01123,11.9,26.9
01125,10.2,41.8
01127,13.0,23.1
01129,12.8,28.0
01131,9.3,44.1
01133,15.9,21.4
02013,8.4,40.2
02016,11.7,35.1
02020,11.7,34.5
02050,5.9,48.9
02060,12.6,28.7
02068,10.5,38.9
02070,7.6,44.1
02090,11.0,33.2
02100,13.5,18.2
02105,16.5,31.7
02110,12.0,31.0
02122,13.3,28.7
02130,14.0,30.6
02150,8.9,33.4
02158,4.8,58.4
02164,10.0,42.8
02170,12.6,32.1
02180,8.5,47.7
02185,8.6,38.5
02188,8.5,52.0
02195,10.9,31.4
02198,12.6,32.3
02220,13.0,29.0
02230,12.8,37.4
02240,8.6,32.0
02261,14.7,29.9
02275,13.9,25.3
02282,11.1,40.9
02290,8.7,48.9
04001,9.0,47.3
04003,13.6,26.9
04005,9.8,46.6
04007,15.5,24.3
04009,12.9,37.1
04011,11.8,29.9
04012,12.2,22.3
04013,12.0,34.3
04015,15.3,22.8
04017,12.1,35.9
04019,12.9,34.4
04021,12.9,30.9
04023,10.2,31.2
04025,15.4,21.8
04027,9.3,29.2
05001,15.0,25.8
05003,10.9,21.8
05005,13.1,16.8
05007,10.4,24.9
05009,12.4,20.6
05011,11.9,26.5
05013,16.0,29.2
05015,11.6,21.5
05017,12.2,33.2
05019,9.6,39.3
05021,12.6,22.4
05023,14.5,15.3
05025,12.4,23.1
05027,9.8,37.2
05029,11.3,23.6
05031,13.7,31.0
05033,12.5,21.6
05035,13.5,35.9
05037,12.0,23.1
05039,11.4,29.9
05041,8.4,29.9
05043,11.1,30.4
05045,11.8,33.2
05047,13.6,20.5
05049,16.3,16.4
05051,15.9,25.2
05053,13.2,21.5
05055,14.5,21.4
05057,13.6,26.6
05059,14.1,22.7
05061,13.3,26.5
05063,14.6,23.2
05065,12.9,23.2
05067,17.0,28.2
05069,13.0,35.7
05071,14.0,24.5
05073,13.1,25.7
05075,14.5,22.9
05077,15.3,37.0
05079,16.1,33.6
05081,14.3,21.9
05083,13.8,21.9
05085,12.8,23.0
05087,12.6,22.1
05089,16.9,17.8
05091,13.6,29.9
05093,14.4,33.3
05095,13.8,29.6
05097,14.0,17.2
05099,15.9,25.3
05101,18.0,20.7
05103,13.5,27.6
05105,15.5,20.8
05107,11.4,34.8
05109,10.0,20.2
05111,15.5,24.1
05113,15.0,19.3
05115,13.6,31.2
05117,12.9,19.1
05119,14.1,34.2
05121,14.6,20.6
05123,14.0,37.3
05125,13.9,23.2
05127,13.2,17.5
05129,14.7,15.3
05131,14.4,27.6
05133,11.6,25.5
05135,16.8,19.8
05137,16.4,17.1
05139,13.6,28.0
05141,14.1,18.5
05143,10.6,35.3
05145,13.5,26.4
05147,13.3,22.5
05149,12.2,25.8
06001,8.2,36.7
06003,10.7,33.1
06005,13.7,24.6
06007,12.5,36.7
06009,14.6,25.8
06011,9.0,30.8
06013,9.6,32.0
06015,14.3,33.3
06017,10.8,26.2
06019,9.5,38.9
06021,10.4,26.3
06023,13.7,39.1
06025,8.6,40.0
06027,12.1,30.3
06029,9.2,37.1
06031,9.5,38.1
06033,15.5,27.9
06035,10.9,38.6
06037,8.2,41.7
06039,9.2,33.6
06041,12.5,28.0
06043,13.0,23.9
06045,15.2,30.4
06047,8.4,38.4
06049,16.1,24.6
06051,11.6,43.2
06053,7.9,38.9
06055,11.2,31.4
06057,13.5,25.3
06059,9.1,34.2
06061,10.9,25.5
06063,14.5,24.0
06065,9.6,34.8
06067,11.4,35.2
06069,9.0,34.1
06071,9.6,37.2
06073,10.1,35.9
06075,7.9,45.8
06077,9.1,35.2
06079,10.4,34.9
06081,8.3,32.7
06083,9.0,40.0
06085,7.4,33.6
06087,10.5,39.4
06089,13.8,27.2
06091,13.8,28.8
06093,15.7,24.5
06095,11.0,33.1
06097,13.1,32.1
06099,10.3,34.3
06101,11.7,27.4
06103,13.0,27.3
06105,17.2,23.0
06107,8.6,36.6
06109,14.6,25.5
06111,9.6,34.1
06113,7.9,42.4
06115,10.9,30.8
08001,11.9,33.2
08003,10.1,37.1
08005,12.2,32.1
08007,13.0,18.5
08009,10.2,17.7
08011,13.9,33.7
08013,11.0,38.1
08014,10.3,28.2
08015,12.0,21.9
08017,10.4,22.6
08019,16.5,26.7
08021,11.7,27.4
08023,18.4,22.7
08025,14.6,41.9
08027,12.5,12.6
08029,15.6,19.9
08031,12.2,42.5
08033,13.2,19.8
08035,8.8,23.6
08037,12.2,35.3
08039,10.4,22.0
08041,11.7,29.8
08043,15.4,24.8
08045,11.0,26.2
08047,16.1,20.6
08049,12.9,27.9
08051,9.8,45.3
08053,11.6,12.0
08055,13.5,21.0
08057,8.2,20.2
08059,12.5,29.3
08061,9.9,20.7
08063,9.0,19.1
08065,16.4,33.1
08067,11.9,31.0
08069,10.2,34.8
08071,12.8,25.8
08073,11.5,33.9
08075,13.1,30.8
08077,14.1,26.9
08079,8.9,18.5
08081,12.4,24.3
08083,14.1,24.6
08085,11.7,20.5
08087,12.3,22.8
08089,13.1,27.5
08091,12.5,19.0
08093,13.8,22.2
08095,10.1,24.3
08097,19.6,37.9
08099,12.6,26.6
08101,14.5,32.3
08103,14.5,25.8
08105,13.7,23.4
08107,12.5,32.3
08109,16.2,21.6
08111,18.4,22.6
08113,13.9,34.0
08115,12.9,23.5
08117,12.3,41.1
08119,14.0,22.1
08121,8.5,23.6
08123,10.8,28.2
08125,8.5,21.4
09001,9.1,32.9
09003,11.1,35.8
09005,11.9,28.2
09007,11.9,30.5
09009,10.9,37.9
09011,12.6,32.6
09013,9.6,38.5
09015,12.1,33.7
10001,12.4,32.6
10003,10.7,37.2
10005,10.9,24.5
11001,8.5,56.4
12001,10.2,47.5
12003,11.4,33.7
12005,13.8,28.2
12007,14.7,33.7
12009,14.3,27.2
12011,13.3,35.1
12013,17.4,31.6
12015,13.7,19.3
12017,13.6,21.5
12019,11.7,25.7
12021,11.9,23.0
12023,15.1,30.2
12027,12.5,34.3
12029,15.0,25.2
12031,14.0,35.2
12033,14.0,35.3
12035,12.0,24.4
12037,16.8,28.4
12039,12.4,39.0
12041,16.3,30.0
12043,15.7,28.2
12045,16.5,26.9
12047,13.2,38.1
12049,9.8,34.0
12051,12.3,34.3
12053,14.0,24.1
12055,12.0,22.0
12057,12.6,35.0
12059,15.3,25.9
12061,12.3,25.5
12063,14.7,31.8
12065,11.9,30.1
12067,11.1,34.8
12069,12.6,24.4
12071,13.2,26.2
12073,10.3,46.9
12075,16.4,25.0
12077,17.4,38.2
12079,14.4,35.6
12081,13.7,25.9
12083,12.7,26.1
12085,14.1,25.2
12086,12.7,36.4
12087,16.1,25.6
12089,12.6,21.8
12091,12.7,28.1
12093,12.0,31.3
12095,11.6,38.5
12097,11.7,36.2
12099,12.4,30.9
12101,13.1,26.7
12103,16.0,29.6
12105,12.1,31.8
12107,15.8,27.8
12109,11.7,24.7
12111,13.3,28.7
12113,12.1,25.2
12115,14.0,21.7
12117,12.0,31.1
12119,11.4,13.8
12121,14.2,25.7
12123,11.9,31.6
12125,18.6,35.9
12127,15.0,28.5
12129,13.6,29.8
12131,14.2,23.4
12133,14.2,31.7
13001,9.7,27.4
13003,9.1,31.2
13005,12.2,28.9
13007,8.8,31.1
13009,11.2,42.8
13011,12.1,22.8
13013,12.5,26.8
13015,14.3,24.8
13017,9.9,37.4
13019,12.5,23.1
13021,12.4,40.0
13023,11.1,38.2
13025,13.7,27.0
13027,10.7,27.7
13029,10.7,26.1
13031,9.1,46.0
13033,9.2,30.5
13035,10.2,32.7
13037,14.0,44.6
13039,12.8,28.9
13043,11.7,29.2
13045,11.6,31.9
13047,13.8,24.0
13049,9.1,33.6
13051,12.3,37.9
13053,6.4,48.7
13055,15.6,27.4
13057,9.7,25.0
13059,8.2,54.1
13061,8.4,36.3
13063,12.9,45.1
13065,12.9,31.3
13067,10.7,33.1
13069,13.2,33.6
13071,11.0,31.8
13073,10.8,28.4
13075,12.9,29.2
13077,10.0,27.7
13079,12.9,30.8
13081,10.8,37.4
13083,12.0,24.1
13085,11.8,24.0
13087,9.8,32.1
13089,11.4,43.2
13091,13.7,30.4
13093,10.3,35.9
13095,13.1,42.7
13097,13.0,33.6
13099,12.5,36.8
13101,13.6,20.7
13103,12.0,25.5
13105,14.1,29.4
13107,13.1,35.6
13109,12.9,31.8
13111,14.1,18.3
13113,8.4,24.8
13115,11.9,29.8
13117,7.8,22.6
13119,11.7,26.2
13121,10.8,44.6
13123,14.2,19.7
13125,13.7,31.2
13127,14.5,28.3
13129,12.0,25.5
13131,12.4,27.0
13133,8.7,27.3
13135,9.3,33.3
13137,12.1,26.9
13139,10.2,30.5
13141,8.6,47.1
13143,14.0,22.7
13145,9.2,23.2
13147,13.8,25.9
13149,15.4,21.3
13151,10.6,32.3
13153,11.2,30.9
13155,10.9,34.8
13157,11.3,23.6
13159,13.9,22.2
13161,14.1,27.0
13163,12.7,37.9
13165,15.6,26.7
13167,12.8,39.4
13169,13.9,24.2
13171,11.8,35.5
13173,12.3,28.3
13175,12.3,33.4
13177,9.6,27.1
13179,11.0,29.4
13181,14.0,24.9
13183,16.6,26.1
13185,10.9,39.8
13187,11.3,33.6
13189,10.7,32.7
13191,10.5,24.7
13193,9.7,44.1
13195,10.1,24.8
13197,9.4,27.1
13199,13.0,33.1
13201,10.8,27.9
13205,15.4,36.7
13207,11.5,27.7
13209,13.7,29.8
13211,9.2,26.8
13213,12.8,22.2
13215,13.2,37.6
13217,13.3,34.6
13219,10.0,22.7
13221,13.4,25.1
13223,12.6,27.3
13225,11.1,39.1
13227,12.5,21.2
13229,11.1,26.4
13231,8.7,25.9
13233,14.7,29.1
13235,15.5,33.5
13237,10.3,25.3
13239,6.9,34.7
13241,13.3,24.6
13243,15.2,37.0
13245,13.2,42.8
13247,12.2,34.1
13249,9.4,30.2
13251,11.5,32.0
13253,13.3,31.7
13255,15.1,32.6
13257,11.0,25.4
13259,7.9,45.4
13261,10.6,40.3
13263,10.4,30.4
13265,9.8,40.8
13267,14.0,34.2
13269,8.4,34.7
13271,9.6,47.3
13273,9.4,37.4
13275,14.0,29.0
13277,8.8,36.0
13279,12.6,28.5
13281,10.4,24.8
13283,12.3,29.1
13285,11.0,34.4
13287,10.6,29.8
13289,12.3,29.6
13291,11.9,17.1
13293,13.8,29.7
13295,13.7,24.3
13297,10.1,27.9
13299,12.5,31.9
13301,13.1,34.4
13303,10.9,35.3
13305,12.2,27.6
13307,10.6,23.7
13309,12.5,47.2
13311,11.3,21.7
13313,11.6,27.6
13315,13.9,37.5
13317,12.9,33.9
13319,13.6,32.9
13321,13.7,24.8
15001,10.9,32.6
15003,8.6,33.9
15005,15.4,36.9
15007,10.5,32.4
15009,10.7,32.1
16001,12.6,30.3
16003,13.7,15.4
16005,12.9,30.2
16007,8.7,17.2
16009,15.6,24.9
16011,11.9,24.6
16013,11.3,26.9
16015,12.9,18.9
16017,13.0,19.1
16019,12.2,24.2
16021,13.7,23.7
16023,10.1,19.9
16025,15.5,19.5
16027,12.7,29.2
16029,10.2,19.6
16031,10.1,24.4
16033,9.3,30.6
16035,17.4,23.3
16037,13.0,22.8
16039,10.6,23.2
16041,7.5,24.2
16043,9.1,20.9
16045,14.0,23.6
16047,13.0,25.9
16049,12.1,19.8
16051,8.3,24.0
16053,10.9,27.9
16055,14.2,24.6
16057,7.7,43.3
16059,13.6,20.1
16061,15.7,22.3
16063,9.5,27.5
16065,3.0,36.0
16067,11.1,24.3
16069,13.1,26.4
16071,10.0,16.5
16073,10.3,24.7
16075,12.8,22.6
16077,12.8,21.6
16079,16.4,20.6
16081,12.5,32.3
16083,12.6,24.6
16085,12.8,22.0
16087,14.0,21.6
17001,11.1,26.2
17003,13.0,32.1
17005,10.9,29.2
17007,10.3,29.9
17009,12.8,36.7
17011,11.4,24.7
17013,11.5,26.6
17015,10.2,25.1
17017,11.9,27.9
17019,9.0,46.3
17021,14.7,25.8
17023,11.5,19.9
17025,15.6,23.6
17027,10.3,28.9
17029,12.5,37.9
17031,8.6,41.5
17033,13.4,25.9
17035,10.6,23.3
17037,9.5,43.5
17039,12.6,22.5
17041,12.1,25.3
17043,8.3,30.0
17045,12.0,23.2
17047,13.0,20.1
17049,10.7,26.2
17051,13.0,30.0
17053,11.5,24.4
17055,15.8,24.6
17057,13.2,29.0
17059,15.2,21.0
17061,13.4,27.5
17063,10.0,26.5
17065,11.3,21.4
17067,12.9,22.0
17069,10.7,25.4
17071,11.1,20.2
17073,11.0,25.3
17075,11.4,23.5
17077,10.4,45.6
17079,11.9,25.3
17081,13.9,28.7
17083,10.5,26.6
17085,10.1,22.5
17087,10.6,30.0
17089,9.0,31.6
17091,10.0,35.9
17093,8.2,30.5
17095,14.0,33.0
17097,8.6,30.9
17099,11.5,29.1
17101,13.0,27.6
17103,12.4,29.6
17105,11.8,29.0
17107,12.3,31.1
17109,11.0,42.5
17111,9.2,27.8
17113,8.7,38.4
17115,13.3,31.8
17117,12.6,25.5
17119,12.5,29.0
17121,13.5,27.0
17123,10.6,23.9
17125,11.7,24.4
17127,11.1,22.3
17129,9.8,21.1
17131,10.5,22.6
17133,9.1,23.4
17135,14.9,26.3
17137,14.1,31.8
17139,10.7,19.8
17141,11.5,25.3
17143,12.6,35.3
17145,12.8,29.9
17147,10.3,22.1
17149,12.3,25.3
17151,17.0,24.1
17153,11.6,30.3
17155,11.2,22.1
17157,12.0,32.2
17159,16.2,24.3
17161,12.7,30.6
17163,11.8,34.4
17165,15.3,23.3
17167,13.2,32.8
17169,14.1,29.9
17171,11.6,23.1
17173,11.4,21.9
17175,10.8,23.8
17177,12.0,26.4
17179,11.5,25.2
17181,11.6,27.3
17183,14.1,30.7
17185,11.9,19.6
17187,11.8,31.1
17189,11.6,21.7
17191,12.9,20.0
17193,14.1,19.0
17195,12.1,26.1
17197,8.9,31.9
17199,14.1,27.6
17201,12.2,32.0
17203,8.1,25.2
18001,9.7,26.1
18003,12.0,32.4
18005,12.9,28.0
18007,14.3,25.4
18009,12.7,22.7
18011,9.1,22.1
18013,10.3,19.7
18015,13.0,23.8
18017,12.6,28.2
18019,14.5,28.7
18021,12.7,21.3
18023,11.8,26.6
18025,12.4,25.5
18027,11.0,26.3
18029,11.0,25.4
18031,14.4,25.0
18033,13.1,26.2
18035,13.1,38.6
18037,10.9,26.2
18039,11.5,29.9
18041,17.5,23.5
18043,13.5,29.6
18045,12.9,21.7
18047,9.5,24.7
18049,15.6,23.8
18051,12.7,24.6
18053,13.9,31.8
18055,14.8,20.7
18057,9.3,25.1
18059,10.8,24.4
18061,12.9,26.0
18063,11.5,25.7
18065,16.2,27.4
18067,14.9,25.8
18069,12.5,25.7
18071,14.3,24.5
18073,11.2,28.8
18075,14.3,27.2
18077,15.7,27.9
18079,14.4,24.5
18081,12.2,26.5
18083,14.4,28.8
18085,12.0,25.8
18087,7.7,27.0
18089,11.4,35.5
18091,15.3,31.2
18093,14.8,21.5
18095,15.9,28.7
18097,12.4,42.3
18099,12.3,26.3
18101,17.3,27.0
18103,14.0,26.9
18105,10.5,46.8
18107,13.1,24.6
18109,13.4,24.5
18111,12.7,23.8
18113,13.8,24.9
18115,9.5,20.3
18117,17.1,23.7
18119,16.3,22.7
18121,15.8,21.6
18123,13.7,24.8
18125,14.4,22.5
18127,11.3,30.0
18129,11.4,21.9
18131,15.2,22.4
18133,12.2,32.4
18135,14.2,26.2
18137,12.4,24.3
18139,16.4,22.3
18141,11.4,35.3
18143,13.2,26.2
18145,12.9,23.9
18147,11.1,21.5
18149,15.2,26.7
18151,11.8,25.3
18153,16.3,27.1
18155,13.1,23.7
18157,9.7,45.6
18159,11.1,22.0
18161,14.0,23.2
18163,15.0,32.2
18165,16.2,22.6
18167,14.7,36.6
18169,12.8,25.7
18171,10.3,18.8
18173,11.3,21.1
18175,12.9,22.9
18177,15.9,27.8
18179,9.8,22.7
18181,12.6,22.5
18183,11.2,22.2
19001,11.4,21.3
19003,11.1,18.9
19005,9.0,23.7
19007,14.0,24.5
19009,10.5,19.5
19011,10.1,21.5
19013,10.0,37.6
19015,12.4,22.7
19017,7.5,26.6
19019,10.0,25.8
19021,8.6,28.5
19023,8.4,20.6
19025,12.2,21.7
19027,9.4,22.8
19029,12.6,21.8
19031,11.1,24.0
19033,12.4,27.4
19035,11.7,23.8
19037,8.2,23.1
19039,15.7,20.6
19041,11.5,23.6
19043,12.3,24.0
19045,13.2,26.7
19047,7.9,29.7
19049,9.3,24.4
19051,8.1,25.9
19053,11.2,28.5
19055,8.5,21.5
19057,14.1,28.8
19059,14.4,20.2
19061,9.5,31.6
19063,11.6,28.7
19065,11.9,26.9
19067,10.0,24.7
19069,8.1,24.0
19071,11.6,19.2
19073,10.4,22.9
19075,8.5,20.8
19077,11.4,19.0
19079,10.3,23.6
19081,8.2,20.9
19083,9.1,26.2
19085,11.1,22.6
19087,10.7,28.9
19089,10.2,22.8
19091,10.4,20.9
19093,10.7,22.3
19095,8.2,24.7
19097,11.3,24.2
19099,13.1,23.3
19101,15.7,33.7
19103,7.6,43.7
19105,10.8,26.1
19107,11.2,21.3
19109,11.0,23.0
19111,12.4,26.4
19113,11.4,31.3
19115,10.6,26.0
19117,12.0,20.6
19119,5.9,19.1
19121,8.3,19.4
19123,12.6,24.6
19125,10.7,25.4
19127,11.2,26.9
19129,10.4,26.1
19131,10.3,23.6
19133,11.1,21.8
19135,7.7,22.0
19137,12.1,22.7
19139,11.0,27.4
19141,8.3,23.4
19143,10.4,21.6
19145,12.4,26.9
19147,9.9,24.1
19149,8.9,23.1
19151,12.3,18.7
19153,12.4,32.5
19155,12.8,29.4
19157,11.3,30.7
19159,10.5,20.4
19161,10.7,20.2
19163,11.7,31.4
19165,11.6,22.0
19167,3.5,27.4
19169,6.0,49.5
19171,11.7,25.3
19173,11.2,20.3
19175,13.4,26.7
19177,9.9,21.6
19179,12.4,27.0
19181,10.3,24.8
19183,10.2,24.0
19185,11.7,20.9
19187,14.0,31.8
19189,9.6,30.4
19191,7.1,31.6
19193,11.6,32.1
19195,11.1,26.7
19197,8.7,25.1
20001,14.8,25.2
20003,12.2,21.3
20005,11.7,33.9
20007,13.8,21.7
20009,11.6,28.0
20011,9.9,27.1
20013,13.3,19.9
20015,10.4,24.2
20017,9.4,23.6
20019,14.9,21.7
20021,13.3,23.2
20023,14.3,19.9
20025,13.7,14.7
20027,12.3,19.5
20029,12.3,24.7
20031,12.9,20.1
20033,12.4,21.8
20035,13.0,25.6
20037,11.6,36.2
20039,14.1,18.0
20041,12.5,22.1
20043,11.9,29.1
20045,8.6,45.7
20047,13.1,17.3
20049,15.1,15.4
20051,8.9,38.2
20053,11.6,25.2
20055,8.6,31.9
20057,9.8,29.2
20059,12.9,24.5
20061,8.6,22.1
20063,8.4,14.9
20065,12.1,16.8
20067,8.4,26.8
20069,6.2,22.6
20071,6.6,15.9
20073,15.7,20.4
20075,7.2,30.4
20077,10.4,20.2
20079,10.1,27.1
20081,7.1,25.6
20083,7.5,18.4
20085,12.4,23.1
20087,11.0,20.9
20089,11.6,16.0
20091,9.9,27.6
20093,6.1,28.7
20095,10.3,18.0
20097,7.4,23.9
20099,12.0,25.9
20101,6.2,24.3
20103,13.4,27.2
20105,13.2,23.6
20107,10.9,19.1
20109,10.8,23.2
20111,9.5,34.2
20113,9.5,23.1
20115,9.9,23.8
20117,9.2,21.8
20119,9.6,21.8
20121,11.8,22.2
20123,12.8,26.7
20125,13.1,26.5
20127,8.7,20.7
20129,8.3,27.6
20131,7.8,22.3
20133,14.2,23.4
20135,9.1,13.4
20137,15.3,28.9
20139,14.1,20.9
20141,11.3,20.6
20143,9.3,21.7
20145,17.0,30.6
20147,12.2,19.9
20149,7.9,23.4
20151,13.1,23.5
20153,8.0,18.1
20155,13.5,27.3
20157,8.3,15.4
20159,9.0,25.3
20161,7.9,51.4
20163,10.8,21.5
20165,12.3,23.7
20167,12.7,22.7
20169,13.5,27.5
20171,7.6,23.1
20173,12.6,31.3
20175,9.4,35.1
20177,13.1,28.4
20179,9.9,18.1
