cfips,pct_divorced,pct_never_married
01001,12.9,27.3
01003,12.4,23.9
01005,13.3,37.1
01007,14.1,33.9
01009,11.6,22.7
01011,8.7,45.9
01013,12.8,33.6
01015,13.2,29.7
01017,10.8,31.5
01019,12.1,18.5
01021,13.8,25.4
01023,13.8,26.3
01025,11.2,32.1
01027,10.2,23.2
01029,12.3,19.7
01031,13.7,25.0
01033,14.5,25.7
01035,8.1,35.2
01037,13.2,28.7
01039,14.1,23.9
01041,12.2,27.6
01043,13.4,22.9
01045,14.3,27.7
01047,10.2,42.0
01049,11.3,22.7
01051,12.2,27.5
01053,14.4,34.0
01055,14.4,27.9
01057,11.0,20.1
01059,13.2,27.3
01061,13.4,21.1
01063,10.6,43.0
01065,10.0,41.4
01067,9.9,25.8
01069,13.1,30.1
01071,12.8,22.5
01073,12.4,34.7
01075,11.6,22.4
01077,11.9,27.9
01079,11.9,24.0
01081,9.2,40.2
01083,13.2,28.2
01085,12.3,39.8
01087,10.0,45.0
01089,11.4,30.8
01091,11.5,33.5
01093,14.1,22.0
01095,12.6,24.5
01097,12.1,33.4
01099,12.2,32.6
01101,13.6,39.0
01103,11.8,27.0
01105,13.3,50.5
01107,12.2,31.9
01109,10.5,48.7
01111,11.4,26.9
01113,13.4,30.2
01115,12.5,23.1
01117,10.4,26.0
01119,10.2,43.6
01121,12.8,31.5
01123,13.2,26.5
01125,10.0,40.6
01127,12.3,23.1
01129,11.4,29.2
01131,8.3,45.0
01133,16.1,20.5
02013,7.4,38.0
02016,10.5,35.0
02020,11.5,33.8
02050,6.1,49.7
02060,9.9,24.0
02063,13.7,24.5
02066,14.6,25.5
02068,9.9,39.3
02070,6.6,44.7
02090,10.2,32.8
02100,19.3,22.3
02105,16.2,29.6
02110,12.4,31.5
02122,13.3,28.3
02130,14.3,29.8
02150,8.3,32.5
02158,4.0,57.4
02164,8.3,38.6
02170,12.7,31.9
02180,9.5,49.4
02185,8.0,40.8
02188,8.8,53.4
02195,12.7,24.8
02198,12.3,31.2
02220,11.5,27.0
02230,14.9,36.9
02240,9.8,32.2
02275,13.5,26.4
02282,5.8,48.8
02290,9.0,48.6
04001,8.8,47.4
04003,13.4,27.3
04005,9.8,47.2
04007,16.0,23.5
04009,12.5,38.1
04011,12.2,30.3
04012,12.7,23.7
04013,11.9,34.4
04015,15.5,23.2
04017,11.6,36.4
04019,13.0,34.7
