cfips,pct_divorced,pct_never_married
08089,12.6,28.7
08091,13.7,21.0
08093,15.1,20.7
08095,10.6,25.1
08097,18.4,42.8
08099,13.5,28.0
08101,14.6,31.9
08103,12.4,24.2
08105,12.3,26.4
08107,11.5,32.8
08109,19.9,23.6
08111,16.7,26.8
08113,14.4,33.4
08115,13.4,20.3
08117,12.2,43.8
08119,14.6,21.3
08121,8.7,23.5
08123,10.8,27.7
08125,8.0,19.8
09001,9.2,32.7
09003,11.0,35.4
09005,12.2,28.0
09007,12.0,30.2
09009,10.9,37.8
09011,12.6,32.6
09013,9.4,38.6
09015,11.9,33.8
10001,12.1,32.0
10003,10.8,37.1
10005,11.0,25.0
11001,8.7,56.3
12001,10.0,47.6
12003,11.6,31.6
12005,13.7,28.0
12007,15.0,32.7
12009,14.4,26.8
12011,13.3,35.0
12013,16.2,32.2
12015,13.4,19.2
12017,14.0,20.7
12019,11.2,26.0
12021,11.3,23.5
12023,14.9,30.1
12027,11.9,33.2
12029,16.6,24.4
12031,13.9,34.7
12033,14.4,35.1
12035,11.8,24.6
12037,15.2,28.2
12039,12.1,38.7
12041,16.4,28.6
12043,14.5,29.7
12045,16.9,29.4
12047,13.7,36.6
12049,10.3,35.6
12051,11.5,33.9
12053,13.9,23.8
12055,12.0,21.3
12057,12.3,34.8
12059,15.5,25.9
12061,12.2,24.8
12063,14.5,32.5
12065,11.7,28.9
12067,12.6,36.7
12069,12.2,23.9
12071,13.2,26.4
12073,10.2,46.9
12075,16.3,24.7
12077,17.5,36.0
12079,12.7,35.1
12081,13.4,25.6
12083,13.6,26.4
12085,13.6,25.1
12086,13.0,36.8
12087,16.9,26.7
12089,12.2,22.5
12091,12.7,27.8
12093,12.4,30.7
12095,11.6,38.7
12097,11.6,35.3
12099,12.4,30.8
12101,13.1,26.5
12103,15.7,29.5
12105,11.6,31.2
12107,16.2,27.4
12109,11.4,24.7
12111,12.7,28.2
12113,11.9,25.6
12115,14.0,21.6
12117,11.6,32.1
12119,11.3,13.6
12121,14.8,24.7
12123,10.9,32.2
12125,16.9,36.6
12127,15.1,28.3
12129,13.5,30.1
12131,13.4,24.0
12133,14.4,29.9
13001,10.1,29.1
13003,9.1,32.2
13005,12.4,28.0
13007,8.0,30.1
13009,11.5,43.1
13011,11.8,20.9
13013,12.7,27.0
13015,14.7,25.5
13017,10.3,35.9
13019,12.1,25.6
13021,12.3,40.5
13023,10.8,36.4
13025,15.8,26.1
13027,10.4,28.3
13029,10.0,25.9
13031,9.0,45.7
13033,9.5,31.5
13035,10.0,32.2
13037,14.2,42.6
13039,11.7,28.4
13043,13.7,27.1
13045,10.9,31.8
13047,12.6,23.4
13049,10.2,32.8
13051,12.3,37.9
13053,5.7,49.0
13055,16.1,28.0
13057,10.1,24.8
13059,8.1,54.7
13061,8.5,38.7
13063,12.9,45.2
13065,12.3,33.8
13067,10.5,32.9
13069,13.0,35.2
13071,12.6,30.8
13073,10.7,27.3
13075,12.3,27.9
13077,9.7,26.9
13079,12.0,29.5
13081,9.7,35.0
13083,11.5,23.9
13085,10.3,24.1
13087,11.3,32.3
13089,11.5,43.0
13091,12.4,29.9
13093,9.9,37.5
13095,12.6,43.5
13097,12.7,33.3
13099,11.0,34.7
13101,11.3,23.2
13103,12.3,25.4
13105,12.8,29.1
13107,13.1,35.0
13109,13.0,30.6
13111,14.5,17.9
13113,8.8,24.8
13115,11.8,29.6
13117,8.0,22.4
13119,11.7,25.8
13121,10.6,44.5
13123,13.1,18.9
13125,15.1,28.0
13127,14.0,28.7
13129,12.1,23.8
13131,12.4,27.1
13133,9.8,26.7
13135,9.4,33.5
13137,11.1,26.7
13139,10.2,30.2
13141,10.4,44.7
13143,14.9,21.3
13145,10.0,22.9
13147,13.2,25.5
13149,13.8,24.8
13151,11.4,32.0
13153,11.0,30.2
13155,11.0,33.8
13157,10.9,24.3
13159,15.8,22.9
13161,10.5,25.7
13163,10.3,38.1
13165,15.9,27.9
13167,12.3,37.1
13169,13.1,25.0
13171,10.7,35.8
13173,13.2,28.5
13175,11.8,33.8
13177,9.1,26.1
13179,10.7,29.8
13181,15.6,25.1
13183,17.1,25.7
13185,10.7,39.6
13187,11.6,33.3
13189,11.5,32.0
13191,11.1,23.9
13193,8.9,44.7
13195,10.2,23.9
13197,8.6,32.3
13199,11.8,30.0
13201,10.7,24.7
13205,12.8,37.0
13207,10.9,28.9
13209,12.4,29.8
13211,8.9,27.7
13213,13.6,22.0
13215,13.5,37.5
13217,13.5,34.1
13219,9.7,22.9
13221,12.7,23.4
13223,12.2,27.2
13225,13.2,38.0
13227,11.6,20.1
13229,11.1,26.5
13231,8.8,24.9
13233,15.1,28.4
13235,17.1,32.8
13237,11.6,25.1
13239,8.3,34.0
13241,13.8,24.7
13243,14.3,37.2
13245,12.8,42.3
13247,13.0,34.4
13249,10.2,30.4
13251,10.9,32.4
13253,11.6,32.6
13255,14.4,32.7
13257,10.8,26.0
13259,9.1,43.2
13261,10.2,40.9
13263,10.5,31.1
13265,11.8,41.0
13267,13.8,32.0
13269,8.4,34.3
13271,10.6,46.1
13273,10.8,37.1
13275,13.7,30.5
13277,8.3,35.9
13279,12.6,26.8
13281,12.2,22.0
13283,11.7,28.0
13285,10.9,34.1
13287,11.7,29.9
13289,14.1,30.3
13291,11.7,18.1
13293,13.1,30.8
13295,13.9,24.8
13297,9.7,27.2
13299,12.8,30.4
13301,14.0,33.9
13303,11.1,35.0
13305,11.5,27.9
13307,7.9,24.0
13309,9.3,50.8
13311,10.4,20.6
13313,10.9,26.9
13315,14.2,37.9
13317,12.8,32.9
13319,12.5,33.9
13321,12.0,26.3
15001,11.2,32.2
15003,8.6,33.7
15005,14.1,43.7
15007,9.8,32.4
15009,10.9,31.6
16001,12.1,30.8
16003,16.3,15.9
16005,12.4,30.0
16007,8.5,17.3
16009,15.2,25.9
16011,11.9,24.9
16013,12.7,25.7
16015,13.0,18.7
16017,13.8,19.2
16019,11.6,23.6
16021,13.7,21.3
16023,11.6,15.5
16025,14.3,18.7
16027,12.3,28.7
16029,10.7,17.5
16031,9.7,23.0
16033,7.4,33.0
16035,15.3,22.3
16037,14.3,20.7
16039,10.9,22.5
16041,6.6,22.5
16043,9.2,22.2
16045,14.8,25.2
16047,12.2,23.9
