cfips,pct_disabled
01001,19.0
01003,14.2
01005,21.4
01007,17.2
01009,14.1
01011,12.0
01013,16.5
01015,21.2
01017,18.1
01019,17.8
01021,19.4
01023,26.7
01025,18.2
01027,17.4
01029,21.9
01031,17.8
01033,18.5
01035,22.4
01037,22.9
01039,21.1
01041,20.5
01043,17.7
01045,21.2
01047,17.6
01049,13.5
01051,17.1
01053,18.0
01055,18.4
01057,26.1
01059,15.0
01061,23.6
01063,24.7
01065,21.2
01067,19.1
01069,17.2
01071,19.3
01073,15.4
01075,22.9
01077,14.7
01079,21.3
01081,13.0
01083,15.7
01085,26.8
01087,18.2
01089,13.2
01091,25.3
01093,26.1
01095,14.7
01097,14.1
01099,14.6
01101,16.0
01103,16.6
01105,22.1
01107,25.1
01109,16.0
01111,17.4
01113,19.0
01115,16.8
01117,11.3
01119,23.0
01121,20.7
01123,19.8
01125,12.6
01127,24.8
01129,22.2
01131,19.2
01133,24.2
02013,9.3
02016,8.1
02020,11.4
02050,11.0
02060,13.1
02068,14.9
02070,12.6
02090,11.6
02100,11.9
02105,16.0
02110,11.4
02122,14.8
02130,14.9
02150,10.4
02158,11.6
02164,13.9
02170,13.3
02180,9.7
02185,10.3
02188,9.4
02195,19.0
02198,21.7
02220,12.4
02230,12.5
02240,17.8
02261,10.3
02275,17.7
02282,11.1
02290,15.7
04001,15.0
04003,17.3
04005,12.4
04007,21.5
04009,11.3
04011,11.9
04012,26.0
04013,11.2
04015,22.6
04017,18.3
04019,15.3
04021,15.4
04023,13.2
04025,18.0
04027,12.0
05001,22.1
05003,20.7
05005,20.5
05007,10.1
05009,18.6
05011,22.6
05013,22.0
05015,15.1
05017,25.5
05019,21.3
05021,22.8
05023,18.5
05025,20.4
05027,19.1
05029,23.0
05031,17.6
05033,19.9
05035,16.8
05037,19.9
05039,24.8
05041,19.4
05043,19.9
05045,14.3
05047,22.8
05049,23.5
05051,20.2
05053,19.2
05055,22.9
05057,17.0
05059,23.8
05061,17.6
05063,20.1
05065,26.8
05067,23.5
05069,18.0
05071,20.2
05073,25.2
05075,23.4
05077,24.2
05079,21.1
05081,20.9
05083,22.0
05085,14.1
05087,18.1
05089,23.3
05091,18.7
05093,20.0
05095,23.6
05097,25.9
05099,20.9
05101,22.1
05103,19.9
05105,23.9
05107,22.2
05109,26.9
05111,22.3
05113,23.3
05115,17.7
05117,21.2
05119,15.7
05121,22.2
05123,18.5
05125,16.6
05127,24.5
05129,20.6
05131,19.8
05133,14.2
05135,27.1
05137,22.6
05139,17.4
05141,25.4
05143,10.6
05145,16.2
05147,23.8
05149,19.7
06001,9.2
06003,16.0
06005,19.0
06007,17.2
06009,21.1
06011,12.2
06013,11.2
06015,20.0
06017,13.2
06019,13.2
06021,15.2
06023,16.5
06025,14.4
06027,14.2
06029,11.1
06031,12.2
06033,20.0
06035,18.4
06037,9.9
06039,13.0
06041,9.1
06043,20.4
06045,17.0
06047,13.0
06049,18.3
06051,5.3
06053,8.8
06055,11.8
06057,14.3
06059,8.5
06061,10.6
06063,16.5
06065,11.6
06067,11.8
06069,9.0
06071,11.0
06073,9.9
06075,10.2
06077,12.5
06079,11.6
06081,8.2
06083,9.9
06085,8.0
06087,12.0
06089,18.3
06091,15.6
06093,18.6
06095,12.3
06097,11.9
06099,13.1
06101,13.6
06103,18.9
06105,20.9
06107,12.1
06109,19.6
06111,10.9
06113,9.6
06115,15.0
08001,10.4
08003,17.5
08005,9.0
08007,14.7
08009,20.2
08011,26.1
08013,8.1
08014,8.1
08015,17.1
08017,12.2
08019,9.9
08021,20.3
08023,27.6
08025,24.6
08027,16.1
08029,18.9
08031,9.6
08033,19.2
08035,6.7
08037,5.0
08039,8.9
08041,12.4
08043,18.9
08045,7.8
08047,9.6
08049,5.0
08051,8.0
08053,25.4
08055,23.0
08057,8.0
08059,10.0
08061,15.5
08063,16.0
08065,13.1
08067,9.0
08069,9.7
08071,24.1
08073,15.9
08075,14.2
08077,15.0
08079,14.7
08081,11.3
08083,17.3
08085,15.8
08087,11.2
08089,21.0
08091,11.5
08093,12.9
08095,12.4
08097,6.5
08099,16.9
08101,19.5
08103,12.1
08105,20.2
08107,6.2
08109,15.6
08111,12.9
08113,5.5
08115,18.2
08117,5.7
08119,13.8
08121,11.1
08123,10.3
08125,11.6
09001,9.6
09003,11.8
09005,11.8
09007,11.0
09009,11.6
09011,12.9
09013,10.2
09015,13.6
10001,15.3
10003,11.3
10005,14.0
11001,11.7
12001,10.9
12003,15.9
12005,19.5
12007,19.4
12009,15.8
12011,10.8
12013,23.7
12015,22.5
12017,21.7
12019,13.5
12021,11.5
12023,19.7
12027,14.6
12029,23.3
12031,13.3
12033,15.4
12035,14.8
12037,22.5
12039,19.4
12041,21.2
12043,18.2
12045,20.2
12047,23.7
12049,11.4
12051,12.0
12053,19.6
12055,19.8
12057,11.6
12059,23.4
12061,16.3
12063,20.2
12065,17.9
12067,15.7
12069,16.6
12071,13.9
12073,11.2
12075,20.9
12077,23.5
12079,18.3
12081,14.1
12083,17.9
12085,15.6
12086,10.1
12087,10.3
12089,16.4
12091,15.5
12093,16.3
12095,11.0
12097,14.3
12099,12.3
12101,16.1
12103,15.4
12105,15.4
12107,16.9
12109,11.2
12111,15.1
12113,15.8
12115,15.4
12117,10.6
12119,20.0
12121,20.6
12123,21.0
12125,15.4
12127,17.6
12129,14.7
12131,17.3
12133,18.5
13001,15.5
13003,16.2
13005,19.7
13007,21.4
13009,15.5
13011,18.4
13013,13.9
13015,14.0
13017,15.2
13019,18.6
13021,15.7
13023,16.1
13025,19.0
13027,15.7
13029,12.6
13031,13.3
13033,13.7
13035,15.1
13037,16.4
13039,12.9
13043,16.6
13045,14.4
13047,16.4
13049,20.1
13051,14.4
13053,10.9
13055,17.0
13057,10.1
13059,11.5
13061,20.4
13063,10.8
13065,16.7
13067,8.7
13069,19.6
13071,14.7
13073,11.8
13075,18.5
13077,11.0
13079,17.9
13081,16.6
13083,17.7
13085,15.4
13087,15.8
13089,10.2
13091,20.2
13093,19.7
13095,16.2
13097,11.2
13099,15.7
13101,14.6
13103,11.1
13105,21.2
13107,20.0
13109,16.9
13111,25.2
13113,10.4
13115,15.4
13117,7.3
13119,19.6
13121,10.0
13123,20.8
13125,13.9
13127,15.4
13129,17.2
13131,21.4
13133,14.2
13135,6.9
13137,16.5
13139,11.5
13141,15.0
13143,18.6
13145,18.1
13147,21.2
13149,21.0
13151,9.8
13153,13.4
13155,18.3
13157,14.0
13159,17.3
13161,18.6
13163,15.2
13165,15.0
13167,18.4
13169,15.6
13171,16.0
13173,16.1
13175,14.3
13177,11.6
13179,14.2
13181,16.0
13183,17.0
13185,11.2
13187,15.0
13189,12.7
13191,22.9
13193,16.0
13195,18.8
13197,13.4
13199,20.9
13201,11.7
13205,16.2
13207,16.3
13209,17.1
13211,15.7
13213,13.1
13215,18.4
13217,14.9
13219,9.7
13221,15.8
13223,10.7
13225,17.7
13227,17.8
13229,15.6
13231,12.1
13233,15.6
13235,22.4
13237,15.4
13239,20.2
13241,21.2
13243,16.9
13245,17.0
13247,10.6
13249,17.0
13251,15.9
13253,18.8
13255,15.0
13257,20.6
13259,21.5
13261,13.6
13263,17.1
13265,21.4
13267,17.1
13269,19.2
13271,11.6
13273,14.3
13275,17.2
13277,14.0
13279,17.7
13281,17.6
13283,21.3
13285,16.9
13287,17.9
13289,19.6
13291,18.0
13293,16.4
13295,19.2
13297,12.7
13299,16.8
13301,14.5
13303,18.1
13305,14.8
13307,15.7
13309,12.9
13311,18.9
13313,10.9
13315,14.4
13317,16.6
13319,15.2
13321,17.0
15001,14.6
15003,10.9
15005,24.6
15007,9.7
15009,9.6
16001,10.3
16003,21.1
16005,15.9
16007,14.2
16009,22.1
16011,15.8
16013,10.1
16015,13.8
16017,16.5
16019,14.4
16021,13.8
16023,15.6
16025,11.2
16027,14.6
16029,14.6
16031,14.0
16033,5.9
16035,21.2
16037,25.9
16039,14.2
16041,15.6
16043,14.6
16045,20.7
16047,13.0
16049,23.2
16051,10.3
16053,11.0
16055,13.6
16057,12.3
16059,18.3
16061,25.8
16063,14.1
16065,8.4
16067,14.5
16069,17.2
16071,18.0
16073,17.9
16075,17.0
16077,17.9
16079,27.0
16081,6.0
16083,13.7
16085,15.7
16087,20.0
17001,14.6
17003,22.2
17005,15.8
17007,11.5
17009,15.5
17011,13.4
17013,22.1
17015,13.9
17017,13.0
17019,9.0
17021,13.1
17023,17.1
17025,19.6
17027,14.3
17029,15.4
17031,10.2
17033,17.8
17035,16.4
17037,10.5
17039,12.9
17041,11.6
17043,8.0
17045,16.9
17047,16.1
17049,13.5
17051,17.7
17053,15.2
17055,20.9
17057,14.4
17059,23.0
17061,15.6
17063,9.1
17065,21.3
17067,14.7
17069,24.9
17071,16.1
17073,12.8
17075,15.9
17077,14.8
17079,20.5
17081,18.8
17083,14.2
17085,14.1
17087,16.4
17089,8.6
17091,13.3
17093,7.6
17095,15.9
17097,9.1
17099,13.6
17101,21.2
17103,15.5
17105,15.5
17107,15.2
17109,14.4
17111,9.6
17113,9.4
17115,15.1
17117,14.7
17119,14.5
17121,18.8
17123,13.3
17125,16.8
17127,20.7
17129,14.4
17131,12.9
17133,9.6
17135,14.7
17137,16.2
17139,12.8
17141,13.0
17143,11.9
17145,19.2
17147,13.4
17149,16.6
17151,26.1
17153,21.9
17155,13.5
17157,16.3
17159,17.4
17161,13.7
17163,13.5
17165,22.3
17167,13.6
17169,19.7
17171,13.4
17173,12.8
