cfips,pct_housing_single_detached
01001,72.3
01003,74.3
01005,56.0
01007,61.0
01009,70.6
01011,47.4
01013,63.9
01015,74.2
01017,70.8
01019,69.1
01021,59.7
01023,67.5
01025,62.9
01027,68.5
01029,68.5
01031,72.0
01033,79.0
01035,60.1
01037,64.4
01039,71.9
01041,65.7
01043,71.0
01045,69.3
01047,61.1
01049,69.3
01051,74.2
01053,70.5
01055,77.8
01057,68.1
01059,77.5
01061,70.4
01063,58.4
01065,57.1
01067,71.3
01069,73.2
01071,71.2
01073,70.8
01075,71.9
01077,73.3
01079,71.7
01081,58.3
01083,79.6
01085,53.3
01087,63.5
01089,72.7
01091,61.6
01093,68.1
01095,76.8
01097,74.6
01099,72.9
01101,71.5
01103,71.6
01105,64.5
01107,63.5
01109,57.3
01111,71.4
01113,67.7
01115,69.8
01117,76.6
01119,50.2
01121,63.3
01123,71.0
01125,66.0
01127,65.4
01129,70.8
01131,50.1
01133,68.5
02013,80.3
02016,35.2
02020,49.7
02050,83.0
02060,78.7
02068,88.3
02070,81.6
02090,62.2
02100,84.4
02105,84.6
02110,47.1
02122,78.2
02130,54.8
02150,58.7
02158,96.7
02164,88.1
02170,82.6
02180,80.8
02185,74.8
02188,72.1
02195,71.5
02198,66.9
02220,46.4
02230,65.1
02240,86.3
02261,59.3
02275,66.0
02282,79.0
02290,96.0
04001,67.9
04003,66.1
04005,59.3
04007,69.7
04009,67.9
04011,64.8
04012,33.0
04013,66.4
04015,63.2
04017,67.5
04019,62.1
04021,76.7
04023,75.7
04025,67.2
04027,59.4
05001,72.7
05003,74.6
05005,77.5
05007,75.1
05009,77.5
05011,72.3
05013,73.5
05015,74.5
05017,70.2
05019,63.6
05021,82.0
05023,72.5
05025,69.9
05027,70.1
05029,73.7
05031,68.3
05033,76.8
05035,71.7
05037,71.6
05039,67.5
05041,72.0
05043,62.9
05045,67.8
05047,77.5
05049,75.5
05051,67.9
05053,68.5
05055,74.1
05057,73.2
05059,70.1
05061,72.7
05063,73.9
05065,80.1
05067,75.5
05069,70.5
05071,73.2
05073,71.3
05075,80.5
05077,74.4
05079,60.3
05081,73.3
05083,80.7
05085,74.7
05087,77.3
05089,76.8
05091,68.0
05093,72.5
05095,70.7
05097,67.0
05099,70.4
05101,84.2
05103,73.6
05105,73.6
05107,71.2
05109,76.5
05111,75.1
05113,75.3
05115,74.0
05117,68.2
05119,68.5
05121,79.0
05123,62.7
05125,76.1
05127,69.7
05129,73.5
05131,71.2
05133,72.5
05135,76.8
05137,64.3
05139,70.5
05141,66.9
05143,62.7
05145,68.3
05147,73.3
05149,77.2
06001,53.2
06003,92.3
06005,81.5
06007,63.4
06009,83.1
06011,75.6
06013,67.1
06015,64.1
06017,79.6
06019,68.8
06021,70.8
06023,67.7
06025,68.7
06027,60.9
06029,73.3
06031,71.9
06033,67.8
06035,77.9
06037,49.3
06039,80.1
06041,62.0
06043,71.8
06045,73.1
06047,76.6
06049,83.1
06051,49.3
06053,62.5
06055,68.8
06057,82.0
06059,51.1
06061,79.0
06063,77.2
06065,70.8
06067,65.8
06069,79.5
06071,70.4
06073,51.7
06075,20.2
06077,74.8
06079,67.5
06081,57.0
06083,58.1
06085,52.7
06087,63.1
06089,70.5
06091,82.0
06093,75.0
06095,71.7
06097,66.6
06099,76.2
06101,72.5
06103,66.3
06105,69.5
06107,75.6
06109,76.2
06111,64.2
06113,59.7
06115,72.7
08001,63.5
08003,56.5
08005,57.3
08007,72.8
08009,84.2
08011,76.1
08013,59.8
08014,62.8
08015,81.9
08017,81.3
08019,79.2
08021,71.1
08023,69.8
08025,78.2
08027,86.5
08029,76.4
08031,45.8
08033,74.8
08035,77.2
08037,45.6
08039,93.9
08041,67.9
08043,75.4
08045,64.2
08047,84.3
08049,70.4
08051,60.1
08053,80.4
08055,73.3
08057,70.3
08059,65.9
08061,85.6
08063,74.9
08065,68.8
08067,65.7
08069,66.2
08071,77.8
08073,73.8
08075,73.3
08077,69.6
08079,86.6
08081,61.6
08083,71.4
08085,68.8
08087,73.0
08089,76.4
08091,76.5
08093,92.0
08095,88.6
08097,35.9
08099,76.3
08101,76.1
