cfips,pct_housing_vacant,pct_housing_occupant_ratio_lt1,pct_housing_grapi_gt35
01001,9.0,98.4,35.1
01003,28.0,98.5,36.7
01005,22.7,96.2,42.0
01007,21.4,98.7,46.8
01009,13.1,98.2,35.6
01011,25.3,99.0,50.7
01013,34.3,98.9,38.7
01015,17.0,98.8,34.7
01017,20.0,92.8,28.5
01019,34.8,98.6,34.3
01021,13.9,97.3,31.0
01023,28.1,99.0,43.6
01025,27.2,98.1,35.9
01027,24.6,98.9,19.9
01029,14.9,98.6,28.1
01031,14.4,97.8,31.2
01033,18.4,99.5,39.3
01035,36.3,99.6,22.1
01037,39.3,97.0,33.9
01039,21.4,97.9,36.4
01041,26.7,98.9,31.3
01043,16.6,98.1,32.2
01045,16.2,99.1,33.9
01047,24.6,98.8,50.0
01049,16.1,97.0,34.4
01051,13.2,98.7,43.3
01053,22.2,98.7,38.3
01055,18.9,98.8,39.5
01057,19.9,99.3,29.8
01059,21.8,97.1,31.6
01061,18.1,98.7,41.8
01063,38.1,98.0,45.8
01065,30.0,96.4,59.5
01067,28.8,99.3,41.3
01069,16.8,98.6,36.3
01071,19.0,97.5,27.5
01073,14.6,98.6,40.5
01075,24.0,98.1,46.3
01077,14.9,99.0,31.5
01079,18.1,98.9,23.6
01081,13.6,96.4,45.7
01083,9.8,98.1,28.9
01085,19.8,98.4,68.4
01087,26.4,98.7,41.5
01089,7.6,98.7,35.8
01091,27.7,99.8,41.7
01093,20.2,97.8,29.5
01095,13.6,98.1,34.6
01097,14.5,98.2,43.0
01099,29.7,99.6,38.3
01101,14.8,98.0,43.2
01103,11.2,98.0,34.7
01105,34.0,100.0,48.7
01107,19.6,99.0,38.7
01109,28.0,99.3,52.3
01111,28.7,97.5,38.2
01113,15.1,98.4,40.9
01115,11.4,98.4,31.0
01117,8.3,99.2,33.3
01119,22.6,98.5,59.1
01121,16.5,98.8,40.0
01123,27.5,97.0,39.1
01125,18.5,98.5,43.1
01127,18.6,98.0,33.7
01129,32.2,98.1,28.8
01131,31.8,98.9,37.4
01133,29.8,98.7,33.8
02013,17.6,97.0,30.4
02016,35.1,88.3,17.0
02020,9.6,95.5,35.7
02050,25.4,67.7,29.3
02060,67.4,94.4,11.2
02063,29.7,95.2,21.7
02066,63.4,95.7,27.6
02068,56.4,96.6,16.2
02070,41.9,75.1,24.9
02090,18.2,94.6,34.6
02100,45.8,88.9,11.0
02105,53.5,95.8,32.1
02110,6.6,97.2,30.2
02122,30.5,94.8,35.3
02130,17.6,95.2,44.0
02150,22.4,90.4,38.0
02158,21.1,57.8,23.5
02164,74.4,90.4,6.4
02170,23.9,94.8,43.0
02180,32.1,69.3,24.3
02185,22.9,67.4,23.0
02188,34.5,63.6,18.3
02195,33.1,98.0,41.5
02198,31.8,94.0,31.7
02220,15.5,98.0,32.7
02230,36.2,96.4,10.3
02240,41.5,93.5,26.8
02275,31.8,98.5,31.9
02282,47.0,94.1,7.0
02290,54.5,85.6,28.3
04001,34.7,86.7,18.7
04003,17.0,97.7,33.1
04005,26.6,93.4,44.0
04007,33.2,96.1,30.5
04009,17.0,94.6,29.2
04011,26.2,94.6,7.0
04012,39.1,94.4,26.8
04013,9.6,95.6,38.3
04015,21.7,96.6,35.2
04017,37.5,91.2,32.3
04019,11.3,96.4,41.8
04021,16.6,96.1,40.6
04023,12.8,94.8,39.1
04025,14.6,97.9,41.2
04027,20.3,91.5,34.7
05001,21.9,97.7,36.8
05003,24.2,98.6,36.7
05005,18.4,98.0,31.3
05007,8.4,95.8,25.6
05009,11.6,98.3,26.7
05011,27.2,97.6,36.8
05013,40.4,99.8,28.6
05015,19.5,95.0,23.5
05017,25.4,97.6,35.1
05019,21.1,97.1,39.8
05021,19.3,98.7,31.8
05023,32.6,97.9,25.3
05025,23.1,99.4,24.6
05027,27.7,94.4,31.7
05029,13.9,98.3,37.4
05031,8.6,98.0,36.2
05033,10.7,97.2,37.6
05035,12.7,97.2,42.0
05037,17.7,94.2,34.1
05039,31.2,99.8,22.1
05041,19.6,98.2,40.5
05043,16.6,97.6,27.9
05045,10.2,98.2,42.4
05047,16.8,97.3,38.8
05049,26.8,94.4,37.4
05051,19.8,97.3,35.4
05053,12.4,98.1,40.4
05055,8.3,97.4,34.3
05057,23.4,97.0,34.2
05059,13.6,97.5,30.8
05061,15.7,95.8,30.3
05063,13.7,96.5,29.2
05065,32.8,98.9,31.5
05067,17.9,99.5,29.4
05069,20.2,97.8,38.2
05071,15.1,96.6,37.1
05073,34.0,98.6,52.4
05075,18.0,98.0,24.0
05077,26.6,96.9,70.2
05079,23.3,98.9,27.3
05081,19.0,98.2,24.9
05083,17.8,98.0,25.0
05085,8.5,98.5,32.4
05087,20.4,96.9,35.5
05089,27.5,98.2,33.4
05091,17.1,96.2,41.8
05093,19.2,95.9,35.1
05095,27.2,93.9,31.9
05097,36.9,98.6,37.2
05099,30.6,97.3,40.7
05101,36.3,99.3,51.4
05103,27.6,95.9,42.4
05105,25.9,95.0,24.8
05107,26.2,98.5,42.2
05109,25.1,97.1,36.6
05111,13.0,97.1,36.3
05113,19.9,96.3,41.2
05115,13.3,98.4,35.1
05117,17.5,98.1,20.9
05119,12.8,97.9,37.3
05121,15.5,97.3,28.9
05123,15.1,97.3,37.8
05125,8.2,98.5,29.7
05127,22.1,95.9,42.5
05129,34.7,99.6,43.9
05131,8.9,96.8,32.6
05133,18.6,92.3,28.6
05135,26.1,97.7,37.6
05137,29.8,97.4,41.4
05139,21.0,95.0,34.2
05141,31.4,97.6,37.8
05143,6.5,95.8,32.5
05145,14.8,98.3,36.0
05147,22.6,98.5,31.8
05149,21.1,94.6,32.2
06001,5.4,92.1,39.5
06003,77.9,96.2,9.7
06005,18.6,97.4,36.1
06007,10.7,96.5,48.6
06009,39.6,98.1,50.9
06011,10.1,94.1,33.8
06013,4.0,95.0,43.5
06015,13.6,96.0,51.9
06017,20.2,97.4,42.0
06019,7.0,90.4,46.4
06021,8.9,96.1,38.3
06023,14.1,95.9,52.7
06025,20.9,90.1,43.5
06027,16.4,98.1,25.9
06029,8.6,90.8,45.2
06031,5.8,91.6,35.3
06033,26.0,96.2,46.7
06035,28.2,98.2,34.2
06037,6.4,88.8,47.7
06039,11.9,89.1,40.4
06041,6.6,95.5,41.6
06043,25.5,97.6,51.7
06045,16.4,94.5,48.1
06047,6.2,91.5,38.8
06049,31.7,96.8,38.6
06051,63.1,95.8,19.3
06053,9.8,86.4,44.4
06055,12.4,94.1,43.2
06057,24.1,98.3,48.7
06059,5.6,91.2,45.9
06061,12.3,98.1,42.2
06063,47.5,97.6,34.7
06065,12.9,92.9,48.5
06067,4.4,94.7,44.8
06069,4.3,92.3,39.2
06071,11.3,91.2,47.3
06073,7.0,93.2,46.6
06075,9.1,93.3,29.0
06077,5.8,92.1,43.3
06079,13.1,96.9,45.6
06081,5.5,92.4,39.7
06083,6.9,89.7,45.5
06085,5.0,91.9,36.1
06087,9.0,93.2,47.1
06089,9.7,96.9,43.4
06091,46.5,98.9,33.8
06093,20.6,96.7,43.8
06095,4.9,94.4,42.9
06097,8.5,95.0,44.5
06099,4.1,92.9,43.6
06101,5.3,93.7,38.8
06103,10.7,95.8,46.1
06105,33.7,95.5,50.8
06107,7.4,89.8,44.3
06109,27.4,97.6,48.1
06111,6.1,93.8,48.2
06113,5.0,94.2,43.1
06115,7.7,95.4,37.5
08001,3.5,95.1,43.7
08003,9.4,94.7,30.7
08005,4.3,97.1,41.9
08007,39.5,96.6,38.9
08009,23.2,97.7,14.4
08011,16.9,99.3,34.0
08013,5.9,98.6,47.5
08014,3.0,98.8,35.5
08015,20.8,97.1,39.2
08017,20.6,99.8,10.7
08019,23.8,98.5,32.2
08021,25.8,95.1,32.7
08023,39.1,94.3,41.4
08025,11.3,98.0,50.2
08027,46.1,97.7,47.5
08029,17.4,98.5,54.3
08031,6.0,96.9,37.5
08033,43.3,100.0,8.9
08035,3.5,98.7,36.3
08037,41.9,95.8,48.5
08039,3.8,99.0,25.5
08041,5.0,97.3,42.6
08043,12.9,98.0,41.8
08045,10.0,96.4,31.4
08047,18.8,99.1,33.3
08049,62.7,97.7,40.7
08051,42.1,97.6,37.6
08053,73.9,98.9,34.9
08055,42.3,99.8,43.8
08057,51.7,98.7,45.5
08059,3.7,98.5,42.6
08061,20.3,100.0,44.4
