cfips,pct_housing_vacant,pct_housing_occupant_ratio_lt1,pct_housing_grapi_gt35
06049,30.7,97.3,41.2
06051,65.1,98.2,19.7
06053,10.4,87.1,45.3
06055,11.6,94.2,42.5
06057,24.4,97.9,48.3
06059,5.2,91.1,47.5
06061,13.2,97.8,42.0
06063,47.4,99.2,48.8
06065,13.9,93.0,49.9
06067,5.7,95.1,45.7
06069,4.8,91.9,40.3
06071,12.4,91.2,49.4
06073,7.0,93.5,46.7
06075,8.1,93.8,32.5
06077,6.5,92.9,46.9
06079,12.6,96.6,45.9
06081,4.8,92.3,41.3
06083,7.3,89.7,47.1
06085,4.2,92.1,38.6
06087,9.5,93.1,53.1
06089,9.9,96.9,49.0
06091,49.4,99.8,32.4
06093,20.9,96.9,48.5
06095,5.5,95.0,45.5
06097,8.6,94.9,45.7
06099,5.2,93.3,46.6
06101,5.9,93.0,40.6
06103,13.3,94.8,48.6
06105,38.0,97.4,55.8
06107,7.9,90.0,47.1
06109,29.2,97.0,44.2
06111,5.6,93.2,47.5
06113,5.3,94.7,47.0
06115,8.3,93.3,45.3
08001,4.0,94.7,42.0
08003,11.9,95.0,43.3
08005,4.4,97.0,42.4
08007,39.1,96.0,38.8
08009,29.0,99.0,28.7
08011,21.8,96.9,58.7
08013,5.9,98.3,48.3
08014,3.6,98.2,37.1
08015,25.7,98.9,42.2
08017,15.7,99.5,13.8
08019,24.0,98.3,32.3
08021,31.7,96.1,25.7
08023,43.8,98.2,51.8
08025,23.4,97.8,36.3
08027,52.4,97.7,40.2
08029,17.7,97.1,48.9
08031,6.3,96.6,39.3
08033,50.3,98.2,31.6
08035,3.6,98.9,31.8
08037,44.3,96.3,39.8
08039,4.9,98.7,30.7
08041,5.9,97.3,40.6
08043,14.6,98.2,41.5
08045,11.3,93.9,32.2
08047,27.2,99.1,29.7
08049,65.3,96.5,32.2
08051,44.8,96.7,35.9
08053,74.4,97.6,26.0
08055,39.1,99.0,45.1
08057,54.5,100.0,43.2
08059,3.7,98.6,41.3
08061,28.0,99.7,20.2
08063,15.6,99.2,33.7
08065,29.1,97.9,33.7
08067,19.5,97.7,41.3
08069,8.5,98.5,48.3
08071,25.8,97.0,41.2
08073,22.4,99.5,38.6
08075,10.1,97.8,41.4
08077,7.2,97.9,43.9
08079,68.9,99.5,17.0
08081,18.6,98.1,28.0
08083,14.1,97.4,36.5
08085,9.4,96.7,40.4
08087,9.0,95.3,28.6
08089,16.5,97.9,45.0
08091,31.4,99.0,40.7
08093,48.5,99.0,49.2
08095,12.1,95.4,24.4
08097,45.9,98.6,36.2
08099,17.7,97.8,34.9
08101,10.1,97.6,45.1
08103,28.3,96.9,32.1
08105,29.4,96.0,34.7
08107,42.9,97.2,44.2
08109,34.7,94.4,39.5
08111,64.5,96.9,10.7
08113,51.2,97.0,46.9
08115,23.1,97.3,32.9
08117,69.2,95.5,39.3
08119,22.5,98.0,44.9
08121,16.1,97.6,21.0
08123,4.2,97.1,38.3
08125,9.7,96.9,33.3
09001,8.5,97.2,45.5
09003,7.7,98.2,40.9
09005,15.3,99.1,39.4
09007,12.3,99.0,39.4
09009,10.4,98.3,45.5
09011,12.6,98.5,38.4
09013,7.1,99.2,40.9
09015,10.2,98.1,41.4
10001,8.8,98.0,43.1
10003,8.3,98.6,40.2
10005,35.1,97.9,37.7
11001,9.8,96.4,38.7
12001,15.4,98.0,51.3
12003,15.6,96.4,29.3
12005,32.3,98.1,41.7
12007,18.5,97.8,37.9
12009,17.3,98.6,44.5
12011,17.4,96.1,51.4
12013,23.7,97.6,38.9
12015,27.1,98.5,48.9
12017,20.7,98.4,45.1
12019,8.7,98.0,38.6
12021,33.4,95.6,44.7
12023,14.2,96.9,37.8
12027,21.7,94.2,40.8
12029,31.4,95.4,40.2
12031,13.0,97.8,41.6
12033,15.7,98.9,40.4
12035,21.6,98.4,45.7
12037,49.9,97.3,35.3
12039,12.0,96.5,41.8
12041,13.9,98.2,30.7
12043,38.5,96.7,39.7
12045,43.5,99.6,43.8
12047,21.5,96.3,38.9
12049,20.6,91.0,41.0
12051,17.5,91.9,35.9
12053,15.7,98.4,47.1
12055,25.5,97.2,43.9
12057,10.3,96.6,43.0
12059,19.1,97.9,51.6
12061,26.2,98.6,48.0
12063,19.1,96.7,39.9
12065,14.6,97.7,46.1
12067,32.0,94.8,25.2
12069,15.8,97.8,43.7
12071,31.0,97.5,43.0
12073,12.1,97.8,49.6
12075,22.2,97.7,39.9
12077,34.0,96.8,14.5
12079,21.3,95.5,47.4
12081,23.7,97.6,46.4
12083,19.0,98.4,41.1
12085,20.2,98.0,41.1
12086,14.9,93.8,56.3
12087,43.4,96.5,48.6
12089,18.1,98.7,42.6
12091,19.9,98.2,39.4
12093,28.3,95.4,39.4
12095,12.7,97.0,47.1
12097,31.1,96.5,50.7
12099,19.9,96.8,50.8
12101,17.5,98.3,43.9
12103,19.7,98.3,44.9
12105,21.5,96.3,41.3
12107,25.0,97.5,51.7
12109,16.5,99.2,44.5
12111,20.8,97.6,51.9
12113,12.4,97.8,36.1
12115,24.1,98.6,44.4
12117,13.6,98.3,42.0
12119,21.8,99.0,45.0
12121,20.4,96.9,29.6
12123,33.0,96.7,20.4
12125,13.4,97.8,26.0
12127,18.7,98.7,50.5
12129,16.0,97.7,32.9
12131,48.5,96.1,41.5
12133,21.0,97.8,42.0
13001,21.5,96.7,27.7
13003,19.0,98.3,34.4
13005,17.0,97.3,34.3
13007,25.4,94.8,39.2
13009,20.2,98.7,54.8
13011,15.3,97.4,44.3
13013,10.5,97.8,34.1
13015,8.1,97.3,38.0
13017,20.0,99.3,38.7
13019,17.3,98.3,36.7
13021,18.4,98.1,47.7
13023,21.8,98.7,41.5
13025,17.9,97.2,26.6
13027,18.4,95.5,35.9
13029,7.9,98.6,46.2
13031,12.6,97.6,50.6
13033,19.0,97.4,42.2
13035,13.9,98.9,48.1
13037,22.4,97.9,36.0
13039,12.8,97.8,35.8
13043,14.5,94.7,54.5
13045,8.8,97.8,36.9
13047,8.8,98.7,32.3
13049,21.3,99.4,29.6
13051,13.1,98.0,42.2
13053,25.2,98.0,41.1
13055,15.6,92.8,23.6
13057,5.4,98.3,35.1
13059,11.5,97.6,51.7
13061,41.4,98.3,58.8
13063,12.8,96.6,45.3
13065,14.2,96.8,39.5
13067,7.1,98.1,37.7
13069,16.6,97.7,38.0
13071,15.7,96.2,44.3
13073,16.6,99.0,34.6
13075,17.5,98.8,38.6
13077,4.5,98.0,39.1
13079,11.7,96.9,26.2
13081,22.9,97.2,49.1
13083,17.0,97.8,46.7
13085,21.6,98.0,40.2
13087,15.5,92.3,37.3
13089,11.1,97.4,42.9
13091,20.0,97.9,33.5
13093,17.4,97.9,45.1
13095,14.4,97.0,44.8
13097,7.2,98.0,38.8
13099,18.9,94.1,35.9
13101,13.0,96.7,46.5
13103,8.9,97.7,37.2
13105,19.4,98.4,46.8
13107,15.6,96.7,39.6
13109,14.7,97.2,35.4
13111,39.6,98.9,34.8
13113,5.1,98.9,35.6
13115,12.2,97.4,38.5
13117,5.7,98.9,36.4
13119,21.3,97.9,36.5
13121,14.1,98.3,40.7
13123,32.1,97.5,39.2
13125,28.7,95.4,33.2
13127,21.5,97.6,38.3
13129,10.9,96.8,35.0
13131,15.9,96.9,46.3
13133,26.8,98.7,45.6
13135,6.3,97.1,42.9
13137,17.6,96.4,39.4
13139,11.0,94.8,38.0
13141,44.6,99.4,54.8
13143,10.9,97.9,35.5
13145,12.9,98.7,37.9
13147,24.7,98.9,42.0
13149,15.5,95.4,37.6
13151,7.9,98.7,37.6
13153,10.2,97.0,39.2
13155,18.2,99.3,42.6
13157,10.9,98.6,42.8
13159,19.6,96.5,36.1
13161,19.8,95.5,38.9
13163,20.4,97.5,45.1
13165,26.1,95.6,49.9
13167,20.5,97.3,50.5
13169,11.1,99.1,42.3
13171,17.1,98.8,45.5
13173,14.6,99.5,47.5
13175,18.8,97.6,44.2
13177,5.4,99.1,31.3
13179,16.6,98.1,40.4
13181,29.2,97.4,26.8
13183,17.5,98.1,44.8
13185,13.0,97.3,42.7
13187,14.3,98.7,53.6
13189,12.6,97.4,48.2
13191,39.6,98.5,45.9
13193,24.3,97.9,53.0
13195,11.4,97.3,41.2
13197,22.0,97.8,31.0
13199,18.8,97.5,55.0
13201,15.8,95.0,57.8
13205,11.6,97.2,36.9
13207,12.6,97.9,40.2
13209,22.2,97.8,30.0
13211,11.9,98.0,24.7
13213,11.6,96.3,33.4
13215,13.0,97.8,43.5
13217,7.5,98.1,43.5
13219,5.9,98.2,35.3
13221,14.5,98.7,39.7
13223,5.5,98.4,38.8
13225,11.6,98.3,44.3
13227,17.8,98.4,32.3
13229,13.8,98.5,46.7
13231,13.3,97.8,32.2
13233,12.0,96.0,40.0
13235,18.8,96.8,42.8
13237,33.3,99.1,48.4
13239,52.8,98.3,58.4
13241,48.2,97.7,42.9
13243,22.5,98.2,30.2
13245,17.5,97.9,46.3
13247,10.4,97.5,43.6
13249,12.3,97.7,38.6
13251,21.8,96.8,41.0
13253,30.6,94.2,49.1
13255,13.6,97.7,44.8
13257,25.3,97.0,47.0
13259,24.4,98.9,65.5
13261,14.5,97.1,51.4
13263,17.8,96.9,31.7
13265,34.9,97.5,33.3
13267,19.4,95.2,29.1
13269,22.4,95.9,38.3
13271,28.8,98.5,35.2
13273,21.2,97.5,52.3
13275,16.0,97.4,44.9
13277,9.7,97.7,37.1
13279,13.6,95.0,36.1
13281,43.0,98.8,45.7
13283,21.2,98.6,29.8
13285,13.0,98.5,42.4
13287,20.5,94.5,52.9
13289,30.6,99.5,49.7
13291,39.0,99.4,35.7
13293,15.5,97.5,39.2
13295,15.6,96.7,37.0
13297,7.7,98.5,46.0
13299,16.0,98.5,38.5
13301,23.5,98.5,41.4
13303,19.5,96.8,43.6
13305,15.3,97.5,38.9
13307,24.6,99.5,18.6
13309,24.7,97.2,42.9
13311,30.4,98.7,41.2
13313,11.2,93.7,33.8
13315,24.0,97.8,51.0
13317,23.2,99.7,41.0
13319,26.5,97.9,46.3
13321,15.2,99.1,50.5
15001,22.3,93.6,46.0
15003,10.1,90.6,48.7
15005,44.2,100.0,14.3
15007,26.3,92.2,36.5
15009,24.6,89.3,38.4
16001,4.6,98.6,39.4
16003,35.0,97.0,31.8
16005,9.1,97.5,39.4
16007,42.8,98.1,29.9
16009,25.5,95.0,39.7
16011,9.7,96.4,30.4
16013,45.9,99.0,34.6
16015,44.8,99.3,26.0
16017,29.6,97.8,42.2
16019,7.7,96.7,37.9
16021,16.2,97.0,29.6
16023,21.6,99.2,21.7
16025,54.3,96.8,42.9
16027,5.4,95.9,36.8
16029,22.5,97.1,23.4
16031,9.2,95.9,32.7
16033,43.4,89.1,30.3
16035,18.6,98.6,35.4
16037,42.1,96.9,48.6
16039,18.8,97.3,33.0
16041,9.3,96.2,29.9
16043,50.3,96.0,29.3
16045,11.4,97.3,34.2
16047,10.0,93.9,31.2
16049,26.0,96.0,27.4
16051,7.0,96.9,29.3
16053,7.8,94.8,30.7
16055,13.3,98.1,37.9
16057,7.1,98.2,49.4
16059,23.3,97.2,41.1
16061,14.8,97.5,32.4
16063,19.3,94.8,21.9
16065,20.0,90.8,63.2
16067,7.4,96.3,25.2
16069,7.8,97.8,36.6
16071,19.6,96.5,22.9
16073,13.7,95.8,41.6
16075,7.5,95.0,30.7
16077,15.0,97.7,12.3
16079,20.9,97.6,35.5
16081,32.9,98.1,23.2
16083,7.3,97.5,37.6
16085,70.8,97.7,37.0
16087,13.9,97.3,48.3
17001,9.0,99.1,37.3
17003,39.0,97.7,32.3
17005,15.0,96.4,30.9
17007,6.7,96.9,29.6
17009,15.7,98.1,17.4
17011,12.0,99.0,31.3
17013,34.5,97.8,43.9
17015,22.3,98.9,27.4
17017,11.5,97.8,30.5
17019,10.3,95.3,47.0
17021,10.9,98.9,33.7
17023,12.6,98.2,28.4
17025,12.3,96.5,23.4
17027,9.7,99.1,30.7
17029,10.8,98.9,47.0
17031,10.4,96.5,42.2
17033,11.8,98.5,33.5
17035,12.2,98.0,25.7
17037,9.0,97.3,42.4
17039,11.4,98.1,35.6
17041,10.1,97.7,34.9
17043,5.0,97.6,37.4
