cfips,pct_housing_vacant,pct_housing_occupant_ratio_lt1,pct_housing_grapi_gt35
01001,8.9,98.9,39.9
01003,29.1,98.7,37.4
01005,22.2,96.1,40.9
01007,25.0,98.9,40.5
01009,14.3,98.2,34.4
01011,22.7,100.0,45.5
01013,35.5,98.5,33.2
01015,16.8,98.3,37.5
01017,20.8,94.7,31.8
01019,35.2,98.7,33.7
01021,14.4,97.0,31.9
01023,28.0,99.2,52.1
01025,28.9,98.4,32.0
01027,23.5,99.1,22.8
01029,17.0,99.2,28.5
01031,14.1,98.2,32.8
01033,17.7,99.4,41.8
01035,36.6,99.6,28.5
01037,38.8,97.2,26.0
01039,21.7,97.9,36.9
01041,27.5,99.1,27.7
01043,18.0,98.1,33.0
01045,18.6,98.5,30.3
01047,22.1,98.1,47.5
01049,16.8,97.1,32.6
01051,13.0,98.4,39.5
01053,21.1,98.2,37.0
01055,18.4,98.7,38.5
01057,20.0,98.8,36.8
01059,21.4,96.5,28.1
01061,19.3,98.3,32.8
01063,42.3,97.8,65.8
01065,27.5,96.1,55.5
01067,27.6,99.5,40.1
01069,17.2,98.7,38.7
01071,17.4,97.4,28.9
01073,15.2,98.6,41.2
01075,20.9,98.2,47.2
01077,14.5,98.7,33.6
01079,17.1,98.3,27.2
01081,12.7,96.8,45.7
01083,10.9,97.9,32.9
01085,18.6,97.9,70.9
01087,27.4,98.6,43.1
01089,8.3,98.7,36.3
01091,28.9,99.6,47.9
01093,18.6,98.3,30.4
01095,14.1,98.2,35.6
01097,14.9,98.0,44.0
01099,28.5,99.6,43.4
01101,14.5,98.0,43.4
01103,11.8,97.7,35.1
01105,35.2,100.0,46.8
01107,20.3,98.7,39.3
01109,28.0,98.8,50.9
01111,28.1,97.2,36.8
01113,16.0,97.7,40.4
01115,12.7,98.6,29.2
01117,8.5,99.1,31.9
01119,24.3,99.6,54.6
01121,17.1,98.8,38.0
01123,27.7,97.2,42.3
01125,20.0,98.4,43.8
01127,19.7,98.2,40.5
01129,30.0,97.4,24.0
01131,33.3,98.6,31.9
01133,29.8,99.0,26.4
02013,21.8,97.3,31.9
02016,40.1,89.4,17.7
02020,9.2,95.3,35.6
02050,25.5,65.6,27.5
02060,67.0,96.5,14.7
02068,60.0,97.1,8.7
02070,41.9,77.4,24.4
02090,18.1,94.0,36.8
02100,40.4,89.4,19.0
02105,51.9,95.8,22.7
02110,7.5,96.7,32.9
02122,30.8,94.9,36.5
02130,15.7,95.5,44.0
02150,21.4,91.1,32.4
02158,22.7,53.2,22.3
02164,71.5,93.3,6.8
02170,25.3,94.9,42.2
02180,30.8,70.1,27.9
02185,24.4,69.7,21.5
02188,34.6,65.9,22.1
02195,33.4,97.1,39.0
02198,30.9,94.2,30.3
02220,16.0,97.7,37.7
02230,37.6,94.4,13.5
02240,44.4,92.6,26.4
02261,48.6,95.8,22.1
02275,32.1,98.1,35.8
02282,47.6,90.9,16.1
02290,54.6,84.4,28.5
04001,36.6,87.8,18.7
04003,17.9,97.5,36.2
