cfips,total_population,old_age_dependency_ratio,child_dependency_ratio,median_age,sex_ratio
01001,55639,25.0,38.6,38.6,94.6
01003,218289,35.3,37.1,43.2,94.2
01005,25026,31.8,34.8,40.1,110.8
01007,22374,26.0,32.5,39.9,116.1
01009,57755,30.5,39.3,41.0,98.6
01011,10173,26.2,36.4,39.7,121.4
01013,19726,36.4,39.2,41.2,84.8
01015,114324,29.2,35.7,39.5,92.5
01017,33427,32.7,34.8,41.9,91.0
01019,26035,39.6,33.2,46.8,97.8
01021,44147,27.9,40.2,39.5,95.1
01023,12755,40.6,35.1,46.6,89.7
01025,23866,34.0,37.0,42.9,90.7
01027,13285,34.5,34.9,43.4,92.9
01029,14952,36.1,39.6,43.1,94.6
01031,52238,28.6,39.8,39.5,97.7
01033,54957,33.5,35.3,42.5,92.8
01035,12219,40.2,36.9,45.2,94.9
01037,10696,38.8,27.4,49.0,105.8
01039,37096,37.1,38.1,43.3,94.6
01041,13826,33.0,38.2,42.3,91.0
01043,83345,31.1,37.9,41.2,97.2
01045,49293,28.1,38.2,37.8,97.0
01047,38184,31.1,41.7,39.6,85.5
01049,71430,28.9,41.4,39.6,97.7
01051,81526,24.9,35.8,38.7,93.5
01053,36775,30.3,37.6,39.4,103.3
01055,102721,32.0,36.2,41.3,93.1
01057,16406,36.0,36.5,43.9,96.6
01059,31587,28.3,42.7,39.2,98.0
01061,26383,35.2,38.1,43.6,94.1
01063,8221,39.7,38.2,44.6,90.2
01065,14754,33.6,40.4,40.8,90.4
01067,17123,39.7,36.6,44.7,93.2
01069,105319,29.9,39.0,40.2,92.0
01071,51765,33.9,35.6,43.0,95.8
01073,658615,25.8,37.2,37.9,89.7
01075,13854,38.2,38.9,44.3,97.6
01077,92870,33.1,32.7,41.3,92.4
01079,32969,29.8,35.9,42.6,92.1
01081,163461,18.0,31.6,32.4,97.0
01083,96921,24.6,36.2,40.0,99.4
01085,9936,32.2,38.0,42.5,91.0
01087,18437,31.7,27.5,38.7,83.6
01089,367686,23.8,34.6,38.5,95.5
01091,19138,34.6,40.8,41.8,88.6
01093,29818,36.6,36.0,44.5,98.0
01095,96137,29.7,43.2,39.2,97.5
01097,413977,26.9,38.9,38.1,90.9
01099,21006,34.4,37.3,43.5,92.5
01101,226451,24.5,38.2,36.7,89.1
01103,119352,29.3,38.5,40.5,97.2
01105,9104,32.9,35.7,38.5,91.3
01107,20049,30.8,32.1,42.5,91.4
01109,33274,23.4,28.7,30.8,92.7
01111,22732,35.5,36.4,43.6,94.3
01113,57938,23.2,39.2,36.7,92.3
01115,88929,27.6,37.3,40.5,99.1
01117,216350,25.1,38.3,39.5,93.6
01119,12595,29.2,30.8,35.7,83.8
01121,80244,29.2,34.7,41.4,93.2
01123,40450,36.9,35.8,45.0,94.3
01125,208854,20.2,31.9,33.2,92.8
01127,63802,33.2,37.9,42.0,96.5
01129,16336,33.5,36.1,43.8,98.1
01131,10552,34.4,42.0,40.9,85.7
01133,23712,37.8,35.3,46.1,96.5
02013,3389,14.9,17.3,44.1,136.5
02016,5708,10.1,23.9,39.7,176.4
02020,292090,17.1,37.6,33.9,104.1
02050,18263,13.0,62.5,28.1,107.5
02060,739,16.9,28.0,44.8,127.4
02063,6495,20.6,32.7,39.2,122.3
02066,2894,20.5,46.5,39.7,90.4
02068,2502,13.2,13.1,43.8,118.7
02070,4934,19.6,54.4,30.2,105.0
02090,98455,15.9,36.8,31.5,117.1
02100,2547,53.0,77.9,40.9,125.0
02105,2135,35.1,20.1,52.1,116.5
02110,32099,21.0,32.8,38.5,105.4
02122,58809,28.9,37.4,40.9,108.4
02130,13833,24.4,34.5,40.0,106.4
02150,13383,16.4,39.2,34.7,114.5
02158,8298,10.8,75.5,24.1,117.6
02164,1156,16.5,40.1,32.9,84.7
02170,107360,19.5,43.6,35.5,108.1
02180,10009,13.4,60.0,28.4,110.3
02185,9375,10.8,39.9,34.2,153.8
02188,7709,13.6,62.8,28.5,121.1
02195,3278,48.3,30.5,48.8,102.6
02198,6338,29.1,38.4,42.1,120.9
02220,8569,25.9,34.1,39.1,105.9
02230,1300,17.6,18.9,40.9,101.6
02240,6911,23.9,44.9,36.8,119.6
02275,2510,41.1,37.3,47.8,117.5
02282,597,22.3,36.1,36.3,145.7
02290,5305,26.1,48.7,35.3,109.4
04001,71714,26.8,46.5,35.4,97.4
04003,126442,39.5,38.2,41.0,103.7
04005,142254,18.8,30.5,31.0,97.2
04007,53846,56.4,38.7,50.4,98.1
04009,38304,23.4,45.2,33.7,114.6
04011,9465,21.3,45.6,35.7,115.0
04012,21035,90.0,36.3,57.4,104.5
04013,4412779,24.9,39.1,36.6,97.8
04015,210998,57.9,32.5,52.3,101.8
04017,110271,32.6,47.7,38.2,100.5
04019,1038476,33.3,35.1,38.7,96.8
04021,447559,36.1,39.7,39.8,108.0
04023,46594,32.5,49.3,37.2,92.9
04025,232396,60.6,31.0,54.1,95.5
04027,211931,34.2,45.2,34.8,106.4
05001,17761,33.1,39.5,41.0,91.7
05003,20000,36.1,40.3,42.3,93.4
05005,41673,60.7,33.9,52.3,94.4
05007,273510,22.3,43.6,35.5,99.0
05009,37525,37.0,40.3,42.9,97.3
05011,10805,32.1,42.2,40.3,89.5
05013,5160,35.2,31.1,45.3,100.1
05015,28062,41.7,39.7,44.8,99.2
05017,10433,36.4,38.7,43.4,98.1
05019,22341,25.6,29.4,32.6,90.1
05021,14710,37.3,37.5,42.7,96.9
05023,25063,49.5,35.1,49.5,99.8
05025,8063,36.2,39.8,42.5,90.3
05027,23620,27.9,33.4,35.5,92.5
05029,20895,33.1,39.3,42.7,97.2
05031,109081,22.3,40.2,34.4,95.4
05033,63118,28.6,41.7,39.2,97.2
05035,48381,23.5,46.2,35.3,90.7
05037,16576,32.0,41.3,40.7,92.9
05039,7114,41.4,38.3,45.1,94.4
05041,11538,33.7,46.2,40.8,85.2
05043,18263,29.8,36.1,37.3,94.8
05045,124800,19.4,35.9,33.3,94.6
05047,17785,34.8,40.0,41.8,98.9
05049,12301,48.9,39.0,48.7,96.0
