cfips,total_population,old_age_dependency_ratio,child_dependency_ratio,median_age,sex_ratio
05065,13570,43.7,31.2,47.9,108.7
05067,17027,28.2,32.4,39.7,98.0
05069,69282,27.4,36.1,38.7,97.9
05071,26372,27.3,40.6,38.4,96.7
05073,6800,40.6,34.0,47.0,102.4
05075,16549,33.3,38.8,40.8,98.5
05077,9194,29.9,28.9,42.5,131.4
05079,13455,21.6,21.6,39.0,177.8
05081,12347,36.1,38.8,42.9,93.5
05083,21668,33.9,37.5,42.0,97.1
05085,72528,21.6,42.5,36.2,96.9
05087,16211,32.8,40.9,42.7,98.3
05089,16476,52.1,33.4,52.2,93.4
05091,43572,27.4,39.8,39.5,96.2
05093,42126,24.4,44.5,36.6,94.2
05095,7050,40.6,37.3,47.3,88.4
05097,8950,49.0,33.6,50.4,100.1
05099,8351,35.6,39.9,44.3,103.0
05101,7812,46.6,36.1,49.0,98.1
05103,23830,34.1,39.6,43.0,91.3
05105,10355,34.6,39.0,43.7,99.8
05107,18606,32.4,46.0,38.9,88.5
05109,10756,34.7,37.4,43.1,97.6
05111,23896,30.5,40.8,40.1,95.0
05113,20094,41.3,42.8,43.9,93.7
05115,63761,24.7,37.0,35.3,96.6
05117,8189,41.4,35.5,47.2,100.0
05119,392967,24.3,37.8,37.2,91.6
05121,17695,35.2,41.4,41.1,99.8
05123,25900,26.5,37.8,38.8,119.4
05125,119415,29.7,39.7,39.6,96.3
05127,10376,38.5,47.3,40.7,104.9
05129,7908,46.4,36.9,47.9,102.3
05131,127591,25.9,40.1,37.6,95.5
05133,17081,24.2,49.8,35.3,101.0
05135,17139,48.8,39.9,47.6,96.1
05137,12475,49.7,36.3,50.1,98.5
05139,39449,29.4,41.2,40.3,93.9
05141,16642,47.0,36.4,48.0,97.5
05143,232289,17.8,38.3,32.0,99.6
05145,78762,26.7,38.7,36.9,95.5
05147,6533,40.6,38.5,45.5,85.2
05149,21464,30.0,42.0,40.3,100.4
06001,1656754,20.6,31.6,37.6,96.7
06003,1039,59.0,38.1,52.2,114.2
06005,38429,45.9,26.2,50.5,116.0
06007,225817,29.1,32.5,37.1,97.9
06009,45514,49.7,31.0,52.0,99.2
06011,21454,24.6,46.6,35.3,105.1
06013,1142251,24.9,37.0,39.7,95.7
06015,27495,28.1,35.1,39.5,115.6
06017,188563,34.4,33.8,45.9,99.2
06019,984521,20.1,47.9,32.2,99.5
06021,27976,27.8,46.7,36.4,103.3
06023,135940,27.3,30.3,38.4,98.8
06025,180701,21.5,48.9,32.4,105.5
06027,17977,39.9,35.1,45.8,101.6
06029,887641,17.7,48.3,31.6,105.1
06031,150691,15.9,43.4,31.8,122.6
06033,64195,39.3,36.8,45.6,98.6
06035,30818,20.1,21.1,36.6,193.9
06037,10081570,20.5,33.9,36.5,97.2
06039,155433,23.5,47.0,34.1,93.2
06041,259943,37.2,34.8,46.8,95.5
06043,17420,48.9,29.0,51.7,103.8
06045,87224,37.1,37.4,43.1,98.3
06047,271382,18.6,50.0,31.1,101.9
06049,8907,50.5,36.9,47.8,108.1
06051,14310,21.4,27.9,37.7,114.3
06053,433410,21.8,43.4,34.4,104.0
06055,139623,30.7,34.6,41.3,99.4
06057,99244,47.0,30.6,50.5,97.3
06059,3168044,22.7,35.1,38.1,97.5
06061,385512,32.7,38.3,42.0,95.3
06063,18660,48.1,29.7,52.3,99.0
06065,2411439,23.4,42.2,35.6,99.2
06067,1524553,22.0,38.2,36.2,95.6
06069,60376,20.3,42.2,35.7,99.8
06071,2149031,18.1,42.8,33.3,99.1
06073,3316073,21.2,33.8,35.8,101.4
06075,874961,21.7,18.9,38.2,104.1
06077,742603,20.8,45.4,34.3,99.4
06079,282165,31.0,28.3,39.2,102.8
06081,767423,24.8,32.7,39.7,97.7
06083,444829,23.9,35.5,33.8,100.2
06085,1927470,20.4,34.4,37.1,102.2
