cfips,pct_with_scieng_degree,pct_with_libarts_degree,pct_with_business_degree
01001,27.4,22.1,23.5
01003,26.4,21.1,22.8
01005,19.9,16.4,21.3
01007,23.3,21.9,25.8
01009,21.3,21.3,15.7
01011,29.2,19.3,19.0
01013,17.6,19.0,25.4
01015,22.3,24.0,20.1
01017,24.4,18.9,22.3
01019,24.4,12.5,16.9
01021,25.9,21.6,25.1
01023,18.9,20.0,12.0
01025,19.9,13.9,19.2
01027,23.4,27.0,13.1
01029,18.7,18.0,17.1
01031,24.4,24.7,18.7
01033,21.9,17.9,22.6
01035,22.9,21.5,18.8
01037,22.3,21.6,22.6
01039,30.1,12.9,22.5
01041,22.3,16.4,26.7
01043,22.1,17.0,21.6
01045,27.8,21.7,23.2
01047,20.0,19.6,28.9
01049,23.2,14.0,17.4
01051,28.2,18.9,25.4
01053,14.8,20.8,22.6
01055,20.2,18.9,20.2
01057,26.5,16.0,19.4
01059,22.5,16.2,17.8
01061,29.3,14.0,20.6
01063,11.8,15.4,33.6
01065,27.6,16.7,17.3
01067,22.0,12.5,23.4
01069,27.8,19.3,21.7
01071,28.3,9.8,19.5
01073,28.3,22.2,25.6
01075,22.4,10.7,27.6
01077,28.1,21.1,20.5
01079,24.8,15.8,16.9
01081,34.5,20.5,19.7
01083,32.5,17.1,25.0
01085,33.9,12.6,25.0
01087,31.6,19.7,16.4
01089,42.6,16.5,22.8
01091,28.4,17.0,20.2
01093,16.1,15.9,26.0
01095,27.3,15.5,22.4
01097,28.4,19.5,23.0
01099,17.2,13.1,19.7
01101,29.9,22.9,25.4
01103,29.6,18.3,22.3
01105,12.2,21.5,30.8
01107,20.6,11.2,25.3
01109,24.2,26.9,23.3
01111,20.6,13.6,23.6
01113,24.0,20.3,26.7
01115,30.3,19.4,22.9
01117,27.2,19.5,29.0
01119,20.2,22.3,21.3
01121,20.7,22.9,23.9
01123,22.8,17.5,24.3
01125,29.0,23.6,19.3
01127,21.5,19.3,18.5
01129,28.7,17.5,17.7
01131,20.8,14.2,29.8
01133,24.4,17.9,17.1
02013,23.9,14.3,23.6
02016,45.2,16.9,24.2
02020,38.5,23.1,16.9
02050,23.5,21.7,8.3
02060,32.2,25.9,10.5
02068,34.7,22.9,14.1
02070,40.4,11.1,5.5
02090,43.3,25.0,11.7
02100,49.4,13.3,7.7
02105,33.4,22.5,7.1
02110,41.8,26.1,14.4
02122,36.0,22.1,11.5
02130,33.9,21.3,17.9
02150,35.1,22.5,14.4
02158,21.7,32.5,9.6
02164,14.9,21.6,4.7
02170,31.7,24.9,14.5
02180,32.5,23.6,6.3
02185,44.6,20.1,12.8
02188,29.3,19.4,14.5
02195,38.4,21.5,15.1
02198,36.1,17.1,15.6
02220,44.1,17.9,7.3
02230,38.1,27.2,24.1
02240,40.2,18.2,7.1
02261,33.8,23.4,7.5
02275,47.1,18.4,9.4
02282,36.0,47.0,4.0
02290,31.6,22.6,7.3
04001,27.0,12.9,14.0
04003,34.4,25.8,16.6
04005,37.3,25.7,12.5
04007,31.2,18.6,17.7
04009,31.4,17.5,12.4
04011,40.6,10.9,19.1
04012,24.9,11.3,17.7
04013,32.7,20.8,23.5
04015,28.8,19.9,18.4
04017,28.4,20.9,12.7
04019,37.7,22.3,16.9
04021,32.2,18.0,21.9
04023,34.5,15.0,23.3
04025,32.4,24.4,15.8
04027,30.0,20.8,18.2
