cfips,pct_with_scieng_degree,pct_with_libarts_degree,pct_with_business_degree
06049,40.0,30.1,6.6
06051,45.2,19.0,17.3
06053,39.7,28.9,14.1
06055,37.3,27.8,18.0
06057,37.8,28.7,13.6
06059,40.1,23.5,22.0
06061,36.9,25.3,20.6
06063,40.9,25.6,9.5
06065,33.5,24.7,21.5
06067,39.8,26.5,18.8
06069,38.9,29.5,15.3
06071,34.9,24.1,20.6
06073,42.3,23.2,19.3
06075,45.8,28.4,17.1
06077,34.1,25.2,18.7
06079,41.8,26.1,13.2
06081,48.0,20.9,19.1
06083,44.5,27.6,13.5
06085,57.3,16.3,15.4
06087,47.8,28.4,10.6
06089,36.2,28.2,14.8
06091,38.3,25.7,11.9
06093,41.0,25.1,11.2
06095,34.4,24.3,20.5
06097,40.2,31.0,14.6
06099,34.4,26.0,18.3
06101,37.1,25.0,17.5
06103,40.3,27.5,12.5
06105,37.4,25.1,9.3
06107,32.8,26.6,17.3
06109,40.7,23.0,16.8
06111,40.3,25.4,18.7
06113,53.9,24.3,9.6
06115,35.0,29.1,15.1
08001,35.9,23.1,22.4
08003,33.5,23.0,17.8
08005,36.8,23.5,22.4
08007,38.4,19.1,16.3
08009,32.9,9.9,20.1
08011,31.9,13.8,18.1
08013,48.7,24.8,12.8
08014,42.8,19.6,21.7
08015,34.6,24.1,14.5
08017,33.6,14.2,19.4
08019,40.1,21.8,20.2
08021,27.9,15.2,16.7
08023,34.4,20.8,12.5
08025,45.4,11.8,8.9
08027,43.3,28.2,4.5
08029,33.3,22.4,14.1
08031,38.2,27.7,20.5
08033,24.7,30.7,22.3
08035,38.2,20.2,25.7
08037,31.1,30.1,20.3
08039,37.5,19.3,24.9
08041,38.3,23.3,19.2
08043,32.7,19.8,14.0
08045,33.7,25.9,17.8
08047,31.0,32.3,25.9
08049,36.6,26.1,20.6
08051,38.6,27.1,19.2
08053,27.4,23.3,28.0
08055,39.6,17.7,18.4
08057,36.2,17.2,20.2
08059,40.6,22.2,19.6
08061,38.2,18.6,15.2
08063,31.2,15.6,20.0
08065,31.1,32.5,13.5
08067,37.9,22.3,16.8
08069,42.3,23.9,14.5
08071,33.6,20.3,10.8
08073,42.3,15.6,11.9
08075,26.1,16.1,18.7
08077,35.5,20.8,19.2
08079,35.0,43.4,10.8
08081,31.5,23.2,12.0
08083,44.8,18.3,11.5
08085,37.4,20.1,15.9
08087,32.6,19.7,14.3
08089,32.6,20.2,16.3
08091,41.1,20.2,14.6
08093,39.7,18.6,23.4
08095,29.1,24.8,15.4
08097,32.9,26.8,23.1
08099,34.7,17.8,12.8
08101,32.7,20.3,19.3
08103,29.4,32.6,14.0
08105,34.3,18.2,15.5
08107,37.2,21.4,22.0
08109,40.0,30.6,16.2
08111,36.3,40.6,16.3
08113,38.6,28.0,16.5
08115,37.4,14.4,12.5
08117,36.5,24.5,18.5
08119,37.4,17.7,20.0
08121,33.9,12.7,12.5
08123,35.4,22.3,18.6
08125,31.6,12.8,18.6
09001,36.1,24.6,23.4
09003,37.7,23.5,19.7
09005,32.2,29.0,15.8
09007,36.6,25.0,16.2
09009,35.3,25.0,18.7
09011,42.4,22.1,13.8
09013,37.4,21.4,19.3
09015,35.1,25.1,16.4
10001,30.6,19.5,22.4
10003,37.7,19.0,22.5
10005,31.2,18.4,20.0
11001,47.3,30.6,13.3
12001,43.1,21.8,13.0
12003,30.3,15.0,20.0
12005,34.7,20.7,19.0
12007,23.1,13.7,26.4
12009,38.1,18.6,19.7
12011,31.3,20.2,26.7
12013,18.9,19.0,10.0
12015,31.4,17.9,20.2
12017,29.5,16.8,18.9
12019,25.9,20.5,27.9
12021,31.5,19.0,24.5
12023,28.1,18.3,17.7
12027,26.8,21.0,20.3
12029,12.2,16.0,12.9
12031,31.3,20.8,24.8
12033,31.5,23.2,20.4
12035,29.9,18.1,19.0
12037,30.8,25.0,15.0
12039,32.2,22.8,16.2
12041,27.6,23.3,12.6
12043,29.1,17.1,17.7
12045,24.7,19.9,18.7
12047,24.5,21.0,17.7
12049,20.5,16.2,29.6
12051,30.8,18.1,19.0
12053,29.2,20.7,20.7
12055,27.6,15.6,19.5
12057,33.9,19.3,25.3
12059,23.5,12.2,26.0
12061,31.1,19.4,22.7
12063,24.5,25.0,14.0
12065,31.7,22.3,16.0
12067,17.5,10.4,26.4
12069,26.3,20.8,22.1
12071,29.6,19.0,23.4
12073,37.0,26.5,17.1
12075,39.9,18.2,12.1
12077,23.3,19.7,12.6
12079,29.0,23.7,12.4
12081,30.1,20.2,23.2
12083,28.7,19.2,20.2
12085,33.3,21.2,21.7
12086,32.1,18.5,26.8
12087,34.6,20.9,23.6
12089,32.7,20.9,21.9
12091,32.0,20.8,23.3
12093,22.0,17.4,18.8
12095,31.7,21.8,26.5
12097,28.8,20.4,25.2
12099,30.9,20.4,25.7
12101,28.7,18.7,25.0
12103,31.2,20.7,24.2
12105,27.2,19.3,24.9
12107,32.0,18.6,18.8
12109,33.1,20.5,25.4
12111,27.3,20.3,22.4
12113,30.6,20.0,21.8
12115,32.5,21.2,20.6
12117,32.0,20.3,26.6
12119,27.5,15.6,23.1
12121,30.6,18.9,22.7
12123,34.9,28.0,19.7
12125,28.9,24.0,14.4
12127,28.5,20.9,22.9
12129,31.7,24.9,17.5
12131,29.1,20.2,25.5
12133,27.5,22.2,11.3
13001,30.8,13.2,11.5
13003,17.7,17.3,15.6
13005,25.1,14.6,14.7
13007,27.5,10.2,21.5
13009,24.2,26.1,21.6
13011,30.5,11.0,19.9
13013,27.4,16.2,27.6
13015,25.6,20.4,23.5
13017,22.5,19.1,23.0
13019,19.5,20.3,28.3
13021,30.2,21.2,20.0
13023,27.3,13.9,15.4
13025,21.7,12.1,8.8
13027,42.8,10.2,17.4
13029,30.7,21.0,24.3
13031,30.5,25.7,17.0
13033,33.4,15.3,12.2
13035,20.9,25.0,24.8
13037,26.5,31.4,11.7
13039,27.3,21.3,21.1
13043,26.1,23.4,22.0
