cfips,pct_with_scieng_degree,pct_with_libarts_degree,pct_with_business_degree
01001,29.4,23.9,24.7
01003,27.3,20.0,22.4
01005,22.9,18.8,17.8
01007,22.6,20.6,23.1
01009,22.9,20.6,17.6
01011,13.1,32.3,25.1
01013,20.9,17.2,25.1
01015,23.5,24.9,18.1
01017,27.1,18.3,22.5
01019,20.6,14.3,18.2
01021,20.8,20.6,25.9
01023,23.6,22.5,14.6
01025,16.6,19.6,17.4
01027,16.3,18.8,17.7
01029,17.7,14.4,15.0
01031,23.6,24.1,21.5
01033,22.5,14.9,21.3
01035,15.0,17.6,26.0
01037,25.9,18.8,19.7
01039,28.3,13.4,20.6
01041,20.2,18.8,25.2
01043,26.9,17.3,17.9
01045,31.6,21.2,22.1
01047,23.8,17.3,25.4
01049,23.0,14.2,18.3
01051,25.9,20.0,27.0
01053,16.5,21.7,20.3
01055,22.6,17.9,20.5
01057,19.6,14.5,24.0
01059,24.2,19.2,17.2
01061,24.7,15.8,22.8
01063,20.1,7.7,25.2
01065,20.5,17.1,16.4
01067,27.3,9.7,18.6
01069,27.9,17.7,22.9
01071,28.8,11.6,19.6
01073,28.6,22.3,25.6
01075,30.2,10.4,21.3
01077,29.1,21.4,19.1
01079,30.0,9.4,19.3
01081,33.1,20.6,19.1
01083,33.3,16.1,25.0
01085,37.4,12.3,18.4
01087,30.9,17.0,18.0
01089,42.6,16.9,22.8
01091,28.7,13.6,21.7
01093,19.5,18.3,22.6
01095,26.3,16.1,23.6
01097,28.5,17.7,23.3
01099,18.9,17.1,15.5
01101,29.6,22.4,25.7
01103,32.2,18.7,20.3
01105,11.2,17.5,28.7
01107,24.3,12.4,24.8
01109,24.2,24.3,21.2
01111,19.0,19.0,23.5
01113,23.3,20.0,26.4
01115,32.3,14.8,23.7
01117,27.1,20.5,28.1
01119,19.0,23.6,24.0
01121,21.4,20.2,22.3
01123,22.3,16.1,26.0
01125,28.3,23.8,19.8
01127,20.1,19.2,16.9
01129,25.5,23.2,22.2
01131,16.9,21.4,23.2
01133,21.7,15.3,19.4
02013,26.3,17.4,24.9
02016,38.5,13.9,26.7
02020,37.9,22.8,17.3
02050,32.1,19.4,7.1
02060,32.6,25.0,10.6
02068,34.9,24.9,16.0
02070,35.9,19.6,9.2
02090,42.1,22.1,12.8
02100,41.5,17.0,17.1
02105,56.5,11.6,5.5
02110,40.5,27.1,14.4
02122,34.7,22.5,11.7
02130,31.6,22.4,16.8
02150,31.0,20.9,12.4
02158,27.1,24.0,8.9
02164,14.3,20.6,5.6
02170,33.9,23.8,14.1
02180,35.4,22.4,8.9
02185,49.7,17.8,10.3
02188,40.6,22.2,12.9
02195,38.6,23.7,10.4
02198,32.2,21.9,11.6
02220,45.4,21.4,8.3
02230,30.7,35.6,24.7
02240,40.9,22.5,9.2
02261,33.3,29.6,8.9
02275,55.4,15.8,6.4
02282,41.5,46.8,1.1
02290,23.1,25.4,8.4
04001,28.9,15.8,12.6
04003,33.9,24.0,17.0
04005,37.7,25.9,12.5
04007,29.7,20.6,15.4
04009,25.4,17.2,15.3
04011,41.7,9.5,15.6
04012,29.5,18.5,19.5
04013,32.3,20.8,23.5
04015,27.0,19.7,17.9
04017,28.9,18.3,15.4
04019,37.7,21.8,17.5
04021,31.0,18.0,21.5
04023,31.6,15.4,27.6
04025,30.8,25.4,16.0
04027,28.9,21.9,18.0
05001,36.4,17.2,15.3
05003,31.6,9.2,13.5
05005,26.8,21.9,17.2
05007,32.2,17.8,27.7
05009,23.8,19.6,19.1
05011,17.0,21.3,15.2
05013,53.4,9.2,4.2
05015,30.5,19.6,16.2
05017,23.5,13.7,20.7
05019,24.3,21.2,25.0
05021,18.0,18.2,15.5
05023,24.8,14.8,16.8
05025,28.9,13.8,19.3
05027,28.6,11.6,24.5
05029,30.3,13.2,17.5
05031,28.0,18.0,21.7
05033,27.3,14.4,18.3
05035,21.8,19.8,20.4
05037,31.8,11.0,16.6
05039,22.5,24.9,16.1
05041,15.6,15.3,19.1
05043,24.6,17.2,17.9
05045,25.3,20.8,21.2
05047,26.1,28.2,18.4
05049,29.7,15.1,7.9
05051,28.5,19.9,19.6
05053,22.5,25.2,18.0
05055,20.2,13.6,24.1
05057,28.9,16.7,19.6
05059,24.7,20.2,16.9
05061,25.9,9.9,22.5
05063,25.1,22.3,16.0
05065,30.5,13.5,12.5
05067,26.6,14.1,24.5
05069,20.5,20.6,18.2
05071,30.5,16.1,17.9
05073,26.2,18.6,16.8
05075,16.5,17.3,16.2
05077,22.5,11.9,28.7
05079,13.3,25.6,14.1
05081,23.2,8.5,16.9
05083,25.7,22.7,17.4
05085,24.9,19.7,20.5
05087,23.9,16.7,12.6
05089,23.9,27.2,17.3
05091,25.4,18.8,22.0
05093,20.9,20.6,18.9
05095,19.0,20.7,19.4
05097,33.8,18.1,14.9
05099,17.1,19.5,11.3
05101,27.0,23.1,10.7
05103,27.3,16.5,22.7
05105,18.5,28.6,27.4
05107,19.5,17.5,25.1
05109,18.5,21.7,22.0
05111,24.9,16.4,16.3
05113,25.5,13.6,13.1
05115,30.8,17.8,20.2
05117,21.9,15.0,17.7
05119,31.3,23.1,21.2
05121,20.7,17.9,13.9
05123,28.0,20.5,17.8
05125,28.3,17.6,22.4
05127,34.3,12.3,5.1
05129,29.2,15.7,8.1
05131,27.2,17.2,23.0
05133,18.1,14.8,23.8
05135,28.3,14.4,19.4
05137,18.5,16.7,13.1
05139,23.8,16.6,22.0
05141,28.7,16.3,10.2
05143,33.3,22.5,22.1
05145,20.7,20.3,16.9
05147,27.3,16.2,27.5
05149,32.0,17.8,11.9
06001,48.7,24.3,15.5
06003,56.3,14.9,15.4
06005,36.4,30.5,14.2
06007,36.2,28.7,13.4
06009,36.2,23.9,19.0
06011,40.2,25.3,15.9
06013,42.4,23.9,20.0
06015,32.1,28.0,8.3
06017,40.3,25.9,17.8
06019,32.7,27.3,17.8
06021,40.4,26.2,11.3
06023,44.7,29.1,8.2
06025,31.5,26.4,16.2
06027,43.5,20.5,12.4
06029,36.1,24.5,18.4
06031,31.7,25.3,18.7
06033,39.2,24.8,12.8
06035,32.3,22.2,14.1
06037,36.3,30.9,19.0
06039,33.8,24.0,16.9
06041,40.2,31.7,15.7
06043,43.3,29.0,10.5
06045,40.5,32.4,10.0
06047,32.9,27.0,16.0
06049,40.8,28.6,6.0
06051,41.3,21.5,14.2
06053,38.7,28.9,14.6
06055,37.5,28.1,17.7
06057,38.3,28.0,12.9
06059,40.0,23.4,21.9
06061,36.3,24.8,21.4
06063,40.2,25.9,10.5
06065,33.3,24.5,22.1
06067,39.5,26.7,19.2
06069,40.9,27.7,15.0
06071,34.9,23.6,20.4
06073,42.2,23.3,19.2
06075,45.2,28.6,17.2
06077,34.3,24.7,19.6
06079,41.0,26.1,13.1
06081,47.1,21.1,19.3
06083,44.7,27.4,13.9
06085,56.8,16.4,15.8
06087,48.1,28.5,10.8
06089,36.1,28.7,14.3
06091,59.8,22.4,4.4
06093,39.3,26.7,11.6
06095,34.8,24.2,20.4
06097,40.1,30.6,14.7
06099,34.4,26.4,17.8
06101,36.4,25.9,17.7
06103,39.2,28.8,13.0
06105,34.7,27.6,10.4
06107,31.8,26.4,17.1
06109,41.1,24.6,14.5
06111,40.4,25.2,19.0
06113,53.5,24.6,9.8
06115,34.6,29.2,13.9
08001,35.8,23.1,22.1
08003,30.3,20.9,18.4
08005,36.6,23.1,22.8
08007,34.4,19.2,14.4
08009,36.0,10.8,17.6
08011,30.3,18.1,19.0
08013,49.0,24.6,12.9
08014,42.4,20.5,20.8
08015,36.0,24.8,14.0
08017,38.6,12.8,17.9
08019,40.1,22.9,21.4
08021,32.0,11.2,18.0
08023,33.6,17.2,10.5
08025,44.2,16.0,7.2
08027,49.6,22.1,8.8
08029,32.2,22.2,14.7
08031,37.4,28.0,20.7
08033,28.1,31.5,24.6
08035,37.3,19.6,27.1
08037,32.3,30.3,22.2
08039,38.2,19.5,24.7
08041,38.2,23.0,19.3
08043,33.4,19.6,13.4
08045,33.7,25.3,17.7
08047,28.6,31.6,26.5
08049,35.5,28.4,19.2
08051,33.6,28.2,20.6
08053,18.1,27.3,28.4
08055,46.7,17.9,13.3
08057,42.7,18.3,19.5
08059,40.5,22.0,19.8
08061,37.2,16.2,14.1
08063,26.5,13.3,23.7
08065,32.7,37.0,10.4
08067,37.7,22.1,18.5
08069,42.4,23.8,14.0
08071,33.4,21.9,10.0
08073,41.2,11.5,13.0
08075,26.3,12.9,18.7
08077,35.4,21.4,18.3
08079,30.5,44.6,14.4
08081,30.8,26.6,11.1
08083,42.5,20.4,12.8
08085,37.3,17.6,16.1
08087,34.6,20.0,14.3
08089,34.2,21.4,15.9
08091,38.7,22.0,15.0
08093,38.7,18.9,24.7
08095,33.2,27.9,11.4
08097,31.6,27.7,22.6
08099,42.9,11.1,12.4
08101,33.8,19.4,18.8
08103,32.1,31.1,14.6
08105,34.9,20.8,16.3
08107,37.0,22.5,20.7
08109,35.9,29.8,14.6
08111,38.8,47.3,7.8
08113,36.7,31.2,16.6
08115,28.8,12.5,14.5
08117,33.6,22.5,22.4
08119,36.5,18.2,20.2
08121,31.8,14.7,12.9
08123,36.1,22.8,17.4
08125,31.5,15.1,17.9
09001,36.0,24.9,23.4
09003,37.2,23.5,19.6
09005,31.5,29.0,16.0
09007,37.0,25.1,16.5
09009,35.0,24.5,18.9
09011,43.0,22.0,13.7
09013,38.3,20.7,19.2
09015,36.8,24.1,15.1
10001,30.5,20.0,22.6
10003,38.4,18.4,22.5
10005,31.0,18.9,20.5
11001,47.5,30.8,13.0
12001,43.1,21.7,12.9
12003,33.7,16.8,18.5
12005,33.8,22.1,18.6
12007,25.1,19.0,25.8
12009,37.2,19.1,20.2
12011,31.3,20.1,27.0
12013,22.9,15.9,12.6
12015,28.8,19.0,21.0
12017,27.8,16.4,19.2
12019,25.8,18.3,28.6
12021,30.6,19.6,24.8
12023,28.3,16.8,18.0
12027,24.5,20.0,16.2
12029,12.7,13.5,12.5
12031,31.8,20.9,24.2
12033,32.1,22.1,20.7
12035,30.5,18.7,18.3
12037,29.0,23.1,16.4
12039,32.5,21.2,15.7
12041,22.6,23.2,13.2
12043,33.6,11.8,19.0
12045,26.3,19.3,22.4
12047,21.3,15.6,15.9
12049,26.1,17.4,26.4
12051,31.4,17.1,17.1
12053,29.0,21.1,20.3
12055,26.3,15.3,21.4
12057,33.7,19.6,25.3
12059,21.9,20.8,20.1
12061,31.6,19.9,21.5
12063,24.7,24.9,13.5
12065,29.6,24.4,16.2
12067,12.1,13.4,25.1
12069,26.3,21.7,21.7
12071,29.7,19.1,24.2
12073,36.5,26.3,17.0
12075,35.6,18.1,14.5
12077,22.5,20.3,15.6
12079,31.0,25.7,11.4
12081,30.0,19.8,23.0
12083,28.3,18.8,20.7
12085,32.3,21.4,22.3
12086,32.2,18.8,26.3
12087,35.9,21.2,21.9
12089,31.1,22.2,22.3
12091,32.3,21.3,22.6
12093,21.9,15.0,19.7
12095,31.3,22.1,26.8
12097,29.6,18.7,25.9
12099,30.9,20.5,25.7
12101,29.5,18.0,25.0
12103,31.2,20.6,24.3
12105,27.4,18.8,25.4
12107,31.7,18.9,18.8
12109,33.6,20.8,24.1
12111,27.2,18.6,22.6
12113,30.2,20.5,21.9
12115,32.2,20.9,20.0
12117,31.7,19.9,26.8
12119,27.3,15.1,24.0
12121,34.9,17.3,21.1
12123,27.2,33.2,19.0
12125,27.6,24.8,15.3
12127,28.1,21.3,21.8
12129,31.0,26.3,16.4
12131,27.1,22.8,25.0
12133,28.4,20.5,11.7
13001,33.6,13.3,16.6
13003,11.0,19.2,20.8
13005,20.7,19.7,15.5
13007,27.1,3.1,7.8
13009,25.6,25.4,17.9
13011,30.3,8.5,25.6
13013,26.3,16.6,26.5
13015,24.0,21.4,24.3
13017,16.5,23.9,18.7
13019,19.4,20.4,27.4
13021,28.7,22.5,19.6
13023,30.9,12.9,18.3
13025,22.1,10.9,11.5
13027,34.4,11.5,18.4
13029,29.4,21.5,24.7
13031,29.2,25.6,17.9
13033,26.5,20.4,10.5
13035,27.7,22.0,24.0
13037,26.8,26.4,17.2
13039,25.6,23.2,20.7
13043,29.6,24.9,21.0
13045,26.9,21.0,21.6
13047,21.0,19.8,22.9
13049,28.3,16.8,17.4
13051,29.2,27.8,19.3
13053,33.3,27.3,29.0
13055,25.1,14.8,20.5
13057,28.0,22.0,27.3
13059,39.7,26.0,13.1
13061,29.5,16.4,15.3
13063,29.4,23.6,24.8
13065,27.9,16.4,10.4
13067,34.9,20.6,27.0
13069,24.7,13.6,20.4
13071,23.7,15.0,13.4
13073,35.1,18.5,18.8
13075,19.8,16.5,24.5
13077,25.9,22.4,26.3
13079,44.4,14.9,15.5
13081,23.5,12.3,15.9
13083,29.6,21.1,12.8
13085,22.7,15.8,39.2
13087,24.8,20.4,18.7
13089,36.0,24.1,23.2
13091,12.9,24.7,17.8
13093,28.0,10.9,22.7
13095,29.8,23.1,22.2
13097,27.3,22.9,25.8
13099,29.7,13.4,12.7
13101,32.6,11.6,22.7
13103,29.3,24.6,18.5
13105,20.9,17.8,14.5
13107,18.8,17.9,19.1
13109,21.9,18.2,29.3
13111,33.4,19.4,18.4
13113,30.2,22.1,24.3
13115,27.6,18.9,22.9
13117,35.6,17.1,28.7
13119,22.8,21.9,20.9
13121,37.1,22.0,26.8
13123,27.8,23.9,21.7
13125,32.5,18.0,12.9
13127,26.6,26.5,21.8
13129,23.2,26.2,18.7
13131,24.4,11.7,28.7
13133,34.9,14.9,22.1
13135,33.8,19.5,26.9
13137,23.3,18.3,25.5
13139,28.4,17.4,24.1
13141,22.8,26.9,16.6
13143,27.8,16.6,14.9
13145,30.2,18.1,25.3
13147,20.6,19.8,22.2
13149,32.3,14.3,21.5
13151,26.7,20.0,25.8
13153,30.4,20.2,24.4
13155,19.9,12.5,15.8
13157,29.6,15.5,25.0
13159,27.1,14.9,16.3
13161,21.3,11.5,14.8
13163,20.3,21.0,17.0
13165,24.7,10.8,14.7
13167,28.7,15.9,16.5
13169,28.3,15.5,23.4
13171,25.6,14.9,22.4
13173,41.6,14.5,17.2
13175,24.9,21.3,20.4
13177,21.5,17.4,26.6
13179,22.8,26.9,27.3
13181,21.3,17.3,27.4
13183,26.8,22.1,22.2
13185,31.3,18.8,19.9
13187,31.6,19.2,17.6
13189,25.0,15.1,22.5
13191,38.1,18.0,19.1
13193,28.6,21.9,14.3
13195,29.7,24.0,18.6
13197,19.1,18.7,37.8
13199,15.7,25.3,15.0
13201,26.2,10.7,27.0
13205,21.4,21.7,12.9
13207,29.0,18.6,24.5
13209,33.9,21.8,14.6
13211,28.3,14.4,24.9
13213,20.4,22.9,18.3
13215,29.7,21.5,22.2
13217,26.3,23.8,23.6
13219,39.0,19.6,16.3
13221,39.2,19.3,16.4
13223,26.8,19.5,24.9
13225,22.3,18.1,16.2
13227,27.3,18.8,22.8
13229,10.5,9.9,23.5
13231,21.7,21.0,19.4
13233,19.9,19.1,21.9
13235,13.9,10.2,17.5
13237,25.7,16.3,22.2
13239,24.6,18.8,6.5
13241,28.3,20.7,19.9
13243,23.4,26.4,25.4
13245,32.5,20.9,21.2
13247,28.4,17.0,26.2
13249,27.1,15.7,21.4
13251,26.5,14.6,19.5
13253,18.5,22.1,15.0
13255,24.0,22.3,21.6
13257,15.2,30.1,21.6
13259,23.4,14.8,25.0
13261,30.8,19.1,17.5
13263,27.3,18.1,18.3
13265,12.9,24.7,29.0
13267,22.5,16.6,23.9
13269,25.5,16.4,10.1
13271,19.0,18.5,13.6
13273,29.8,20.3,22.6
13275,26.9,21.8,16.6
13277,27.8,11.9,19.2
13279,24.5,23.0,16.0
13281,25.4,19.8,17.9
13283,37.2,12.3,15.8
13285,26.6,19.1,23.0
13287,19.1,10.4,13.7
13289,18.9,19.6,24.3
13291,27.8,23.2,18.3
13293,20.5,19.1,18.9
13295,26.3,23.3,19.6
13297,22.2,19.9,28.9
13299,31.6,16.2,16.7
13301,17.3,21.0,25.6
13303,28.9,17.2,25.8
13305,23.4,12.9,17.7
13307,12.3,8.9,31.5
13309,42.7,14.8,8.7
13311,20.4,24.5,24.6
13313,25.9,16.9,24.0
13315,29.5,12.2,11.0
13317,31.4,18.5,15.9
13319,28.9,14.3,20.1
13321,29.4,12.6,24.9
15001,39.8,19.3,16.7
15003,35.4,21.4,21.4
15005,61.1,38.9,0.0
15007,31.3,24.0,19.4
15009,35.9,20.2,18.7
16001,34.6,22.6,19.6
16003,40.7,19.5,6.0
16005,34.2,19.8,15.0
