cfips,pct_snap_households
01001,12.8
01003,7.7
01005,26.8
01007,16.2
01009,9.5
01011,22.5
01013,16.6
01015,17.2
01017,15.5
01019,16.4
01021,17.3
01023,22.8
01025,17.4
01027,12.5
01029,14.8
01031,12.9
01033,13.0
01035,13.7
01037,11.1
01039,15.0
01041,15.5
01043,11.4
01045,17.7
01047,30.5
01049,18.1
01051,12.4
01053,15.7
01055,14.3
01057,19.0
01059,16.3
01061,17.2
01063,38.9
01065,25.5
01067,16.6
01069,14.0
01071,13.1
01073,14.0
01075,18.1
01077,12.0
01079,16.5
01081,10.8
01083,10.0
01085,33.5
01087,23.3
01089,10.1
01091,21.4
01093,15.8
01095,13.7
01097,16.6
01099,16.1
01101,18.6
01103,12.6
01105,35.1
01107,14.7
01109,15.3
01111,15.4
01113,18.8
01115,9.8
01117,5.4
01119,27.5
01121,16.5
01123,19.6
01125,10.3
01127,15.6
01129,16.1
01131,25.4
01133,14.7
02013,13.0
02016,6.6
02020,8.8
02050,38.8
02060,6.7
02068,4.6
02070,28.2
02090,6.7
02100,5.8
02105,15.7
02110,8.2
02122,9.7
02130,14.3
02150,7.1
02158,59.2
02164,28.3
02170,10.2
02180,32.1
02185,16.6
02188,33.3
02195,12.4
02198,18.0
02220,7.4
02230,3.5
02240,8.5
02261,4.2
02275,15.5
02282,10.0
02290,32.3
04001,25.9
04003,16.7
04005,9.7
04007,15.6
04009,14.6
04011,8.6
04012,15.7
04013,9.4
04015,14.5
04017,21.7
04019,13.0
04021,11.5
04023,25.8
04025,8.6
04027,18.5
05001,16.4
05003,16.3
05005,8.4
05007,4.9
05009,13.0
05011,21.1
05013,8.4
05015,6.7
05017,23.4
05019,12.8
05021,16.6
05023,8.2
05025,14.0
05027,18.1
05029,13.4
05031,12.7
05033,12.1
05035,19.6
05037,12.8
05039,16.4
05041,27.5
05043,12.7
05045,9.3
05047,16.7
05049,14.2
05051,11.8
05053,10.6
05055,16.0
05057,12.4
05059,14.6
05061,16.9
05063,10.8
05065,11.7
05067,21.0
05069,18.8
05071,14.2
05073,16.3
05075,15.3
05077,24.6
05079,14.6
05081,14.7
05083,14.2
05085,11.1
05087,11.3
05089,11.4
05091,12.4
05093,20.7
05095,22.3
05097,16.2
05099,19.0
05101,14.1
05103,16.3
05105,12.6
05107,31.0
05109,12.6
05111,18.2
05113,13.7
05115,11.6
05117,11.7
05119,10.7
05121,15.3
05123,23.0
05125,7.3
05127,20.5
05129,11.5
05131,12.9
05133,14.8
05135,18.6
05137,17.2
05139,13.0
05141,12.2
05143,7.3
05145,11.7
05147,27.2
05149,12.0
06001,6.3
06003,10.9
06005,7.2
06007,11.9
06009,7.8
06011,15.8
06013,6.2
06015,18.5
06017,5.7
06019,19.2
06021,12.9
06023,12.8
06025,21.3
06027,7.9
06029,16.8
06031,16.1
06033,12.0
06035,7.8
06037,8.7
06039,17.2
06041,2.5
06043,12.2
06045,10.1
06047,19.0
06049,9.8
06051,4.8
06053,7.2
06055,4.1
06057,6.0
06059,6.0
06061,4.2
06063,7.6
06065,9.3
06067,11.3
06069,8.7
06071,14.7
06073,7.1
06075,4.9
06077,14.4
06079,4.6
06081,3.3
06083,8.0
06085,4.4
06087,8.9
06089,11.2
06091,15.5
06093,11.9
06095,8.5
06097,6.2
06099,13.6
06101,13.7
06103,13.6
06105,12.0
06107,22.2
06109,9.3
06111,7.1
06113,9.8
06115,14.1
08001,8.9
08003,22.9
08005,6.3
08007,6.0
08009,12.8
08011,29.9
08013,5.0
08014,2.3
08015,5.8
08017,9.9
08019,6.5
08021,22.3
08023,31.0
08025,16.9
08027,6.1
08029,13.3
08031,8.3
08033,9.2
08035,1.8
08037,2.5
08039,4.1
08041,9.3
08043,14.3
08045,6.2
08047,3.3
08049,6.7
08051,6.8
08053,4.2
08055,15.9
08057,4.7
08059,4.3
08061,13.9
08063,6.3
08065,8.9
08067,4.0
08069,6.1
08071,20.3
08073,11.8
08075,11.6
08077,10.8
08079,5.4
08081,8.6
08083,12.6
08085,10.9
08087,12.7
08089,17.6
08091,6.1
08093,3.6
08095,10.0
08097,3.2
08099,15.6
08101,18.4
08103,8.0
08105,17.2
08107,3.0
08109,15.6
08111,6.9
08113,2.8
08115,16.6
08117,3.1
08119,8.6
08121,8.8
08123,7.6
08125,9.2
09001,8.6
09003,14.7
09005,7.6
09007,8.5
09009,14.8
09011,11.2
09013,6.2
