cfips,pct_households_married,avg_family_size,pct_unmarried_same_sex_households,pct_housing_owner_occupied
01001,56.09860359076661,3.14,0.3,73.3
01003,52.78788436026427,3.31,0.1,72.9
01005,43.57523664454357,3.22,0.0,62.5
01007,58.02486986697512,3.43,0.0,75.4
01009,58.40502658289029,3.28,0.2,78.5
01011,31.471389645776565,3.45,0.2,70.0
01013,43.24822695035461,3.54,0.1,70.1
01015,47.482205813876135,3.01,0.2,69.4
01017,41.17131590477581,3.11,0.2,66.5
01019,56.48911533117184,2.84,0.0,78.1
01021,51.598282442748086,3.09,0.1,75.3
01023,44.51766428702179,3.03,0.2,80.2
01025,47.4796917308894,3.31,0.1,66.0
01027,51.27388535031847,2.96,0.3,76.5
01029,53.213234020439984,3.17,0.6,74.4
01031,51.274209989806316,3.17,0.1,65.4
01033,49.27898830914798,3.02,0.1,72.8
01035,44.04156064461408,3.48,0.0,77.6
01037,47.026641294005714,3.29,0.0,80.3
01039,51.29865881583252,2.96,0.2,75.1
01041,47.31243001119821,3.18,0.2,71.0
01043,54.500434125478336,3.16,0.1,74.8
01045,48.833997343957506,3.15,0.2,59.7
01047,32.40128586158792,3.13,0.2,59.2
01049,53.24542814535751,3.34,0.2,71.2
01051,53.50163146144599,3.13,0.0,73.0
01053,45.455920157265986,3.37,0.1,71.8
01055,49.96031847622949,3.21,0.2,71.9
01057,53.84615384615385,2.83,0.2,76.9
01059,49.11124598976849,3.30,0.1,68.9
01061,52.19302347330029,2.95,0.1,73.6
01063,32.72727272727273,3.82,0.2,68.0
01065,41.0840395480226,3.39,0.3,74.9
01067,53.88731975620633,3.11,0.1,82.2
01069,45.39180990899899,3.26,0.3,64.6
01071,55.48900235663786,3.12,0.0,73.6
01073,41.03599984697196,3.13,0.3,62.8
01075,54.87622528659246,2.87,0.0,75.8
01077,47.667857327742404,2.93,0.4,68.4
01079,54.64154411764706,3.05,0.0,80.0
01081,44.22806393111981,3.10,0.3,59.2
01083,56.203297721237576,3.33,0.1,77.1
01085,32.83824553260617,2.86,0.1,73.4
01087,31.036678553234843,2.78,0.0,64.7
01089,48.0390571727837,3.04,0.3,67.5
01091,38.89655172413793,3.38,0.0,71.3
01093,52.58170721914398,2.82,0.2,75.7
01095,53.61397016306233,3.28,0.1,70.7
01097,44.50303652938346,3.29,0.3,66.4
01099,43.53600584866577,3.47,0.3,61.0
01101,37.54009980395651,3.13,0.2,59.1
01103,51.226472638550014,3.12,0.3,71.6
01105,26.554787759131294,4.07,0.0,75.3
01107,45.31496062992126,3.21,0.0,73.7
01109,39.018235102572454,3.25,0.7,59.2
01111,52.04691552949138,3.03,0.0,72.7
01113,41.27368884971353,3.18,0.1,58.9
01115,56.51357507849535,3.09,0.2,80.4
01117,59.39272519123693,3.20,0.3,79.6
01119,31.91405479992115,3.41,0.0,64.5
01121,45.08230387665477,3.02,0.2,72.2
01123,49.81978129390922,2.97,0.1,71.9
01125,46.003887731271064,3.31,0.2,62.8
01127,51.278685916557286,3.04,0.3,75.6
01129,54.024329278453585,3.31,0.0,82.4
01131,34.8607133558969,3.72,0.0,62.2
01133,51.46731645301409,3.09,0.1,77.3
02013,39.90147783251231,3.01,0.0,59.4
02016,42.69293924466338,4.48,0.0,30.1
02020,49.481190808587705,3.27,0.5,60.1
02050,42.99292661361627,4.36,0.2,63.2
02060,48.882681564245814,2.85,0.0,57.3
02068,46.7551622418879,3.11,0.0,78.6
02070,43.131672597864764,3.98,0.0,62.0
02090,51.44246620507749,3.23,0.3,59.0
02100,46.550137994480224,2.84,0.0,70.7
02105,48.50374064837905,2.98,0.5,73.6
02110,50.68035525136479,3.12,0.5,65.5
02122,50.98948528398917,3.21,0.2,71.2
02130,48.57685009487666,3.07,0.2,61.9
02150,53.569854561480824,3.48,0.0,59.0
02158,39.6689497716895,4.89,0.2,74.0
02164,36.51960784313725,3.52,0.0,68.1
02170,57.29918662006337,3.84,0.2,76.5
02180,37.62512944425268,3.61,0.0,60.6
02185,39.000489955903966,3.62,1.0,51.9
02188,39.15630070308275,4.52,0.8,57.1
02195,48.525896414342625,3.18,0.2,68.2
02198,44.53563714902808,3.39,0.3,73.0
02220,43.01833568406206,3.06,0.6,56.6
02230,36.17021276595745,2.62,0.7,52.0
02240,51.19214586255259,3.74,0.0,71.7
02261,53.91365391365392,3.92,0.0,73.4
02275,49.35424354243542,2.68,0.2,66.6
02282,36.86274509803922,3.19,0.0,60.4
02290,33.33333333333333,3.33,0.4,70.4
04001,39.99487967229903,4.58,0.3,77.6
04003,50.24613506916192,2.90,0.3,68.9
04005,43.30293351265025,3.23,0.3,59.3
04007,47.53764188093583,2.94,0.1,72.9
04009,50.95663265306123,3.67,0.4,68.0
04011,48.90011890606421,3.27,0.4,47.1
04012,49.6362809729484,2.80,0.2,74.3
04013,47.60089236022297,3.38,0.5,61.0
04015,47.91542513885247,2.90,0.3,68.3
04017,46.967971738051446,3.70,0.2,68.9
04019,43.41981783052719,3.08,0.6,61.9
04021,52.91095249151768,3.42,0.4,72.6
04023,52.08119218910586,3.46,0.0,67.2
04025,51.46221765260803,2.80,0.4,70.7
04027,56.24250034882099,3.23,0.1,67.5
05001,44.05876235049402,2.96,1.2,62.7
05003,50.879980444879,3.10,0.0,74.0
05005,53.68518317208392,2.70,0.0,75.4
05007,59.660528457967565,3.20,0.4,66.3
05009,55.06818029152952,2.98,0.1,72.1
05011,44.45904511607534,2.95,0.0,61.9
05013,52.013585638039785,2.92,0.0,83.2
05015,53.3142540620384,3.21,0.1,77.5
05017,39.62526023594726,3.04,0.1,66.3
05019,45.41950113378685,2.78,0.1,62.0
05021,44.97510889856876,2.96,0.0,70.2
05023,53.3533721585572,2.86,0.0,75.0
05025,54.95139732685298,2.99,0.0,74.0
05027,44.84309735461069,2.87,0.3,65.7
05029,47.941356139279165,3.12,0.7,70.9
05031,45.74777850293689,3.06,0.5,58.3
05033,58.14411395056557,3.03,0.1,75.7
05035,38.65158904550083,3.28,0.2,56.7
05037,50.07433838834374,3.01,0.1,67.5
05039,44.783715012722645,2.80,0.0,68.6
05041,39.80879541108987,2.89,0.0,58.1
05043,46.689400397840295,3.06,0.0,65.7
05045,49.66579217520246,3.22,0.3,62.3
05047,52.47741183328476,3.16,0.0,73.6
