cfips,pct_households_married,avg_family_size,pct_unmarried_same_sex_households,pct_housing_owner_occupied
05017,41.17502458210423,3.13,71.2,61.8
05019,45.18115084063462,2.89,64.0,57.5
05021,46.83426443202979,2.85,82.6,67.4
05023,55.17017527589725,2.80,73.5,75.2
05025,53.341622629779295,3.02,70.1,76.0
05027,43.459472085961224,3.18,70.9,70.4
05029,49.94584185822602,3.09,74.8,67.3
05031,44.623564954682784,3.06,69.4,57.1
05033,54.048751982636276,3.09,77.8,76.0
05035,36.091013945685226,3.18,72.6,57.4
05037,49.58665263790771,2.99,73.2,66.8
05039,41.83226675648367,2.85,68.0,67.7
05041,42.21752498078401,2.70,72.8,61.5
05043,51.27846863210842,2.96,62.9,67.7
05045,49.514301738642736,3.26,68.9,62.3
05047,53.39878030641083,3.21,77.8,70.5
05049,52.60406193444601,2.95,76.8,79.7
05051,46.01706085702206,3.01,70.5,67.8
05053,55.70450240419642,3.03,68.8,80.1
05055,52.677639967543755,3.01,75.6,67.0
05057,48.06029157400544,3.17,73.4,69.3
05059,54.84562266846575,2.98,70.3,77.9
05061,47.47180085569817,3.19,73.5,68.9
05063,51.59195643066611,3.02,74.2,71.6
05065,53.452896310039165,3.36,80.3,76.1
05067,40.00325892129705,3.00,76.1,69.4
05069,37.61426812432372,3.06,71.4,62.1
05071,52.3652137988019,3.23,73.8,70.4
05073,45.97701149425287,3.01,71.7,79.1
05075,52.823766052916596,2.97,80.7,67.3
05077,42.60761072988147,3.06,74.5,59.8
05079,57.14285714285714,2.59,60.7,77.1
05081,47.492075330971474,2.81,73.3,71.5
05083,53.475109896637754,3.00,82.0,73.7
05085,56.664807585052976,3.12,75.5,69.2
05087,54.817646121993945,3.13,77.9,78.0
05089,51.17959304040106,2.94,77.9,78.9
05091,45.4036283940095,3.14,68.9,64.6
05093,38.59295869180548,3.10,73.9,56.4
05095,35.823582358235825,2.70,72.0,59.9
05097,56.20671283963772,2.87,67.1,81.3
05099,40.09420076538122,2.98,70.6,66.9
05101,50.44277929155313,3.49,84.2,84.2
05103,40.29819838475875,3.17,74.0,69.1
05105,59.76008724100327,3.18,74.0,76.4
05107,35.6312625250501,3.13,71.2,48.2
05109,55.95794392523364,3.01,76.6,78.8
05111,48.13142977115263,2.91,76.0,62.9
05113,52.44449836224675,2.91,76.2,76.7
05115,50.09965011736569,3.26,74.7,68.9
05117,49.60275423728814,2.62,69.0,73.9
05119,39.59228350342611,3.14,70.2,58.8
05121,49.544527532290964,2.84,79.6,71.7
05123,36.3975287601193,3.08,64.6,54.7
05125,55.98638684061259,3.19,76.6,78.1
05127,51.800202839756594,3.38,70.1,73.8
05129,57.01833483618876,2.82,74.8,73.9
05131,45.46537050050753,3.06,73.9,58.8
05133,55.802888700084964,3.41,73.5,71.4
05135,43.8968712233114,2.96,78.4,77.2
05137,55.420931689993736,3.20,65.3,74.6
05139,46.28640468014753,3.05,70.6,75.4
05141,54.19051812710993,2.94,67.6,78.6
05143,46.74949899799599,3.17,65.8,52.6
05145,52.49354672173464,3.15,69.1,66.1
05147,43.31514324693042,2.70,73.8,65.4
05149,55.31120884979342,3.30,77.3,71.5
06001,50.60475382768198,3.37,61.9,53.5
06003,55.42857142857143,3.66,92.9,84.0
06005,54.50185007537344,2.85,84.0,76.5
06007,43.613455227379276,3.14,66.7,59.0
06009,53.824814071538185,3.16,85.4,77.8
06011,55.514044555140444,3.45,80.0,61.0
06013,55.06258090174254,3.35,75.2,65.9
06015,43.18753142282554,3.11,66.8,63.1
06017,58.63555668272888,3.09,82.3,75.7
06019,46.76297311517151,3.69,71.0,53.3
06021,55.280118988596925,3.22,72.4,59.4
06023,38.330986301870915,3.01,71.8,56.8
06025,49.86727341676147,4.49,70.4,58.3
06027,41.59748427672956,3.01,63.0,65.5
06029,50.76364685772637,3.69,75.7,58.3
06031,51.86872871214213,3.54,76.2,52.3
06033,42.34996102883866,3.11,69.0,66.4
06035,52.66163793103448,2.73,79.3,67.6
06037,45.09347125764481,3.66,55.6,45.8
06039,58.25627771217219,3.67,81.8,64.1
06041,51.38288185750057,2.96,70.6,63.7
06043,48.449561690435694,2.63,74.2,68.4
06045,43.47535456870496,3.10,76.3,59.9
06047,51.20737926207379,3.77,78.7,52.2
06049,47.01327433628318,2.97,83.5,74.9
06051,43.25288562434418,3.73,60.3,64.4
06053,52.48554913294797,3.83,68.5,51.0
06055,53.01714403038702,3.35,75.2,64.2
06057,50.99987761595888,2.88,84.0,74.2
06059,54.86885682010079,3.51,63.6,57.4
06061,57.589163837457555,3.18,82.0,71.9
06063,45.65680473372781,2.73,79.6,72.9
06065,53.786144989674334,3.87,75.4,66.3
06067,45.78555315132821,3.38,72.1,56.4
06069,59.59746346843121,3.66,83.9,63.7
06071,52.077617637856676,3.76,74.6,59.8
06073,50.419982120101025,3.43,61.7,53.3
06075,36.491662849037134,3.11,32.7,37.6
06077,52.3898900541198,3.69,79.3,56.6
06079,50.57982091129543,2.98,73.3,61.6
06081,55.15001347028758,3.36,65.5,60.2
06083,49.071687143483985,3.41,64.8,52.1
06085,57.012097498496594,3.42,63.5,56.4
06087,48.50236907470413,3.26,71.5,60.1
06089,48.562116295078745,2.98,72.8,64.0
06091,46.70204700530705,2.67,82.0,75.4
06093,44.95841995841996,2.81,76.4,65.0
06095,51.17005304774297,3.35,76.3,61.5
06097,48.05833958199119,3.14,75.1,61.5
06099,51.77402845346123,3.60,79.8,57.8
06101,52.86187032724599,3.43,77.2,57.7
06103,47.645624043986935,3.18,68.4,65.4
06105,40.94965482404445,2.63,69.8,68.9
06107,52.52607821293711,3.77,78.4,57.1
06109,48.124611145675935,2.80,78.1,71.3
06111,55.28150826446281,3.58,75.7,63.2
06113,48.40906643695489,3.28,66.6,51.6
06115,51.74546558397207,3.38,76.1,60.5
08001,51.11144487834185,3.56,71.2,66.2
08003,45.89419019798767,3.09,59.0,57.8
08005,49.55389839536587,3.26,67.6,63.5
08007,57.681802663024925,2.73,75.5,72.2
08009,51.08303249097473,2.59,84.4,71.0
08011,46.576117713638936,2.81,77.9,59.6
08013,46.61303614174155,3.01,67.9,62.2
08014,54.91081179468511,3.01,68.2,65.2
08015,54.8779006196088,2.71,83.6,77.8
08017,51.291989664082685,3.43,84.1,71.4
08019,44.323094425483504,2.69,82.5,77.2
08021,47.75369148601948,3.36,72.0,79.4
08023,40.95074455899198,2.80,71.2,69.0
08025,49.730976172175254,4.60,78.6,72.5
08027,63.866305329719964,2.60,86.6,87.2
08029,53.025330303795336,3.08,78.3,73.6
08031,34.582306526346514,3.17,54.1,49.9
08033,47.299077733860344,3.02,74.8,81.6
08035,67.21288387775559,3.16,83.4,79.0
08037,57.26707390897584,3.27,60.2,69.8
08039,68.38362068965517,3.06,95.2,90.0
08041,53.51815678797082,3.17,75.8,64.0
08043,52.07749766573296,2.54,77.1,75.0
08045,57.749558098427755,3.17,73.2,66.9
08047,50.74946466809421,2.58,86.2,79.6
08049,51.291638341264445,3.07,76.1,68.5
08051,41.73216444981862,3.02,64.2,61.4
08053,60.47745358090185,2.72,84.4,71.6
08055,46.04651162790698,2.60,74.9,71.8
08057,60.215053763440864,2.64,72.0,79.9
08059,50.91655042964647,2.96,74.9,70.7
08061,48.7460815047022,3.02,86.2,74.3
08063,54.99334221038615,2.85,76.2,66.4
08065,42.27594339622642,2.78,69.6,68.4
08067,50.7249701752776,3.07,70.4,70.7
08069,50.44409251136687,2.93,73.0,65.0
08071,44.87256371814093,2.55,79.4,67.4
08073,48.484848484848484,3.06,76.2,70.6
08075,48.17109496008579,3.31,77.3,65.2
08077,48.01431764439118,2.94,73.3,68.2
08079,65.66757493188011,2.39,88.0,86.6
08081,48.1736861721953,2.99,65.3,64.8
08083,52.3322383857344,2.91,72.8,72.1
08085,54.92998833138857,2.91,71.9,72.7
08087,51.839311859443626,3.09,75.8,64.0
08089,44.27609427609428,3.00,79.4,63.9
08091,55.15487748497458,2.67,79.4,72.3
08093,63.62718222478719,3.05,93.6,86.4
08095,55.65423327412671,3.15,89.8,71.9
08097,38.28846926476497,2.89,47.0,65.0
08099,47.258592471358426,3.03,76.8,65.4
08101,44.23609167521846,3.13,79.3,64.7
08103,52.9335071707953,3.37,78.9,70.8
08105,48.8077959776073,2.97,71.1,63.2
08107,53.91023638446318,2.97,72.3,71.2
08109,48.56643356643357,2.95,72.4,71.5
08111,42.56055363321799,2.80,79.9,62.6
08113,43.91891891891892,2.81,60.9,61.0
08115,46.43226473629783,3.17,81.7,71.4
08117,49.0837327318861,3.10,61.3,65.5
08119,57.7088212334114,2.79,86.4,82.5
08121,54.04887398179204,2.60,86.6,66.9
08123,58.18325992872907,3.31,78.0,72.9
08125,54.74180734856008,2.80,82.0,66.9
09001,53.49291129342807,3.27,65.7,67.1
09003,45.38994543503573,3.10,63.4,64.1
09005,52.231498590561486,2.96,77.5,76.5
09007,50.7144883606337,2.91,74.8,73.5
09009,43.666735234684126,3.18,61.1,61.8
09011,47.14681851484322,2.90,69.4,66.4
09013,52.27986997826984,2.96,73.9,71.8
09015,47.82328209463217,2.99,72.1,69.0
10001,47.88133017204693,3.12,75.9,69.1
10003,46.40745473184051,3.27,75.9,67.9
10005,54.10645931709871,2.88,77.4,80.3
11001,25.980181865492675,3.32,36.8,41.6
