cfips,birth_rate,pct_new_young_mothers
01001,52,3.2
01003,40,2.5
01005,76,3.0
01007,86,3.7
01009,39,13.4
01011,10,0.0
01013,50,16.8
01015,60,3.7
01017,56,7.5
01019,48,7.7
01021,36,1.7
01023,55,11.0
01025,22,15.4
01027,40,0.0
01029,33,0.0
01031,46,3.0
01033,52,0.0
01035,24,31.1
01037,67,0.0
01039,79,3.4
01041,64,4.2
01043,40,1.6
01045,69,6.3
01047,65,10.8
01049,57,11.8
01051,62,0.0
01053,51,6.1
01055,48,8.4
01057,68,0.0
01059,37,9.1
01061,52,11.6
01063,62,0.0
01065,51,0.0
01067,54,0.0
01069,56,7.7
01071,80,3.2
01073,54,3.8
01075,43,0.0
01077,47,8.0
01079,38,2.9
01081,49,2.2
01083,52,5.5
01085,59,0.0
01087,28,0.0
01089,53,1.4
01091,41,6.8
01093,29,8.3
01095,51,3.8
01097,59,3.1
01099,53,11.2
01101,52,7.1
01103,47,2.6
01105,25,0.0
01107,69,2.7
01109,54,0.0
01111,37,5.7
01113,69,3.7
01115,55,4.1
01117,52,0.4
01119,36,0.0
01121,67,1.9
01123,66,3.4
01125,53,4.3
01127,53,2.7
01129,42,2.8
01131,23,0.0
01133,19,0.0
02013,20,0.0
02016,70,0.0
02020,61,4.2
02050,87,6.6
02060,82,0.0
02068,12,0.0
02070,66,12.0
02090,81,0.5
02100,14,0.0
02105,56,5.3
02110,36,4.8
02122,44,1.3
02130,54,3.1
02150,47,2.0
02158,104,7.7
02164,44,7.1
02170,57,1.5
02180,89,8.0
02185,81,4.0
02188,84,11.5
02195,57,0.0
02198,74,12.2
02220,28,0.0
02230,58,0.0
02240,59,0.0
02261,102,0.0
02275,94,2.4
02282,16,0.0
02290,72,15.6
04001,49,2.0
04003,71,1.6
04005,35,7.7
04007,68,1.0
04009,82,3.8
04011,121,0.0
04012,79,10.6
04013,54,4.2
04015,60,6.2
04017,78,8.0
04019,56,4.6
04021,55,1.9
04023,66,4.1
04025,47,3.4
04027,66,2.1
05001,50,3.6
05003,40,45.4
05005,67,8.9
05007,60,4.7
05009,80,9.0
05011,60,9.0
05013,11,0.0
05015,35,10.4
05017,116,0.0
05019,50,3.6
05021,55,0.0
05023,46,0.0
05025,60,18.4
05027,68,5.9
05029,22,0.0
05031,43,1.5
05033,59,6.1
05035,75,11.3
05037,65,20.4
05039,61,0.0
05041,69,5.3
05043,75,22.8
05045,49,1.6
05047,109,20.8
