cfips,birth_rate,pct_new_young_mothers
01001,71,5.0
01003,50,4.0
01005,70,0.0
01007,74,3.7
01009,58,8.9
01011,33,0.0
01013,47,10.7
01015,50,0.3
01017,42,8.6
01019,37,11.3
01021,70,2.3
01023,45,11.9
01025,19,6.4
01027,41,13.3
01029,41,0.0
01031,40,1.1
01033,42,3.6
01035,41,21.2
01037,54,0.0
01039,59,4.8
01041,74,3.6
01043,31,6.4
01045,55,8.5
01047,81,7.5
01049,59,3.9
01051,56,0.0
01053,76,6.6
01055,40,8.8
01057,48,0.0
01059,28,24.4
01061,48,16.4
01063,70,0.0
01065,87,5.3
01067,55,0.0
01069,57,6.2
01071,56,9.0
01073,53,4.0
01075,55,0.0
01077,42,3.8
01079,50,4.6
01081,46,4.5
01083,60,4.4
01085,56,0.0
01087,27,0.8
01089,50,4.3
01091,31,0.0
01093,29,19.3
01095,53,13.0
01097,55,4.9
01099,45,9.3
01101,51,5.0
01103,46,6.0
01105,18,24.4
01107,50,0.0
01109,82,0.5
01111,54,29.4
01113,58,3.8
01115,48,3.8
01117,46,2.2
01119,33,0.0
01121,43,4.9
01123,48,8.3
01125,54,6.1
01127,48,2.9
01129,32,7.6
01131,19,0.0
01133,22,2.8
02013,28,0.0
02016,51,0.0
02020,57,3.2
02050,76,7.8
02060,58,0.0
02068,15,0.0
02070,84,13.5
02090,85,3.7
02100,12,0.0
02105,76,3.8
02110,34,0.0
02122,49,3.3
02130,67,3.4
02150,61,2.5
02158,105,10.4
02164,61,10.5
02170,48,1.8
02180,95,8.6
02185,109,3.1
02188,119,11.3
02195,53,3.0
02198,80,13.6
02220,33,0.0
02230,31,0.0
02240,91,8.8
02261,58,0.0
02275,81,2.6
02282,49,0.0
02290,63,17.1
04001,61,4.9
04003,65,1.5
04005,39,6.9
04007,70,5.2
04009,82,6.4
04011,98,0.0
04012,53,3.7
04013,52,3.9
04015,56,5.9
04017,81,8.7
04019,57,2.5
04021,55,2.4
04023,58,6.4
04025,44,5.7
04027,73,4.0
05001,57,36.5
05003,50,5.2
05005,74,7.6
05007,63,4.6
05009,93,3.9
05011,49,9.6
05013,21,18.2
05015,41,6.1
05017,78,7.1
05019,50,2.6
05021,61,5.8
05023,53,7.7
05025,46,14.8
05027,66,6.9
05029,33,4.7
05031,48,1.2
05033,58,7.9
05035,80,13.9
05037,44,8.4
05039,25,0.0
05041,75,10.2
05043,64,23.1
05045,52,2.2
05047,77,13.8
05049,64,0.0
05051,43,0.0
05053,64,10.0
05055,74,2.0
05057,70,2.4
05059,56,5.5
05061,41,0.0
05063,47,12.7
05065,53,16.1
05067,50,1.0
05069,50,5.3
05071,79,0.4
05073,53,5.3
05075,63,1.8
05077,191,7.8
05079,107,8.3
05081,31,0.0
05083,92,1.8
05085,73,4.7
05087,64,0.0
05089,65,15.8
05091,54,5.4
05093,82,11.5
05095,132,15.1
05097,46,0.0
05099,94,20.9
05101,24,41.2
