cfips,birth_rate,pct_new_young_mothers
01001,65,5.9
01003,44,3.2
01005,79,2.9
01007,96,4.1
01009,52,11.1
01011,43,0.0
01013,55,12.0
01015,63,2.2
01017,44,7.5
01019,64,11.5
01021,38,1.1
01023,50,8.2
01025,21,11.9
01027,34,0.0
01029,30,0.0
01031,45,1.0
01033,43,1.5
01035,53,13.1
01037,53,0.0
01039,66,1.8
01041,75,6.7
01043,29,2.7
01045,69,5.5
01047,79,7.0
01049,63,4.1
01051,59,0.0
01053,70,6.4
01055,47,7.7
01057,49,0.0
01059,29,10.6
01061,53,12.7
01063,42,0.0
01065,67,5.7
01067,40,0.0
01069,58,9.1
01071,77,8.7
01073,54,3.2
01075,37,0.0
01077,50,6.2
01079,45,8.7
01081,47,3.3
01083,51,4.2
01085,56,0.0
01087,28,0.7
01089,52,3.6
01091,24,4.9
01093,36,18.2
01095,54,7.0
01097,59,3.4
01099,40,7.7
01101,54,4.9
01103,44,3.1
01105,14,0.0
01107,55,0.0
01109,59,0.0
01111,48,29.3
01113,61,3.1
01115,48,4.7
01117,50,1.8
01119,26,0.0
01121,54,4.0
01123,52,7.3
01125,51,5.1
01127,54,2.5
01129,45,2.7
01131,19,0.0
01133,21,0.0
02013,11,0.0
02016,51,0.0
02020,60,4.9
02050,79,7.4
02060,86,0.0
02068,2,0.0
02070,77,13.6
02090,89,4.9
02100,15,0.0
02105,76,3.8
02110,36,8.6
02122,42,3.5
02130,62,2.1
02150,51,2.4
02158,115,4.9
02164,47,6.7
02170,53,1.9
02180,88,8.1
02185,91,3.1
02188,99,12.6
02195,59,0.0
02198,75,10.6
02220,29,0.0
02230,35,0.0
02240,60,0.0
02261,82,0.0
02275,68,3.1
02282,52,0.0
02290,61,13.4
04001,57,5.0
04003,62,1.1
04005,34,7.5
04007,74,2.2
04009,81,4.5
04011,104,0.0
04012,71,3.7
04013,53,3.9
04015,56,6.7
04017,80,9.0
04019,57,4.0
04021,58,2.3
04023,67,2.9
04025,48,2.4
04027,69,3.6
05001,58,30.7
05003,47,30.4
05005,75,8.5
05007,64,4.2
05009,82,3.4
05011,37,0.0
05013,19,15.0
05015,32,9.6
05017,90,6.7
05019,50,3.7
05021,51,0.6
05023,60,8.5
05025,49,13.3
05027,68,6.0
05029,29,3.7
05031,46,1.5
05033,53,6.8
05035,74,11.9
05037,60,16.1
05039,41,0.0
05041,70,12.3
05043,73,22.5
05045,48,1.3
05047,97,21.0
05049,65,0.0
05051,44,1.8
05053,59,10.1
05055,64,3.6
05057,70,2.8
05059,62,6.8
05061,43,0.0
05063,37,0.0
05065,66,13.9
05067,38,2.0
05069,57,6.9
05071,67,0.5
05073,39,7.4
05075,54,1.1
05077,125,11.1
05079,106,15.5
05081,56,27.7
05083,76,6.5
05085,76,3.3
05087,72,0.0
05089,47,22.6
05091,50,4.8
05093,63,13.5
05095,141,11.2
05097,62,0.0
05099,65,0.0
05101,9,30.8
05103,62,10.4
05105,58,0.0
05107,70,55.4
05109,52,4.4
05111,62,16.5
05113,74,2.7
05115,40,11.0
05117,94,16.9
05119,57,3.6
05121,86,22.3
05123,53,27.8
05125,60,4.8
05127,67,0.0
05129,68,26.2
05131,71,4.3
05133,66,8.9
05135,44,0.0
05137,49,0.0
05139,60,1.7
05141,59,0.0
05143,53,2.9
05145,46,2.0
05147,76,0.0
05149,71,19.9
06001,46,1.3
06003,60,0.0
06005,51,0.0
06007,46,3.0
06009,33,0.0
06011,73,2.1
06013,48,1.0
06015,85,12.4
06017,48,0.9
06019,59,4.5
06021,74,0.0
06023,53,2.1
06025,60,1.3
06027,56,2.1
06029,64,4.8
06031,59,3.1
06033,42,5.9
06035,85,0.0
06037,44,3.6
06039,64,5.4
06041,47,2.5
06043,66,0.0
06045,51,11.3
06047,59,3.2
06049,58,4.4
06051,45,0.0
06053,48,3.9
06055,42,0.0
06057,56,1.0
06059,47,2.1
06061,44,0.5
06063,40,0.0
06065,51,3.1
06067,54,2.5
06069,62,1.4
06071,57,5.2
06073,51,3.0
06075,36,0.1
06077,60,2.9
06079,33,3.1
06081,48,0.6
06083,43,3.8
06085,49,1.3
06087,49,0.8
06089,51,0.7
06091,23,0.0
06093,58,11.5
06095,49,2.9
06097,46,1.3
06099,56,1.5
06101,77,2.3
06103,54,4.0
06105,44,0.0
06107,67,3.7
06109,34,0.0
06111,53,3.8
06113,39,2.4
06115,76,4.7
08001,57,4.3
08003,58,2.9
08005,55,1.3
08007,52,0.0
08009,54,0.0
08011,25,0.0
08013,39,0.7
08014,37,0.0
08015,63,0.0
08017,132,0.0
08019,26,0.0
08021,97,0.0
08023,102,0.0
08025,92,66.7
08027,60,0.0
08029,61,0.0
08031,53,3.4
08033,16,0.0
08035,43,2.9
08037,34,0.0
08039,51,1.5
08041,59,3.4
08043,68,17.9
08045,47,7.7
08047,106,0.0
08049,21,0.0
08051,38,1.3
08053,36,0.0
08055,16,56.3
08057,0,-
08059,51,3.5
08061,98,0.0
08063,111,0.0
08065,20,0.0
08067,50,0.0
08069,49,1.3
08071,61,4.5
08073,43,0.0
08075,75,1.3
08077,55,8.8
08079,104,0.0
08081,58,0.0
08083,40,2.9
08085,65,23.4
08087,60,0.0
08089,41,1.2
08091,11,0.0
08093,26,0.0
08095,22,0.0
08097,58,0.0
08099,71,22.4
08101,58,4.8
08103,103,3.5
08105,29,0.0
08107,27,15.0
08109,65,0.0
08111,0,-
08113,42,3.7
08115,73,0.0
08117,38,0.0
08119,32,0.0
08121,60,0.0
08123,64,2.7
08125,69,0.0
09001,51,2.1
09003,47,3.1
09005,42,0.4
09007,44,1.3
09009,39,2.5
09011,48,8.3
09013,32,0.0
09015,33,2.4
10001,57,1.4
10003,39,2.3
10005,65,4.7
11001,44,3.4
12001,33,0.2
12003,71,2.9
12005,60,0.7
12007,26,20.2
12009,54,1.3
12011,47,2.2
12013,40,0.0
12015,49,2.0
12017,41,10.4
12019,48,1.7
12021,55,7.0
12023,51,2.3
12027,49,11.7
12029,43,0.0
12031,61,3.5
12033,34,3.1
12035,29,4.2
12037,40,0.0
12039,37,14.7
12041,18,0.0
12043,33,0.0
12045,49,0.0
12047,118,25.9
12049,66,3.2
12051,60,17.8
12053,58,2.3
12055,47,3.2
12057,45,4.2
12059,56,0.0
12061,39,0.0
12063,66,6.4
12065,48,0.0
12067,42,0.0
12069,52,4.0
12071,52,2.8
12073,42,2.6
12075,41,2.5
12077,93,0.0
12079,142,0.0
12081,46,2.7
12083,49,3.3
12085,57,5.1
12086,44,2.0
12087,46,5.8
12089,58,0.4
12091,69,3.2
12093,70,3.1
12095,49,3.1
12097,49,3.0
12099,50,3.7
12101,46,4.3
12103,46,1.9
12105,53,4.9
12107,49,2.9
12109,44,1.8
12111,54,4.5
12113,60,3.1
12115,35,7.3
12117,42,2.0
12119,94,0.0
12121,41,12.2
12123,197,0.0
12125,39,0.0
12127,42,6.7
12129,24,17.6
12131,58,5.0
12133,49,0.4
13001,51,15.8
13003,60,8.7
13005,58,0.0
13007,62,0.0
13009,29,3.6
13011,69,1.4
13013,50,0.9
