cfips,birth_rate,pct_new_young_mothers
12067,22,0.0
12069,39,2.0
12071,46,2.3
12073,38,1.1
12075,48,0.0
12077,50,0.0
12079,158,0.0
12081,54,2.6
12083,52,3.3
12085,44,0.0
12086,44,2.4
12087,48,12.0
12089,35,0.5
12091,75,1.1
12093,68,2.3
12095,50,1.9
12097,41,3.2
12099,50,2.7
12101,48,2.4
12103,48,1.6
12105,51,3.6
12107,48,4.6
12109,60,0.7
12111,52,3.7
12113,59,4.9
12115,42,1.6
12117,39,0.8
12119,61,0.0
12121,104,6.7
12123,152,0.0
12125,88,0.0
12127,41,4.9
12129,32,0.0
12131,55,4.2
12133,56,0.0
13001,38,7.5
13003,58,7.1
13005,39,0.0
13007,48,0.0
13009,45,0.0
13011,54,0.0
13013,51,0.9
13015,67,3.2
13017,28,0.0
13019,69,0.0
13021,65,7.8
13023,89,0.0
13025,59,0.0
13027,88,11.8
13029,33,15.8
13031,41,2.3
13033,49,0.0
13035,42,6.1
13037,15,0.0
13039,69,0.0
13043,46,16.5
13045,50,9.0
13047,35,7.5
13049,33,28.6
13051,48,4.1
13053,125,0.0
13055,50,0.4
13057,47,0.0
13059,45,2.3
13061,69,62.9
13063,60,3.5
13065,83,0.0
13067,48,1.9
13069,60,0.9
13071,82,5.8
13073,44,0.0
13075,66,0.0
13077,61,3.8
13079,86,0.0
13081,18,0.0
13083,39,0.0
13085,44,0.0
13087,31,0.0
13089,47,2.1
13091,77,0.9
13093,50,72.0
13095,63,3.2
13097,64,4.5
13099,10,0.0
13101,50,0.0
13103,90,1.6
13105,51,21.3
13107,95,6.5
13109,73,0.0
13111,71,0.0
13113,43,0.0
13115,48,7.1
13117,56,0.0
13119,58,0.0
13121,46,2.3
13123,65,5.8
13125,13,0.0
13127,62,11.5
13129,59,1.3
13131,41,0.0
13133,14,16.3
13135,48,2.2
13137,45,3.7
13139,50,5.7
13141,4,0.0
13143,40,8.0
13145,63,0.0
13147,76,0.0
13149,57,0.0
13151,48,2.0
13153,52,1.2
13155,76,10.0
13157,54,1.6
13159,29,0.0
13161,46,0.0
13163,115,0.0
13165,39,0.0
13167,56,0.0
13169,60,0.0
13171,47,0.0
13173,14,45.9
13175,37,9.5
13177,50,0.0
13179,87,3.8
13181,36,0.0
13183,74,18.2
13185,63,14.0
13187,69,3.1
13189,68,0.0
13191,49,0.0
13193,48,53.3
13195,76,11.0
13197,53,18.2
13199,98,1.2
13201,38,0.0
13205,38,0.0
13207,62,0.0
13209,27,8.8
13211,42,0.0
13213,50,4.3
13215,45,2.8
13217,54,5.8
13219,48,0.0
13221,37,0.0
13223,56,0.0
13225,42,11.3
13227,44,12.7
13229,98,34.6
13231,53,3.3
13233,48,0.0
13235,23,0.0
13237,69,0.0
13239,47,0.0
13241,19,23.8
13243,13,0.0
13245,66,3.9
13247,40,1.5
13249,23,0.0
13251,74,4.1
13253,23,16.2
13255,55,4.0
13257,60,0.0
13259,20,0.0
13261,58,1.0
13263,60,0.0
13265,116,0.0
13267,51,0.0
13269,37,4.5
13271,45,0.0
13273,38,0.0
13275,67,4.8
13277,56,3.6
13279,74,0.0
