cfips,pct_house_price_gt1mill,pct_house_price_500k_1mill,pct_house_price_250k_500k,pct_house_price_100k_250k
01001,0.0,0.0,6.006006006006006,52.552552552552555
01003,0.0,4.295774647887324,41.19718309859155,48.30985915492958
01005,0.0,3.2467532467532463,20.12987012987013,28.246753246753247
01007,0.0,21.176470588235293,0.0,25.882352941176475
01009,0.0,0.0,0.0,23.72093023255814
01011,0.0,0.0,0.0,0.0
01013,0.0,3.9755351681957185,1.039755351681957,27.09480122324159
01015,0.0,0.0,7.506053268765134,35.59322033898305
01017,0.0,0.0,0.0,55.58510638297872
01019,0.0,8.411214953271028,0.0,55.45171339563863
01021,0.0,0.26833631484794274,12.880143112701253,48.658318425760285
01023,0.0,0.0,0.0,0.0
01025,0.0,0.0,0.0,2.030456852791878
01027,0.0,0.0,0.0,25.742574257425744
01029,0.0,0.0,41.42857142857143,17.142857142857142
01031,2.341137123745819,0.0,3.678929765886288,52.17391304347826
01033,0.0,0.0,0.0,37.278106508875744
01035,0.0,0.0,0.0,12.540192926045016
01037,4.234527687296417,0.0,0.0,42.671009771986974
01039,0.0,0.0,3.556485355648536,25.732217573221757
01041,1.8518518518518516,0.0,0.0,16.51234567901235
01043,5.942622950819672,0.0,4.918032786885246,43.0327868852459
01045,0.0,0.0,0.0,34.73053892215569
01047,0.0,0.0,18.487394957983195,4.761904761904762
01049,0.0,0.0,3.136531365313653,24.907749077490777
01051,0.0,5.357142857142857,15.476190476190476,37.94642857142857
01053,0.0,0.0,11.952191235059761,42.62948207171315
01055,0.0,0.0,4.326923076923077,20.51282051282051
01057,0.0,0.0,0.0,38.46153846153847
01059,0.0,7.876712328767123,0.0,41.43835616438356
01061,0.0,0.0,6.8181818181818175,30.113636363636363
01063,0.0,0.0,0.0,0.0
01065,0.0,0.0,0.0,55.46218487394958
01067,0.0,8.974358974358974,0.0,24.358974358974358
01069,0.9126466753585397,0.651890482398957,10.29986962190352,41.851368970013034
01071,0.0,3.68763557483731,6.29067245119306,30.36876355748373
01073,1.9763798505664016,9.279344420342252,14.822848879248014,38.15377199325138
01075,0.0,41.911764705882355,0.0,13.970588235294118
01077,0.0,0.0,22.138836772983115,20.825515947467167
01079,0.0,0.0,0.0,39.71291866028708
01081,0.0,0.0,40.80357142857143,37.94642857142857
01083,0.0,0.0,35.8974358974359,44.97041420118343
01085,0.0,0.0,43.90243902439025,0.0
01087,0.0,0.0,25.97402597402597,14.285714285714285
01089,0.0,1.437607820586544,30.247268545140887,49.223691776883264
01091,0.0,0.0,0.0,60.8433734939759
01093,0.0,0.0,15.686274509803921,44.44444444444444
01095,0.0,0.0,34.72803347280335,34.30962343096235
01097,0.0,0.0,6.8654266958424515,52.78993435448578
01099,0.0,3.1746031746031744,15.873015873015872,4.761904761904762
01101,0.0,5.385735080058224,16.375545851528383,38.209606986899566
01103,0.0,0.0,25.321888412017167,44.06294706723891
01105,0.0,0.0,0.0,100.0
01107,0.0,0.0,12.280701754385964,38.59649122807017
01109,0.0,0.0,19.340659340659343,38.681318681318686
01111,0.0,0.0,16.3265306122449,20.408163265306122
01113,0.0,0.0,0.0,57.755775577557756
01115,0.0,0.0,17.56440281030445,41.21779859484778
01117,0.0,5.39906103286385,25.19561815336463,31.768388106416275
01119,0.0,0.0,0.0,0.0
01121,0.0,9.846547314578006,8.951406649616368,24.55242966751918
01123,0.0,5.979381443298969,16.49484536082474,27.422680412371136
01125,0.0,7.523939808481532,14.09028727770178,60.601915184678525
01127,0.0,0.0,16.0427807486631,1.3368983957219251
01129,0.0,0.0,7.368421052631578,77.89473684210526
01131,0.0,0.0,0.0,68.96551724137932
01133,0.0,0.0,19.230769230769234,4.700854700854701
02013,0.0,0.0,11.11111111111111,66.66666666666666
02016,0.0,0.0,50.0,0.0
02020,0.0,7.172743574417215,54.93126120741183,33.71189479976091
02050,0.0,15.384615384615385,69.23076923076923,15.384615384615385
02060,0.0,0.0,0.0,0.0
02063,0.0,0.0,0.0,42.028985507246375
02066,0.0,24.390243902439025,9.75609756097561,36.58536585365854
02068,0.0,0.0,9.375,25.0
02070,0.0,0.0,42.857142857142854,35.714285714285715
02090,0.0,1.3559322033898304,40.16949152542373,32.20338983050847
02100,0.0,1.5873015873015872,25.396825396825395,73.01587301587301
02105,0.0,23.076923076923077,23.076923076923077,42.30769230769231
02110,0.0,10.0,83.33333333333334,4.166666666666666
02122,3.3766233766233764,4.935064935064935,40.77922077922078,32.467532467532465
02130,0.0,13.333333333333334,62.22222222222222,13.333333333333334
02150,0.0,19.736842105263158,47.368421052631575,21.052631578947366
02158,0.0,0.0,0.0,0.0
02164,0.0,0.0,57.14285714285714,28.57142857142857
02170,0.0,2.978056426332288,32.60188087774294,45.924764890282134
02180,0.0,36.36363636363637,0.0,0.0
02185,0.0,0.0,0.0,50.0
02188,0.0,0.0,0.0,0.0
02195,0.0,7.6923076923076925,15.384615384615385,69.23076923076923
02198,0.0,15.625,7.8125,15.625
02220,0.0,10.714285714285714,78.57142857142857,10.714285714285714
02230,0.0,60.0,0.0,0.0
02240,0.0,0.0,21.818181818181817,34.54545454545455
02275,0.0,0.0,15.384615384615385,84.61538461538461
02282,0.0,0.0,0.0,100.0
02290,0.0,0.0,32.0,8.0
04001,1.263157894736842,7.7894736842105265,6.105263157894736,53.05263157894737
04003,0.5184331797235023,0.6336405529953917,7.027649769585254,45.67972350230415
04005,0.0,10.599078341013826,33.794162826420894,35.17665130568356
04007,1.1111111111111112,9.583333333333334,35.0,28.055555555555557
04009,0.0,0.0,0.0,46.78111587982833
