cfips,total_population,old_age_dependency_ratio,child_dependency_ratio,median_age,sex_ratio
01001,55036,23.3,40.1,37.8,95.6
01003,203360,32.3,37.6,42.6,95.9
01005,26201,28.4,34.2,39.7,114.3
01007,22580,23.5,32.7,39.8,118.6
01009,57667,29.4,39.8,40.9,97.6
01011,10478,23.7,32.2,40.8,115.5
01013,20126,31.6,38.6,40.7,87.9
01015,115527,26.7,35.8,39.1,92.8
01017,33895,31.0,35.7,43.0,92.9
01019,25855,35.6,34.2,46.1,99.0
01021,43805,25.7,39.9,38.9,96.9
01023,13188,37.1,35.4,45.8,90.8
01025,24625,31.2,37.9,42.2,89.8
01027,13407,32.8,36.0,43.8,93.3
01029,14939,31.6,39.7,41.7,97.3
01031,51073,26.5,39.3,39.3,97.6
01033,54435,31.7,36.1,42.5,92.4
01035,12649,36.9,38.5,44.5,91.4
01037,10955,34.2,28.2,45.9,99.9
01039,37519,35.2,38.1,43.4,93.5
01041,13866,30.2,38.0,41.4,95.8
01043,81703,29.7,37.6,40.6,97.0
01045,49393,26.0,38.7,37.1,98.6
01047,40755,27.6,41.9,39.3,85.7
01049,71194,27.0,41.5,39.0,98.5
01051,80989,22.3,35.6,38.5,94.5
01053,37621,28.1,36.7,39.6,105.6
01055,103132,29.6,36.2,40.9,93.2
01057,16657,34.4,37.0,43.6,96.8
01059,31507,27.6,41.8,37.7,100.8
01061,26572,32.4,37.8,42.7,95.9
01063,8533,33.9,41.0,42.0,90.7
01065,14995,30.8,39.7,39.8,88.7
01067,17110,36.1,36.0,43.5,92.2
01069,104108,27.6,39.4,39.6,92.1
01071,52326,31.4,36.2,43.0,96.6
01073,659460,23.5,37.0,37.6,90.0
01075,14021,35.9,38.4,44.5,96.2
01077,92590,31.0,33.3,41.5,91.6
01079,33288,27.4,35.4,42.0,94.4
01081,156597,15.9,31.9,31.0,97.2
01083,91695,22.9,37.1,39.1,100.2
01085,10362,29.1,38.5,40.7,89.6
01087,19358,27.7,28.1,38.0,85.7
01089,353213,22.0,35.1,38.2,95.5
01091,19743,32.0,39.4,42.1,87.9
01093,30058,35.0,36.2,44.1,98.0
01095,94738,28.3,42.4,38.8,97.5
01097,414328,24.4,39.0,37.3,91.5
01099,21745,32.1,40.2,41.7,90.9
01101,227120,22.0,38.0,35.9,89.8
01103,119157,26.8,38.0,40.1,97.3
01105,9680,31.2,37.5,37.6,91.7
01107,20170,29.5,33.9,42.1,90.8
01109,33287,21.6,29.8,31.4,91.4
01111,22530,33.7,37.6,42.7,95.4
01113,58480,20.9,40.3,35.3,94.6
01115,86937,25.2,37.6,40.1,100.0
01117,208721,22.0,38.9,38.5,94.5
01119,13084,25.7,30.9,35.9,85.6
01121,80888,26.9,35.5,40.6,93.8
01123,40756,33.8,36.2,43.3,92.8
01125,204424,18.1,31.4,32.3,93.4
01127,64927,30.7,37.4,42.3,95.5
01129,16746,28.8,38.1,43.5,99.3
01131,10919,31.0,43.1,40.5,87.5
01133,23968,35.3,35.9,44.6,97.8
02013,3338,10.5,17.0,42.7,159.0
02016,5784,7.1,21.9,37.7,157.6
02020,298225,14.3,37.6,33.1,104.4
02050,17957,12.3,62.2,26.9,110.7
02060,917,14.4,33.8,41.8,138.2
02068,2303,9.6,18.0,38.4,102.9
02070,4974,13.3,51.0,30.1,108.2
02090,100031,12.9,35.9,31.0,117.2
02100,2537,38.9,34.1,45.0,109.0
02105,2146,29.4,25.2,48.9,109.8
02110,32434,17.0,32.8,38.0,105.7
02122,57961,23.8,36.9,40.6,109.2
02130,13745,21.1,34.8,39.5,105.8
02150,13773,13.5,40.4,33.1,115.1
02158,8129,9.8,72.4,24.0,114.7
02164,1301,11.7,43.6,32.3,103.3
02170,101135,16.1,43.5,34.9,109.1
02180,9869,12.5,59.2,27.9,113.7
02185,9757,8.9,37.4,34.6,166.6
02188,7715,12.5,60.4,26.6,117.5
02195,3275,27.6,37.1,41.7,111.2
02198,6473,22.1,38.0,41.0,118.4
02220,8810,21.8,35.3,38.9,105.4
02230,1038,14.9,17.3,42.9,133.8
02240,6889,20.1,44.5,36.6,124.0
02261,9439,18.3,36.6,40.0,108.0
02275,2475,38.6,33.4,49.1,107.1
02282,682,21.7,34.0,39.4,115.8
