"GEO_ID","NAME","B05001_001E","B05001_001M","B05001_001MA","B05001_001EA","B05001_002E","B05001_002M","B05001_002MA","B05001_002EA","B05001_003E","B05001_003EA","B05001_003M","B05001_003MA","B05001_004E","B05001_004M","B05001_004MA","B05001_004EA","B05001_005E","B05001_005M","B05001_005MA","B05001_005EA","B05001_006E","B05001_006M","B05001_006MA","B05001_006EA",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Annotation of Estimate!!Total:","Estimate!!Total:!!U.S. citizen, born in the United States","Margin of Error!!Total:!!U.S. citizen, born in the United States","Annotation of Margin of Error!!Total:!!U.S. citizen, born in the United States","Annotation of Estimate!!Total:!!U.S. citizen, born in the United States","Estimate!!Total:!!U.S. citizen, born in Puerto Rico or U.S. Island Areas","Annotation of Estimate!!Total:!!U.S. citizen, born in Puerto Rico or U.S. Island Areas","Margin of Error!!Total:!!U.S. citizen, born in Puerto Rico or U.S. Island Areas","Annotation of Margin of Error!!Total:!!U.S. citizen, born in Puerto Rico or U.S. Island Areas","Estimate!!Total:!!U.S. citizen, born abroad of American parent(s)","Margin of Error!!Total:!!U.S. citizen, born abroad of American parent(s)","Annotation of Margin of Error!!Total:!!U.S. citizen, born abroad of American parent(s)","Annotation of Estimate!!Total:!!U.S. citizen, born abroad of American parent(s)","Estimate!!Total:!!U.S. citizen by naturalization","Margin of Error!!Total:!!U.S. citizen by naturalization","Annotation of Margin of Error!!Total:!!U.S. citizen by naturalization","Annotation of Estimate!!Total:!!U.S. citizen by naturalization","Estimate!!Total:!!Not a U.S. citizen","Margin of Error!!Total:!!Not a U.S. citizen","Annotation of Margin of Error!!Total:!!Not a U.S. citizen","Annotation of Estimate!!Total:!!Not a U.S. citizen",
"0500000US21117","Kenton County, Kentucky","165668","*****","*****","null","159183","611","null","null","180","null","104","null","896","238","null","null","2101","339","null","null","3308","555","null","null",
"0500000US21119","Knott County, Kentucky","15260","*****","*****","null","15126","65","null","null","13","null","14","null","25","24","null","null","44","40","null","null","52","32","null","null",
"0500000US21121","Knox County, Kentucky","31365","*****","*****","null","30750","327","null","null","0","null","24","null","131","121","null","null","214","130","null","null","270","265","null","null",
"0500000US21123","Larue County, Kentucky","14204","*****","*****","null","13758","212","null","null","0","null","18","null","136","107","null","null","65","56","null","null","245","147","null","null",
"0500000US21125","Laurel County, Kentucky","60357","*****","*****","null","59407","311","null","null","45","null","34","null","420","227","null","null","357","134","null","null","128","89","null","null",
"0500000US21127","Lawrence County, Kentucky","15671","*****","*****","null","15589","59","null","null","21","null","33","null","8","12","null","null","7","12","null","null","46","44","null","null",
"0500000US21129","Lee County, Kentucky","6881","*****","*****","null","6804","72","null","null","0","null","16","null","21","32","null","null","0","16","null","null","56","58","null","null",
"0500000US21131","Leslie County, Kentucky","10283","*****","*****","null","10172","99","null","null","0","null","18","null","80","101","null","null","19","30","null","null","12","16","null","null",
"0500000US21133","Letcher County, Kentucky","22295","*****","*****","null","22146","56","null","null","0","null","21","null","52","42","null","null","30","22","null","null","67","32","null","null",
"0500000US21135","Lewis County, Kentucky","13417","*****","*****","null","13359","42","null","null","0","null","18","null","31","34","null","null","8","12","null","null","19","29","null","null",
"0500000US21137","Lincoln County, Kentucky","24476","*****","*****","null","24142","80","null","null","34","null","38","null","67","53","null","null","33","28","null","null","200","91","null","null",
"0500000US21139","Livingston County, Kentucky","9235","*****","*****","null","9152","70","null","null","0","null","16","null","51","65","null","null","32","28","null","null","0","16","null","null",
"0500000US21141","Logan County, Kentucky","26902","*****","*****","null","26379","127","null","null","101","null","69","null","43","44","null","null","207","122","null","null","172","120","null","null",
"0500000US21143","Lyon County, Kentucky","8271","*****","*****","null","8130","90","null","null","0","null","16","null","11","13","null","null","50","56","null","null","80","66","null","null",
"0500000US21145","McCracken County, Kentucky","65268","*****","*****","null","63744","281","null","null","38","null","39","null","503","175","null","null","582","191","null","null","401","179","null","null",
"0500000US21147","McCreary County, Kentucky","17465","*****","*****","null","17234","133","null","null","74","null","77","null","72","70","null","null","23","29","null","null","62","84","null","null",
"0500000US21149","McLean County, Kentucky","9283","*****","*****","null","9211","41","null","null","0","null","16","null","6","6","null","null","28","31","null","null","38","28","null","null",
"0500000US21151","Madison County, Kentucky","90802","*****","*****","null","87507","491","null","null","95","null","89","null","545","169","null","null","1022","254","null","null","1633","413","null","null",
"0500000US21153","Magoffin County, Kentucky","12491","*****","*****","null","12475","21","null","null","0","null","18","null","3","7","null","null","0","18","null","null","13","20","null","null",
"0500000US21155","Marion County, Kentucky","19244","*****","*****","null","18938","136","null","null","0","null","18","null","62","49","null","null","85","53","null","null","159","114","null","null",
"0500000US21157","Marshall County, Kentucky","31192","*****","*****","null","30756","153","null","null","14","null","25","null","116","71","null","null","211","151","null","null","95","67","null","null",
"0500000US21159","Martin County, Kentucky","11648","*****","*****","null","11532","78","null","null","22","null","27","null","57","55","null","null","14","20","null","null","23","30","null","null",
"0500000US21161","Mason County, Kentucky","17112","*****","*****","null","16603","157","null","null","0","null","18","null","86","50","null","null","72","58","null","null","351","162","null","null",
"0500000US21163","Meade County, Kentucky","28182","*****","*****","null","27137","188","null","null","89","null","56","null","519","153","null","null","254","88","null","null","183","80","null","null",
"0500000US21165","Menifee County, Kentucky","6443","*****","*****","null","6405","46","null","null","0","null","16","null","0","16","null","null","18","31","null","null","20","33","null","null",
"0500000US21167","Mercer County, Kentucky","21592","*****","*****","null","21025","184","null","null","0","null","21","null","109","68","null","null","98","62","null","null","360","149","null","null",
"0500000US21169","Metcalfe County, Kentucky","10036","*****","*****","null","9879","100","null","null","39","null","64","null","36","30","null","null","47","59","null","null","35","44","null","null",
"0500000US21171","Monroe County, Kentucky","10627","*****","*****","null","10342","57","null","null","0","null","18","null","58","39","null","null","50","41","null","null","177","33","null","null",
"0500000US21173","Montgomery County, Kentucky","27884","*****","*****","null","27452","159","null","null","0","null","21","null","138","78","null","null","90","75","null","null","204","124","null","null",
"0500000US21175","Morgan County, Kentucky","13288","*****","*****","null","13154","83","null","null","0","null","18","null","34","31","null","null","9","10","null","null","91","78","null","null",
"0500000US21177","Muhlenberg County, Kentucky","30951","*****","*****","null","30340","185","null","null","0","null","24","null","95","62","null","null","202","136","null","null","314","119","null","null",
"0500000US21179","Nelson County, Kentucky","45650","*****","*****","null","44775","220","null","null","31","null","42","null","366","211","null","null","193","104","null","null","285","116","null","null",
"0500000US21181","Nicholas County, Kentucky","7153","*****","*****","null","7088","49","null","null","0","null","16","null","0","16","null","null","30","33","null","null","35","36","null","null",
"0500000US21183","Ohio County, Kentucky","24071","*****","*****","null","23584","144","null","null","1","null","3","null","68","52","null","null","110","71","null","null","308","149","null","null",
