"GEO_ID","NAME","B05001_001E","B05001_001M","B05001_001MA","B05001_001EA","B05001_002E","B05001_002M","B05001_002MA","B05001_002EA","B05001_003E","B05001_003M","B05001_003MA","B05001_003EA","B05001_004E","B05001_004EA","B05001_004M","B05001_004MA","B05001_005E","B05001_005M","B05001_005MA","B05001_005EA","B05001_006E","B05001_006M","B05001_006MA","B05001_006EA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!U.S. citizen, born in the United States","Margin of Error!!Total!!U.S. citizen, born in the United States","Annotation of Margin of Error!!Total!!U.S. citizen, born in the United States","Annotation of Estimate!!Total!!U.S. citizen, born in the United States","Estimate!!Total!!U.S. citizen, born in Puerto Rico or U.S. Island Areas","Margin of Error!!Total!!U.S. citizen, born in Puerto Rico or U.S. Island Areas","Annotation of Margin of Error!!Total!!U.S. citizen, born in Puerto Rico or U.S. Island Areas","Annotation of Estimate!!Total!!U.S. citizen, born in Puerto Rico or U.S. Island Areas","Estimate!!Total!!U.S. citizen, born abroad of American parent(s)","Annotation of Estimate!!Total!!U.S. citizen, born abroad of American parent(s)","Margin of Error!!Total!!U.S. citizen, born abroad of American parent(s)","Annotation of Margin of Error!!Total!!U.S. citizen, born abroad of American parent(s)","Estimate!!Total!!U.S. citizen by naturalization","Margin of Error!!Total!!U.S. citizen by naturalization","Annotation of Margin of Error!!Total!!U.S. citizen by naturalization","Annotation of Estimate!!Total!!U.S. citizen by naturalization","Estimate!!Total!!Not a U.S. citizen","Margin of Error!!Total!!Not a U.S. citizen","Annotation of Margin of Error!!Total!!Not a U.S. citizen","Annotation of Estimate!!Total!!Not a U.S. citizen",
"0500000US51105","Lee County, Virginia","24134","*****","*****","null","23730","142","null","null","38","53","null","null","81","null","58","null","103","77","null","null","182","111","null","null",
"0500000US51107","Loudoun County, Virginia","385143","*****","*****","null","281814","1886","null","null","2382","456","null","null","7465","null","562","null","53179","1383","null","null","40303","1847","null","null",
"0500000US51109","Louisa County, Virginia","35380","*****","*****","null","33936","249","null","null","36","32","null","null","215","null","120","null","615","187","null","null","578","174","null","null",
"0500000US51111","Lunenburg County, Virginia","12278","*****","*****","null","11492","291","null","null","13","15","null","null","56","null","42","null","375","210","null","null","342","172","null","null",
"0500000US51113","Madison County, Virginia","13139","*****","*****","null","12777","110","null","null","26","40","null","null","22","null","32","null","167","103","null","null","147","89","null","null",
"0500000US51115","Mathews County, Virginia","8796","*****","*****","null","8676","122","null","null","0","17","null","null","27","null","35","null","90","117","null","null","3","6","null","null",
"0500000US51117","Mecklenburg County, Virginia","30847","*****","*****","null","30247","136","null","null","9","14","null","null","78","null","43","null","226","93","null","null","287","100","null","null",
"0500000US51119","Middlesex County, Virginia","10700","*****","*****","null","10379","229","null","null","0","19","null","null","130","null","130","null","152","106","null","null","39","30","null","null",
"0500000US51121","Montgomery County, Virginia","97997","*****","*****","null","88715","741","null","null","103","65","null","null","1451","null","305","null","2433","439","null","null","5295","669","null","null",
"0500000US51125","Nelson County, Virginia","14812","*****","*****","null","14150","178","null","null","0","19","null","null","159","null","84","null","125","85","null","null","378","167","null","null",
"0500000US51127","New Kent County, Virginia","21103","*****","*****","null","20273","198","null","null","10","13","null","null","238","null","118","null","384","149","null","null","198","138","null","null",
"0500000US51131","Northampton County, Virginia","11957","*****","*****","null","11285","99","null","null","0","19","null","null","12","null","12","null","282","71","null","null","378","103","null","null",
"0500000US51133","Northumberland County, Virginia","12223","*****","*****","null","11931","139","null","null","16","25","null","null","65","null","56","null","70","44","null","null","141","114","null","null",
"0500000US51135","Nottoway County, Virginia","15500","*****","*****","null","14694","242","null","null","0","19","null","null","127","null","99","null","336","225","null","null","343","93","null","null",
"0500000US51137","Orange County, Virginia","35612","*****","*****","null","33493","356","null","null","70","121","null","null","224","null","122","null","763","226","null","null","1062","272","null","null",
"0500000US51139","Page County, Virginia","23749","*****","*****","null","23197","165","null","null","89","67","null","null","119","null","85","null","212","86","null","null","132","67","null","null",
"0500000US51141","Patrick County, Virginia","17859","*****","*****","null","17436","163","null","null","46","51","null","null","43","null","33","null","178","97","null","null","156","119","null","null",
"0500000US51143","Pittsylvania County, Virginia","61676","*****","*****","null","60113","273","null","null","68","45","null","null","219","null","101","null","433","117","null","null","843","227","null","null",
"0500000US51145","Powhatan County, Virginia","28574","*****","*****","null","27750","197","null","null","11","18","null","null","156","null","87","null","318","112","null","null","339","120","null","null",
"0500000US51147","Prince Edward County, Virginia","22956","*****","*****","null","21724","631","null","null","61","59","null","null","161","null","95","null","149","101","null","null","861","553","null","null",
"0500000US51149","Prince George County, Virginia","37894","*****","*****","null","35074","361","null","null","356","129","null","null","1038","null","276","null","936","187","null","null","490","154","null","null",
"0500000US51153","Prince William County, Virginia","456749","*****","*****","null","334276","2427","null","null","3242","573","null","null","10024","null","729","null","57570","1661","null","null","51637","2128","null","null",
"0500000US51155","Pulaski County, Virginia","34234","*****","*****","null","33434","178","null","null","9","11","null","null","137","null","88","null","329","106","null","null","325","141","null","null",
"0500000US51157","Rappahannock County, Virginia","7332","*****","*****","null","6959","128","null","null","6","11","null","null","109","null","79","null","78","46","null","null","180","95","null","null",
"0500000US51159","Richmond County, Virginia","8878","*****","*****","null","8454","85","null","null","4","7","null","null","47","null","46","null","182","68","null","null","191","69","null","null",
"0500000US51161","Roanoke County, Virginia","93583","*****","*****","null","87856","556","null","null","168","132","null","null","703","null","190","null","2847","463","null","null","2009","492","null","null",
"0500000US51163","Rockbridge County, Virginia","22509","*****","*****","null","21698","237","null","null","20","24","null","null","194","null","109","null","399","158","null","null","198","96","null","null",
"0500000US51165","Rockingham County, Virginia","79444","*****","*****","null","73980","564","null","null","257","125","null","null","571","null","138","null","1939","329","null","null","2697","471","null","null",
"0500000US51167","Russell County, Virginia","27408","*****","*****","null","27178","121","null","null","36","53","null","null","20","null","33","null","123","83","null","null","51","53","null","null",
"0500000US51169","Scott County, Virginia","22009","*****","*****","null","21688","118","null","null","0","22","null","null","49","null","41","null","126","70","null","null","146","84","null","null",
"0500000US51171","Shenandoah County, Virginia","43045","*****","*****","null","40571","279","null","null","207","99","null","null","353","null","120","null","809","266","null","null","1105","235","null","null",
"0500000US51173","Smyth County, Virginia","31059","*****","*****","null","30498","171","null","null","10","15","null","null","111","null","71","null","98","70","null","null","342","126","null","null",
"0500000US51175","Southampton County, Virginia","17939","*****","*****","null","17717","95","null","null","3","5","null","null","121","null","64","null","46","56","null","null","52","45","null","null",
"0500000US51177","Spotsylvania County, Virginia","131412","*****","*****","null","118936","706","null","null","752","278","null","null","2314","null","321","null","5364","449","null","null","4046","540","null","null",
"0500000US51179","Stafford County, Virginia","144012","*****","*****","null","126710","1014","null","null","1041","271","null","null","3292","null","434","null","7974","688","null","null","4995","666","null","null",
"0500000US51181","Surry County, Virginia","6600","*****","*****","null","6496","54","null","null","0","17","null","null","18","null","18","null","29","31","null","null","57","39","null","null",
"0500000US51183","Sussex County, Virginia","11486","*****","*****","null","11160","116","null","null","18","19","null","null","24","null","23","null","108","75","null","null","176","76","null","null",
"0500000US51185","Tazewell County, Virginia","42080","*****","*****","null","41490","181","null","null","14","23","null","null","175","null","98","null","118","73","null","null","283","194","null","null",
"0500000US51187","Warren County, Virginia","39449","*****","*****","null","37481","314","null","null","117","109","null","null","572","null","177","null","726","179","null","null","553","205","null","null",
"0500000US51191","Washington County, Virginia","54406","*****","*****","null","53404","158","null","null","22","28","null","null","166","null","98","null","464","125","null","null","350","120","null","null",
