"GEO_ID","NAME","B05001_001E","B05001_001M","B05001_001MA","B05001_001EA","B05001_002E","B05001_002M","B05001_002MA","B05001_002EA","B05001_003E","B05001_003M","B05001_003MA","B05001_003EA","B05001_004E","B05001_004EA","B05001_004M","B05001_004MA","B05001_005E","B05001_005EA","B05001_005M","B05001_005MA","B05001_006E","B05001_006M","B05001_006MA","B05001_006EA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!U.S. citizen, born in the United States","Margin of Error!!Total!!U.S. citizen, born in the United States","Annotation of Margin of Error!!Total!!U.S. citizen, born in the United States","Annotation of Estimate!!Total!!U.S. citizen, born in the United States","Estimate!!Total!!U.S. citizen, born in Puerto Rico or U.S. Island Areas","Margin of Error!!Total!!U.S. citizen, born in Puerto Rico or U.S. Island Areas","Annotation of Margin of Error!!Total!!U.S. citizen, born in Puerto Rico or U.S. Island Areas","Annotation of Estimate!!Total!!U.S. citizen, born in Puerto Rico or U.S. Island Areas","Estimate!!Total!!U.S. citizen, born abroad of American parent(s)","Annotation of Estimate!!Total!!U.S. citizen, born abroad of American parent(s)","Margin of Error!!Total!!U.S. citizen, born abroad of American parent(s)","Annotation of Margin of Error!!Total!!U.S. citizen, born abroad of American parent(s)","Estimate!!Total!!U.S. citizen by naturalization","Annotation of Estimate!!Total!!U.S. citizen by naturalization","Margin of Error!!Total!!U.S. citizen by naturalization","Annotation of Margin of Error!!Total!!U.S. citizen by naturalization","Estimate!!Total!!Not a U.S. citizen","Margin of Error!!Total!!Not a U.S. citizen","Annotation of Margin of Error!!Total!!Not a U.S. citizen","Annotation of Estimate!!Total!!Not a U.S. citizen",
"0500000US48049","Brown County, Texas","37787","*****","*****","null","35695","351","null","null","28","43","null","null","191","null","94","null","537","null","135","null","1336","263","null","null",
"0500000US48051","Burleson County, Texas","17596","*****","*****","null","16299","292","null","null","0","21","null","null","37","null","27","null","447","null","151","null","813","253","null","null",
"0500000US48053","Burnet County, Texas","45017","*****","*****","null","41957","548","null","null","20","27","null","null","270","null","175","null","1306","null","408","null","1464","533","null","null",
"0500000US48055","Caldwell County, Texas","40544","*****","*****","null","36422","509","null","null","187","170","null","null","281","null","118","null","1072","null","281","null","2582","494","null","null",
"0500000US48057","Calhoun County, Texas","21821","*****","*****","null","19339","405","null","null","93","143","null","null","33","null","46","null","826","null","182","null","1530","385","null","null",
"0500000US48059","Callahan County, Texas","13660","*****","*****","null","13284","102","null","null","35","42","null","null","56","null","36","null","139","null","70","null","146","70","null","null",
"0500000US48061","Cameron County, Texas","420201","*****","*****","null","313599","3041","null","null","547","233","null","null","5539","null","638","null","31868","null","1304","null","68648","2666","null","null",
"0500000US48063","Camp County, Texas","12670","*****","*****","null","11286","286","null","null","0","21","null","null","47","null","50","null","595","null","331","null","742","190","null","null",
"0500000US48065","Carson County, Texas","6033","*****","*****","null","5880","60","null","null","13","16","null","null","13","null","13","null","47","null","34","null","80","43","null","null",
"0500000US48067","Cass County, Texas","30118","*****","*****","null","29267","201","null","null","16","18","null","null","215","null","142","null","305","null","125","null","315","93","null","null",
"0500000US48069","Castro County, Texas","7891","*****","*****","null","6314","292","null","null","2","3","null","null","18","null","23","null","388","null","111","null","1169","293","null","null",
"0500000US48071","Chambers County, Texas","39283","*****","*****","null","35402","610","null","null","88","99","null","null","102","null","104","null","972","null","318","null","2719","600","null","null",
"0500000US48073","Cherokee County, Texas","51594","*****","*****","null","46730","600","null","null","0","31","null","null","86","null","66","null","1283","null","330","null","3495","541","null","null",
"0500000US48075","Childress County, Texas","7064","*****","*****","null","6670","166","null","null","3","7","null","null","2","null","4","null","148","null","92","null","241","140","null","null",
"0500000US48077","Clay County, Texas","10369","*****","*****","null","10103","66","null","null","14","13","null","null","33","null","20","null","34","null","26","null","185","70","null","null",
"0500000US48079","Cochran County, Texas","2932","*****","*****","null","2434","109","null","null","4","6","null","null","37","null","29","null","99","null","37","null","358","105","null","null",
"0500000US48081","Coke County, Texas","3238","*****","*****","null","3118","76","null","null","0","13","null","null","15","null","20","null","80","null","58","null","25","25","null","null",
"0500000US48083","Coleman County, Texas","8422","*****","*****","null","8184","90","null","null","0","19","null","null","27","null","28","null","43","null","37","null","168","89","null","null",
"0500000US48085","Collin County, Texas","914075","*****","*****","null","720053","3719","null","null","2409","473","null","null","11218","null","942","null","85979","null","2505","null","94416","3364","null","null",
"0500000US48087","Collingsworth County, Texas","3026","*****","*****","null","2689","150","null","null","0","13","null","null","19","null","21","null","51","null","35","null","267","142","null","null",
"0500000US48089","Colorado County, Texas","20913","*****","*****","null","18820","329","null","null","6","11","null","null","140","null","97","null","673","null","187","null","1274","356","null","null",
"0500000US48091","Comal County, Texas","129100","*****","*****","null","118469","951","null","null","221","151","null","null","2011","null","372","null","3220","null","391","null","5179","914","null","null",
"0500000US48093","Comanche County, Texas","13492","*****","*****","null","12296","410","null","null","5","7","null","null","59","null","46","null","237","null","103","null","895","400","null","null",
